iso3,ecoregion,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Bounty and Antipodes Islands,159084.34649882646,18642.993753612147,199571.26669248115,159084.34649882646,18642.993753612147,199571.26669248115,0.3044240021162016,NA,0.3044240021162016,0,0,0,0,Doesn't participate
ATF,Kerguelen Islands,80169.48018492619,23120.567972706667,93760.22942907717,80169.48018492619,23120.567972706667,93760.22942907717,1.4405408894676923,NA,1.4405408894676923,0,0,0,0,Doesn't participate
HMD,Heard and Macdonald Islands,52621.18434854637,64.58732289793366,64663.689215618055,52621.18434854638,65.01384986433668,62840.1002176452,0.004299468559110587,NA,0.005061956675253532,7.366116442795511e-14,0.42652696640294346,0.4265269664030882,0.42652696640294346,Buyers
HMD,Kerguelen Islands,3106.792356215674,0.613666195422411,3775.816470186015,1711.3722642745654,0.08892894500471304,3775.816470186015,3.7604249318766696e-4,NA,1.4405408894676923,2010.1597004259334,-2010.684437676351,2009.6349631755156,2009.6349631755156,Sellers
CAN,Hudson Complex,479889.2311336034,6415.519564794061,636733.2577076636,479889.2311336034,6415.519564794061,636733.2577076636,0.08035775717237348,NA,0.08035775717237348,0,0,0,0,Doesn't participate
CAN,Beaufort-Amundsen-Viscount Melville-Queen Maud,189981.0693543016,22937.46784183107,239432.80466778544,189981.0693543016,22937.46784183107,239432.80466778544,0.7847581161057421,NA,0.7847581161057421,0,0,0,0,Doesn't participate
ARG,Channels and Fjords of Southern Chile,24324.0749929581,3546.1012551411986,28992.43661371839,21867.579617237065,1310.1004565519295,27323.761001791438,0.8022899283373176,NA,6.470020814034634,15893.576210494926,-18129.577009084194,13657.575411905656,13657.575411905656,Sellers
CAN,Baffin Bay - Davis Strait,126874.85989997425,6055.6618600399615,168844.77921746782,126874.85989997427,6124.539799696955,164558.18939723965,0.35010942233561176,NA,0.3924225839295906,5.710500175040079e-12,68.87793965698776,68.87793965699893,68.87793965698776,Buyers
CAN,High Arctic Archipelago,162338.49013595693,12737.174787195725,190379.2114097742,162338.49013595693,12737.174787195725,190379.2114097742,0.628541491622886,NA,0.628541491622886,0,0,0,0,Doesn't participate
IRL,Celtic Seas,204815.0859964816,82615643.66374744,240751.03834900007,155268.09039590176,20807697.499840375,182171.3986359847,726.7500789157219,NA,1704.3221300709195,84444041.08059469,-146251987.24450177,22636094.91668762,22636094.91668762,Sellers
RUS,Laptev Sea,203402.17959005205,207529.90341887265,269358.4727614915,203402.17959005205,207529.90341887265,269358.4727614915,2.438454950435013,NA,2.438454950435013,0,0,0,0,Doesn't participate
PCN,Rapa-Pitcairn,186761.31501419639,4480.597165420991,138232.17459698342,186761.31501419639,6141.866872037924,245751.6960297399,0.08164730215352684,NA,0.03656329626275238,0,1661.269706616933,1661.269706616933,1661.269706616933,Buyers
ATF,Crozet Islands,80575.59028844337,49801.994668407446,95006.42092081289,80575.59028844337,49801.994668407446,95006.42092081289,1.7638098000691969,NA,1.7638098000691969,0,0,0,0,Doesn't participate
RUS,Kara Sea,372166.3191708598,189212.9699546692,466910.90335229016,372166.3191708598,189212.9699546692,466910.90335229016,1.5647261043542657,NA,1.5647261043542657,0,0,0,0,Doesn't participate
PYF,Southern Cook/Austral Islands,76738.58889447704,627.9282388687134,99815.83308335858,327019.2073102124,458729.2513810928,407739.19838811905,2.2269526208027357,NA,0.15468401377156246,38714.41062577478,419386.91251644935,496815.73376799887,419386.91251644935,Buyers
PYF,Rapa-Pitcairn,249895.025608084,247.38986694812775,325843.0526903484,167411.9449480932,109.00595378919479,217901.5493536449,0.0010291892624929037,NA,0.03656329626275238,3015.8533148357437,-3154.2372279946767,2877.469401676811,2877.469401676811,Sellers
SJM,North and East Barents Sea,196198.0870832178,20531417.1104206,240168.90651886532,154104.12015161157,9335506.570680609,190499.40652142535,204.38325288928732,NA,359.31428296153786,15124963.54503678,-26320874.08477677,3929053.005296789,3929053.005296789,Sellers
RUS,North and East Barents Sea,371754.91090981243,35833413.40890403,440016.77088956936,371754.91090981243,35912374.847780935,450800.43914938,381.04958866142556,NA,359.31428296153786,0,78961.43887690455,78961.43887690455,78961.43887690455,Buyers
PYF,Tuamotus,783816.209246652,1327016.3738796397,1234377.8081512814,783816.2092466521,1390419.1550752583,936118.7564285002,2.3089833233050254,NA,2.787203730270457,3.2447321925666845e-10,63402.78119561835,63402.78119561891,63402.78119561835,Buyers
GRL,North Greenland,105514.22437947024,18839125.153185688,125051.14765491047,105514.22437947027,18839885.483984053,125387.27282736627,760.2777337618303,NA,756.3799129196333,2.201355274649201e-8,760.3307983431622,760.3307983875275,760.3307983431622,Buyers
TKL,Phoenix/Tokelau/Northern Cook Islands,196095.47816453254,9946.542071163654,249465.59882397376,133429.02854731923,358.20281333111006,170360.25755233728,0.004981598373763364,NA,2.571115074089368,161122.65325047902,-170710.99250831158,151534.31399264646,151534.31399264646,Sellers
CAN,Lancaster Sound,104868.40342390587,54697.48631385786,132285.60540293422,104868.40342390587,54697.48631385786,132285.60540293422,1.553982362458358,NA,1.553982362458358,0,0,0,0,Doesn't participate
UKR,Black Sea,42724.167513688386,2529229.7011228204,68304.64971341341,45921.74885041959,3186312.1428145855,72663.8179805167,206.44657307975496,NA,201.60952280019555,644662.8474131902,12419.594278574921,1301745.2891049553,12419.594278574921,Buyers
