iso3,ecoregion,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Bounty and Antipodes Islands,253110.59450193678,86302.96950099415,310902.10322504607,253110.59450193678,86302.96950099415,310902.10322504607,2.024036269094386,NA,2.024036269094386,0.8221520946166669,0,0,0,0,Doesn't participate
ATF,Kerguelen Islands,159020.22813158168,1154834.734418368,185561.53192649037,160042.968702791,1202055.726437932,186774.5739826333,46.17103628120348,NA,46.17103628120348,0.036484764768740185,47220.99201956414,7.275957614183426e-12,94441.98403912829,7.275957614183426e-12,Doesn't participate
HMD,Heard and Macdonald Islands,105516.45420095735,1166313.2963443256,124920.7862903312,104558.44619833142,1054202.8237051503,123798.58916297999,115.2746296466104,NA,120.60333454230083,0.19408127494815874,115538.9596348957,-227649.43227407106,3428.4869957203045,3428.4869957203045,Sellers
HMD,Kerguelen Islands,4715.67269220202,17558.676166195422,5684.876164041993,3692.932120992673,6397.284937201116,4471.316175710099,10.913218408649264,NA,46.17103628120348,0.036484764768740185,47220.99201956552,-58382.383248559825,36059.60079057122,36059.60079057122,Sellers
CAN,Hudson Complex,764053.0741903578,175557.95960601876,995282.2704915972,764053.0741903578,175557.95960601876,995282.2704915972,1.3596400506815638,NA,1.3596400506815638,0.6085421874463353,0,0,0,0,Doesn't participate
CAN,Beaufort-Amundsen-Viscount Melville-Queen Maud,301102.07218417607,218135.5146471361,377197.5817410645,301102.07218417607,218135.5146471361,377197.5817410645,2.6700919705116717,NA,2.6700919705116717,0.6366591849852312,0,0,0,0,Doesn't participate
ARG,Channels and Fjords of Southern Chile,41259.584183466155,8574584.476255141,48461.556633359825,34658.050714111574,3115399.78506202,40863.66776723964,432.8373196146913,NA,1289.3342841049623,0.38260018389489714,8511583.429705236,-13970768.120898357,3052398.738512115,3052398.738512115,Sellers
CAN,Baffin Bay - Davis Strait,208186.57607013913,754066.8872046735,261280.14323568653,203666.5789330263,614381.8067241785,255730.75880588838,28.62144210042789,NA,32.3794201576821,0.7057687147883438,146354.88641409666,-286039.9668945917,6669.805933601689,6669.805933601689,Sellers
CAN,High Arctic Archipelago,257834.47886391982,165108.2943947807,303231.47642178286,257681.7365340302,164680.21844184166,303052.5946688246,2.798628086321823,NA,2.8178355289056944,0.0589274155351307,430.4027639307981,-858.478716869847,2.3268109917407855,2.3268109917407855,Sellers
IRL,Celtic Seas,265826.34645577794,230535461.41374743,311525.8481393794,246085.27534444805,175027157.58961812,288844.5024925032,2616.071055540219,NA,3127.5550786079198,0.8850240919037522,61741287.21139988,-117249591.0355292,6232983.38727057,6232983.38727057,Sellers
RUS,Laptev Sea,324651.13684579264,945865.8235260182,438205.53295375867,324651.13684579264,945865.8235260182,438205.53295375867,9.731640774620153,NA,9.731640774620153,0.7384084809808473,0,0,0,0,Doesn't participate
