iso3,ecoregion,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Bounty and Antipodes Islands,256143.69927623062,92707.3168944574,314558.608558982,256143.69927623062,92707.3168944574,314558.608558982,2.216117356693909,NA,2.216117356693909,0.5992012073613727,0,0,0,0,Doesn't participate
ATF,Kerguelen Islands,161660.71356301985,1281505.5974328262,188694.6989247523,162619.53284852856,1330699.4395237798,189833.83415714034,51.77332545331452,NA,51.22879402958316,0.533724222257585,49119.15568891785,74.6864020357607,98312.99777987134,74.6864020357607,Buyers
HMD,Heard and Macdonald Islands,107241.6369986065,1376244.2623374125,126937.93944392435,106233.84174187286,1252832.6259378379,125756.28951898986,120.60333454230083,NA,125.06433459771257,0.2655359938219952,126039.24319412265,-249450.87959369723,2627.606794547988,2627.606794547988,Sellers
HMD,Kerguelen Islands,4715.67269220202,17558.676166195422,5684.876164041993,3756.853406693257,7094.871889013258,4547.163674980842,10.913218408649264,NA,51.22879402958316,0.533724222257585,49119.1556889205,-59582.959966102666,38655.35141173834,38655.35141173834,Sellers
CAN,Hudson Complex,773219.6497728337,188353.15176561443,1006473.9202400924,773219.6497728337,188353.15176561443,1006473.9202400924,1.4277758755005778,NA,1.4277758755005778,0.9220015597470679,0,0,0,0,Doesn't participate
CAN,Beaufort-Amundsen-Viscount Melville-Queen Maud,304686.6206625591,227767.0602070232,381636.26509275497,304686.6206625591,227767.0602070232,381636.26509275497,2.7171900498149433,NA,2.7171900498149433,0.27648735127339374,0,0,0,0,Doesn't participate
ARG,Channels and Fjords of Southern Chile,41259.584183466155,8574584.476255141,48461.556633359825,35070.64655594623,3293986.6633258997,41332.361221828454,432.8373196146913,NA,1320.7897801189051,0.4226542178453303,8174285.568221659,-13454883.381150901,2893687.755292418,2893687.755292418,Sellers
CAN,Baffin Bay - Davis Strait,210728.20070164074,840268.8262245862,264333.51789720554,206143.73115989895,688941.3853488971,258862.03794006817,31.584408754730184,NA,36.591108590473524,0.3528170785835789,167750.8228315925,-319078.2637072817,16423.381955903373,16423.381955903373,Sellers
CAN,High Arctic Archipelago,260915.88730862446,173861.60312830532,306900.2973988107,260757.32512751644,173406.87725856653,306717.92555805837,2.8678078628913615,NA,2.8678078628913615,0.26769646788186974,454.7258697387839,-909.4517394775718,0,0,Doesn't participate
IRL,Celtic Seas,268941.80346801586,240381451.91374743,315063.85970034706,249014.86195569148,182760847.37500906,292264.14340663364,2668.2473573494863,NA,3236.8058224393335,0.12883760055417615,64499640.310499616,-122120244.84923798,6879035.771761239,6879035.771761239,Sellers
RUS,Laptev Sea,328562.3935314617,984922.5593857524,443713.5643944859,328562.3935314617,984922.5593857524,443713.5643944859,10.18980389042799,NA,10.18980389042799,0.2891894018237945,0,0,0,0,Doesn't participate
PCN,Rapa-Pitcairn,307721.9833316682,25275.797570023526,402946.9175249425,299522.8637020131,22323.279286947647,391758.6953380047,0.288920938938757,NA,0.4079598273614252,0.6983395608445624,3344.911428629764,-6297.429711705643,392.3931455538841,392.3931455538841,Sellers
ATF,Crozet Islands,132629.94765289655,169189.91278286328,158325.2938490773,132629.94765289655,169189.91278286328,158325.2938490773,2.965608751146456,NA,2.965608751146456,0.6604268803390607,0,0,0,0,Doesn't participate
RUS,Kara Sea,604639.4557663768,1343866.058626841,755837.1595626216,604639.4557663768,1343866.058626841,755837.1595626216,10.97358581282043,NA,10.97358581282043,0.7081305229445105,0,0,0,0,Doesn't participate
PYF,Southern Cook/Austral Islands,468504.22530845896,797712.8176383905,582471.1164735034,524464.7664409067,948402.5616726439,652215.0503554705,2.826866769133289,NA,2.5944472758337813,0.35588484625119765,145186.67349526324,5503.0705389901705,295876.4175295166,5503.0705389901705,Buyers
PYF,Rapa-Pitcairn,260291.73547577727,2505.918492436409,339567.36393529334,268490.85510543245,6554.598930556731,350480.3115464778,0.554177639153904,NA,0.4079598273614252,0.6983395608445624,3344.9114286297995,703.7690094905224,7393.591866750121,703.7690094905224,Buyers
SJM,North and East Barents Sea,296913.8300359959,98124778.4854206,361108.3190158045,284514.9280884676,82618811.0814142,346335.8938840865,1161.5406116258503,NA,1386.0878562399764,0.6633525403209748,17185967.42017917,-32691934.824185576,1680000.0161727667,1680000.0161727667,Sellers
RUS,North and East Barents Sea,606422.3592287161,240907436.78006348,733688.8939525197,626302.1396795394,269519966.45009947,757583.7073634451,1512.0265849921207,NA,1386.0878562399764,0.6633525403209748,27555122.26760299,1057407.4024329968,56167651.93763897,1057407.4024329968,Buyers
