iso3,ecoregion,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Bounty and Antipodes Islands,292540.9565677572,630472.8590103638,358209.5217298205,292540.9565677572,630472.8590103638,358209.5217298205,52.478455749118744,NA,52.478455749118744,0.7369236293409889,0,0,0,0,Doesn't participate
ATF,Kerguelen Islands,193346.5387402777,4083732.4352343306,225153.65810315358,193538.30259737946,4113947.215570889,225366.4132289508,157.56243534736848,NA,157.56243534736848,0.46966747163953715,30214.78033655801,3.41970007866621e-10,60429.56067311624,3.41970007866621e-10,Doesn't participate
HMD,Heard and Macdonald Islands,126189.2265020472,4906631.6464762185,148829.19125475516,126338.58826437024,4958112.59845673,149000.1361030875,344.67290141615086,NA,344.67290141615086,0.881069526108923,51480.95198051118,4.802132025361061e-10,102961.90396102238,4.802132025361061e-10,Doesn't participate
HMD,Kerguelen Islands,4715.67269220202,17558.676166195422,5684.876164041994,4523.908835100267,15465.91531075899,5457.333666229764,10.913218408649268,NA,157.56243534736848,0.46966747163953715,30214.780336556865,-32307.541191993296,28122.019481120435,28122.019481120435,Sellers
CAN,Hudson Complex,883218.5567625451,415326.9198230756,1142892.6110501492,883218.5567625451,415326.9198230756,1142892.6110501492,3.2254779107238427,NA,3.2254779107238427,0.22168675227230095,0,0,0,0,Doesn't participate
CAN,Beaufort-Amundsen-Viscount Melville-Queen Maud,347701.2024031557,375272.45552497805,436394.35873294395,347701.2024031557,375272.45552497805,436394.35873294395,4.867772941027475,NA,4.867772941027475,0.4786707370154285,0,0,0,0,Doesn't participate
ARG,Channels and Fjords of Southern Chile,41259.58418346614,8574584.476255141,48461.55663335981,40021.79665796216,7306960.809937816,47054.379428487366,1024.104412266712,NA,2168.765220595459,0.7160658342194927,2684470.535799954,-3952094.202117279,1416846.869482629,1416846.869482629,Sellers
CAN,Baffin Bay - Davis Strait,237620.8362231495,3064243.660961727,296295.1123779686,235869.55788237063,2757077.18553563,294187.5542239098,157.8481665764429,NA,218.17043960775447,0.8019702524208852,382077.16548326414,-689243.6409093611,74910.69005716732,74910.69005716732,Sellers
CAN,High Arctic Archipelago,297892.78864507994,350324.2648231886,351724.06624500407,297664.3882493512,347856.35100744036,351464.07602193824,10.414270038596838,NA,10.904078835661702,0.5282378150995279,2490.4959211227742,-4958.409736871012,22.58210537454579,22.58210537454579,Sellers
IRL,Celtic Seas,291432.9367060498,322941125.41374743,340851.2409877232,284169.9012906126,294451145.5342113,332572.1703244919,3792.7418740897915,NA,4533.169409890289,0.08299458186696607,32924569.968209673,-61414549.84774582,4434590.088673532,4434590.088673532,Sellers
RUS,Laptev Sea,375497.4737594904,1705940.52801994,509448.02501591155,375497.4737594904,1705940.52801994,509448.02501591155,20.539547948649812,NA,20.539547948649812,0.06274360798948686,0,0,0,0,Doesn't participate
PCN,Rapa-Pitcairn,339061.18999470427,236213.3459906876,444802.0476800461,341808.44445994426,320729.2600008012,448339.4314274549,32.38317423891763,NA,28.825995901825944,0.5738630532997906,79192.34595628113,5323.568053832438,163708.2599663947,5323.568053832438,Buyers
ATF,Crozet Islands,152150.33166456647,238222.21324320225,182133.30948488985,152150.33166456647,238222.21324320225,182133.30948488985,4.582316326720397,NA,4.582316326720397,0.3950504913494418,0,0,0,0,Doesn't participate
RUS,Kara Sea,691816.8819896956,2561618.922217587,865124.3056429146,691816.8819896956,2561618.922217587,865124.3056429146,17.31103945368501,NA,17.31103945368501,0.5123788747550577,0,0,0,0,Doesn't participate
PYF,Southern Cook/Austral Islands,604314.682981769,1385639.4670267105,753678.4422155392,598506.851114917,1294951.5195225023,746065.5688545869,10.970423888135528,NA,30.689584964383403,0.5326082802597547,178239.94953660818,-268927.8970408164,87552.00203239988,87552.00203239988,Sellers
PYF,Rapa-Pitcairn,309142.70087967464,319046.11483612465,404138.3278503308,306395.44641443464,246336.7708546702,400383.7345961643,24.71252967607697,NA,28.825995901825944,0.5738630532997906,79192.34595628113,-151901.68993773556,6483.001974826679,6483.001974826679,Sellers
SJM,North and East Barents Sea,329779.96363388514,156998706.81411946,399795.5137710163,333418.98106478853,165674379.3211424,404073.83554429444,2565.867756175415,NA,2299.586426632498,0.4568429690393154,8368235.0903845,307437.416638447,17043907.59740746,307437.416638447,Buyers
RUS,North and East Barents Sea,722132.6748686449,443783912.61997265,872775.1479672058,721757.3504681868,442934153.0145199,872333.152689861,2264.067042844839,NA,2299.586426632498,0.4568429690393154,863090.8968775088,-1712850.5023302848,13331.291424751282,13331.291424751282,Sellers
PYF,Tuamotus,1427066.6427304964,10395230.958133923,1708891.4948068156,1434531.5527721741,10856645.576310867,1718186.3944033417,64.27069296391471,NA,57.26981440299971,0.8412679155790252,427514.01262197446,33900.6055549701,888928.6307989191,33900.6055549701,Buyers
GRL,North Greenland,223452.59880282995,280570081.7380845,270706.0195778812,223493.64711460748,280784976.44582886,270752.37144531414,5235.165550998642,NA,5235.165550998642,0.6077968743013866,214894.70774437327,-1.3300450518727303e-8,429789.41548871994,-1.3300450518727303e-8,Doesn't participate
TKL,Phoenix/Tokelau/Northern Cook Islands,246970.20360530564,337749.6597469449,313341.7107855084,244200.29752999937,273756.2000996677,309783.4367684503,21.651473478185014,NA,34.38010356762832,0.9828622551983562,95229.6577416323,-159223.1173889095,31236.198094355117,31236.198094355117,Sellers
CAN,Lancaster Sound,193664.24528280608,324428.4882925144,242143.0239228938,193664.24528280608,324428.4882925144,242143.0239228938,8.041159475281207,NA,8.041159475281207,0.2921330931653673,0,0,0,0,Doesn't participate
ISL,South and West Iceland,300759.8429172175,166112445.01812682,362394.0929200896,300941.21806727257,166643387.51976722,362621.8534279992,2957.4673146176056,NA,2896.1788037510023,0.9151651870992128,525294.8651165714,5647.636523837806,1056237.3667569757,5647.636523837806,Buyers
ZAF,Agulhas Bank,314285.29667040193,7481198.181702341,349813.6513208408,314285.29667040193,7481198.181702341,349813.6513208408,326.08524028960954,NA,326.08524028960954,0.4391520615752552,0,0,0,0,Doesn't participate
ZAF,Prince Edward Islands,223437.74252962816,70098.6555522884,268554.4492281363,223437.74252962816,70098.6555522884,268554.4492281363,11.885878919785691,NA,11.885878919785691,0.278517439018828,0,0,0,0,Doesn't participate
NIU,Tonga Islands,258629.5409260985,230195.64822864532,316246.83110948757,253088.9529847689,111136.90340358671,309223.5788311684,14.086949180286883,NA,33.038174855854535,0.0031149715629185115,183050.91320988664,-302109.65803494526,63992.16838482802,63992.16838482802,Sellers
RUS,East Siberian Sea,507654.4664060615,3982400.586651385,673983.4512362607,507654.4664060615,3982400.586651385,673983.4512362607,22.956000805116126,NA,22.956000805116126,0.3179412242512005,0,0,0,0,Doesn't participate
ZAF,Namaqua,189528.07641224904,3677383.065153569,219220.18307719837,194009.10373269208,5844680.627964368,225171.05349685322,556.7787290192778,NA,417.4000628571622,0.522886682452771,1870381.0852175865,296916.4775932126,4037678.648028386,296916.4775932126,Buyers
WLF,Samoa Islands,135136.95651195693,703101.0056946278,173796.3669857942,131082.84781659822,367530.5434673168,168348.12298687472,81.89333416983898,NA,385.27256318098125,0.9989491055221951,1561936.848475153,-1897507.310702464,1226366.386247842,1226366.386247842,Sellers
CAN,Northern Labrador,281046.4929423825,19411513.61131419,326653.4531042032,281046.4929423825,19411513.61131419,326653.4531042032,598.7349597517941,NA,598.7349597517941,0.41495563535392865,0,0,0,0,Doesn't participate
NAM,Namib,271875.5623394589,24266594.94613006,341692.83690808096,267615.6296962205,16014847.044608599,335508.467531754,1666.8058311973598,NA,2323.95106367869,0.034355296024405235,9899874.997453446,-18151622.898974907,1648127.0959319845,1648127.0959319845,Sellers
ZAF,Natal,284900.5450428015,1782254.2482947777,312324.6206758797,284900.5450428015,1782254.2482947777,312324.6206758797,112.51020317565666,NA,112.51020317565666,0.033479093934723037,0,0,0,0,Doesn't participate
GEO,Black Sea,14593.161826777525,4853392.119021893,22722.147911083663,14155.3669719742,3751265.8926049625,22022.091006374972,2517.4490159598786,NA,3896.5491433427546,0.15884157378366937,1705889.1664437638,-2808015.392860694,603762.9400268337,603762.9400268337,Sellers
BMU,Bermuda,322420.40202988416,136279.21171859515,360446.9264957854,322420.40202988416,136279.21171859515,360446.9264957854,16.336997392994416,NA,16.336997392994416,0.5140716889717978,0,0,0,0,Doesn't participate
MNP,Mariana Islands,595582.0194944177,1557860.0037989616,691824.9612027325,592077.0172442712,1498813.883928269,687830.5138661579,15.328576960441247,NA,19.27151310741937,0.8081155984970223,67546.69680523209,-126592.81667592481,8500.57693453948,8500.57693453948,Sellers
NAM,Namaqua,149367.5773480995,3778548.1693816185,188510.9256779983,144886.5500276565,2898405.619856322,181333.49976418767,107.63970889952279,NA,417.4000628571622,0.522886682452771,1870381.0852175623,-2750523.634742859,990238.535692266,990238.535692266,Sellers
TWN,South China Sea Oceanic Islands,134908.2172393628,16777529.307991028,150862.14806541646,130779.74329608218,9405427.887326945,146344.1285947141,1101.5549728244791,NA,2393.8653356484083,0.021068207653156312,9883010.661947178,-17255112.082611263,2510909.2412830945,2510909.2412830945,Sellers
SHN,St. Helena and Ascension Islands,755322.9016896556,1330457.5676395986,824074.9070496204,755322.9016896556,1330457.5676395986,824074.9070496204,46.311496076656056,NA,46.311496076656056,0.5582862155725911,0,0,0,0,Doesn't participate
