iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Global,1625642.1281073615,-3504843.711103416,2529558.9068521177,1625642.1281073617,968869.9635535536,1912302.150271649,1.4235899525580609,NA,12.24776983023715,2.851656132898561e-9,4473713.674656967,4473713.674656972,4473713.674656967,Buyers
ATF,Global,814109.3689952046,2855354.0511580557,928940.2829452788,510544.5191456807,949216.6573373876,595803.7861522936,3.9692327331974018,NA,12.24776983023715,3717992.409507469,-5624129.803328137,1811855.0156868007,1811855.0156868007,Sellers
HMD,Global,90836.0391659403,70143.23719615396,107289.70524034921,63029.14075903111,120.26439226799279,75712.13903740972,0.037032956137407605,NA,12.24776983023715,340572.49138061184,-410595.46418449783,270549.51857672585,270549.51857672585,Sellers
CAN,Global,2563293.8343481957,4294924.001387496,3191670.8858224447,2217983.775741711,2011394.1449768087,2775436.465197977,3.8432818640620674,NA,12.24776983023715,4229278.117877928,-6512807.9742886145,1945748.2614672408,1945748.2614672408,Sellers
ARG,Global,42670.11557635589,62488.21581812948,50532.27632602242,442423.5283806416,354112711.8204206,526696.1949892642,1252.875367501778,NA,12.24776983023715,4896087.788878668,349154135.81572384,358946311.39348114,349154135.81572384,Buyers
IRL,Global,70366.3563316733,183372.33757556975,82289.19203881483,169916.0234521189,33585738.484129705,201167.550504857,1147.5455386922636,NA,12.24776983023715,1219261.409567945,32183104.73698619,34621627.55612208,32183104.73698619,Buyers
RUS,Global,1900488.9753750442,8092350.541408323,2408670.9644937883,2935363.9190120185,25639087.773897767,3734723.104628278,31.671161679035677,NA,12.24776983023715,12674910.112745306,4871827.119744139,30221647.34523475,4871827.119744139,Buyers
PCN,Global,345863.54259283916,186962.84703877568,453524.9883039322,210705.36466826627,8081.656701106132,276745.76816021896,0.09775134334894721,NA,12.24776983023715,1655386.2538944087,-1834267.4442320783,1476505.0635567391,1476505.0635567391,Sellers
PYF,Global,3060725.469423527,6237764.8849928975,3659078.5785636967,2022539.0651817052,2967964.4001943567,2412261.7559231305,2.2269526208027357,NA,12.24776983023715,12715468.120035375,-15985268.604833916,9445667.635236833,9445667.635236833,Sellers
SJM,Global,126831.27153944541,340864.0974048525,157760.09166960133,234752.00485331175,9075246.581284791,289045.17695299454,169.08700560030158,NA,12.24776983023715,1321788.3015386416,7412594.182341297,10056170.785418581,7412594.182341297,Buyers
