iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Global,2300691.239715434,6338396.383493239,2702991.2587267864,1907939.045659926,1531250.619947056,2237618.2967894655,3.0074168837930517,NA,43.18641717697222,0.08766689794239513,16961560.099652324,-21768705.863198508,12154414.33610614,12154414.33610614,Sellers
ATF,Global,861460.7474498841,3908482.8031111807,983611.6921994105,609534.2588510021,1396983.3720464965,704872.8263097339,4.910745359848279,NA,43.18641717697222,0.08766689794239513,10879802.434561053,-13391301.865625737,8368303.003496369,8368303.003496369,Sellers
HMD,Global,101985.65943528077,426720.18250865396,120715.54664211946,80422.30905145148,9836.201467395014,94878.80643004896,2.2987714890567332,NA,43.18641717697222,0.08766689794239513,931243.8454092761,-1348127.826450535,514359.8643680171,514359.8643680171,Sellers
CAN,Global,2730979.8155468977,8625362.412276167,3390161.7846358153,2603235.322087238,4854050.732824411,3239798.1939823288,16.60897560620721,NA,43.18641717697222,0.08766689794239513,5516826.98660986,-9288138.666061617,1745515.3071581041,1745515.3071581041,Sellers
ARG,Global,46665.421348541255,168371.39159937948,55235.47113717296,518987.4730078737,453538070.8474087,618332.3623044376,1344.7371814689247,NA,43.18641717697222,0.08766689794239513,20397897.164843354,432971802.290966,473767596.6206527,432971802.290966,Buyers
IRL,Global,93533.95486151734,623233.6715599447,109352.44520414558,199211.88956455322,73287248.6512884,234286.94213465112,1623.643838815821,NA,43.18641717697222,0.08766689794239513,4563851.374486137,68100163.60524233,77227866.3542146,68100163.60524233,Buyers
RUS,Global,3028728.9758008835,29113338.07998254,3849408.282151989,3463923.845658047,89107733.71392368,4380445.730850836,279.4473153219491,NA,43.18641717697222,0.08766689794239513,18794507.2029296,41199888.431011535,78788902.83687073,41199888.431011535,Buyers
PCN,Global,363285.1114970108,703049.3157887757,476151.8453457115,247033.87581796735,12094.02388823759,322861.93291111046,0.12933195928279442,NA,43.18641717697222,0.08766689794239513,5020474.361373688,-5711429.653274226,4329519.06947315,4329519.06947315,Sellers
PYF,Global,3297944.0162895177,13668512.279524148,3939496.1458813073,2371252.6971095856,3781553.8096928657,2825182.747069739,2.433546961851069,NA,43.18641717697222,0.08766689794239513,40020477.904383264,-49907436.374214545,30133519.434551984,30133519.434551984,Sellers
SJM,Global,157633.52444820938,1099486.2824634463,195229.50389931584,286667.17009334086,20808915.106309365,350709.04909686936,305.46710413693637,NA,43.18641717697222,0.08766689794239513,5572500.850696253,14136927.973149667,25281929.674542174,14136927.973149667,Buyers
