iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Global,2811289.1818281324,367359211.76630574,3308338.1476399577,2726600.106562363,224103482.1607283,3203825.090615183,1292.8682480886569,NA,4398.16410531849,0.5992154288690741,372476450.9465229,-515732180.5521003,229220721.34094545,229220721.34094545,Sellers
ATF,Global,926301.4259080306,12341597.99842368,1056827.160321211,896604.5039964343,6375243.197447973,1023908.0446079333,113.07942807687688,NA,4398.16410531849,0.5992154288690741,130611935.9900291,-136578290.7910048,124645581.18905339,124645581.18905339,Sellers
HMD,Global,136080.44758719666,7868114.112196154,160359.72859561464,130862.49709947057,4909575.46960893,154465.53813293323,344.67290141615086,NA,4398.16410531849,0.5992154288690741,22949402.538446005,-25907941.18103323,19990863.89585878,19990863.89585878,Sellers
CAN,Global,3826219.4319541417,752640925.7325886,4686458.175077494,3720464.8064892692,510546913.66556895,4560397.352034914,1547.642657572307,NA,4398.16410531849,0.5992154288690741,465126197.6910028,-707220209.7580225,223032185.6239831,223032185.6239831,Sellers
ARG,Global,748736.5543848013,840175198.1494119,899745.5975776053,741022.9124268465,814636150.9337183,889602.9278039847,2612.644426481121,NA,4398.16410531849,0.5992154288690741,33925863.180755675,-59464910.39644927,8386815.965062022,8386815.965062022,Sellers
IRL,Global,291432.9367060498,322941125.41374743,340851.2409877232,284169.9012906126,294451145.5342113,332572.1703244919,3792.7418740897915,NA,4398.16410531849,0.5992154288690741,31944021.659832813,-60434001.539368965,3454041.7802966833,3454041.7802966833,Sellers
RUS,Global,4620764.981907349,1955435509.8797872,5770216.884047507,4996747.632931529,4729800585.989014,6212945.41797047,10799.82004068861,NA,4398.16410531849,0.5992154288690741,1653633399.9570348,1120731676.1521914,4427998476.066261,1120731676.1521914,Buyers
PCN,Global,363285.11149701074,703049.3157887757,476151.84534571145,352386.55815210036,330479.30243549426,462087.05690545816,32.38317423891763,NA,4398.16410531849,0.5992154288690741,47933626.12148361,-48306196.13483689,47561056.10813033,47561056.10813033,Sellers
PYF,Global,3487136.3192788023,26887593.834211648,4168156.8049968225,3382522.229700438,17780187.346737124,4042859.5746693425,57.241041291981304,NA,4398.16410531849,0.5992154288690741,460109933.6941339,-469217340.1816084,451002527.2066594,451002527.2066594,Sellers
SJM,Global,452250.1904282056,209919577.55980718,547847.8439673547,437221.1492894252,166228535.59484357,530265.8907165708,2312.2847780232278,NA,4398.16410531849,0.5992154288690741,66100189.27393897,-109791231.23890258,22409147.30897534,22409147.30897534,Sellers
GRL,Global,1174742.0401010076,1217908175.337369,1396538.088700824,1191878.6289421078,1296581803.3452091,1416771.521772053,4830.4947243378865,NA,4398.16410531849,0.5992154288690741,75369529.92852838,3304098.079311773,154043157.93636847,3304098.079311773,Buyers
