iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Global,2097358.0574938837,2396020.5485323016,2460524.908669144,1484493.6693310798,779563.891877143,1748888.818201596,1.2449043570963698,NA,8.007776177318695,0.10569673671155366,4907680.847457098,-6524137.504112257,3291224.190801939,3291224.190801939,Sellers
ATF,Global,754696.0803103982,2299721.8441268057,863616.5931500782,461049.64929302013,765357.2238933208,538952.4129746659,3.3950599238554195,NA,8.007776177318695,0.10569673671155366,2351454.894855618,-3885819.515089103,817090.2746221331,817090.2746221331,Sellers
HMD,Global,87651.87199796682,35336.55164927896,103492.73731140021,54332.55661282093,59.63849759785399,64341.46496207324,0.004273592485864447,NA,8.007776177318695,0.10569673671155366,266813.6199857395,-302090.53313742066,231536.70683405842,231536.70683405842,Sellers
CAN,Global,2468007.7954718443,3324472.9696492143,3077159.011186067,2025358.0025689465,1357819.992808105,2539649.3411436165,2.975022517073024,NA,8.007776177318695,0.10569673671155366,3544640.466502879,-5511293.443343988,1577987.4896617695,1577987.4896617695,Sellers
ARG,Global,38598.793457335654,23575.82519312948,45726.881951249794,404141.55606702564,307104690.48801386,480747.97808628326,1205.2819238798736,NA,8.007776177318695,0.10569673671155366,2927184.626217138,304153930.0366036,310008299.2890379,304153930.0366036,Buyers
IRL,Global,62525.61468744813,102931.41667713225,73073.8021839393,155268.09039590173,20807697.499840375,182125.7338675113,726.750078915722,NA,8.007776177318695,0.10569673671155366,742660.9876037125,19962105.09555953,21447427.070766956,19962105.09555953,Buyers
RUS,Global,1385442.48052313,2732808.0318868384,1764811.983738569,2671083.9556890046,19582552.41696621,3380298.331245108,18.72275010530335,NA,8.007776177318695,0.10569673671155366,10295129.177406156,6554615.207673216,27144873.56248553,6554615.207673216,Buyers
PCN,Global,343813.0626788832,167143.16735127568,450799.66695276904,192541.1090934157,6453.3275229140345,251567.7205778819,0.08295466879831377,NA,8.007776177318695,0.10569673671155366,1211351.946218166,-1372041.7860465278,1050662.1063898043,1050662.1063898043,Sellers
PYF,Global,3028799.8812182653,5903305.3732741475,3619218.490338407,1848182.2492177652,2586312.960745245,2205368.08047622,2.145965624918238,NA,8.007776177318695,0.10569673671155366,9454121.748056015,-12771114.160584917,6137129.335527113,6137129.335527113,Sellers
SJM,Global,114242.29555469351,217575.27074469626,142226.1828182138,208794.42223329723,5275683.817952417,257331.91558252947,119.89499304064189,NA,8.007776177318695,0.10569673671155366,757152.2675317422,4300956.279675978,5815260.814739463,4300956.279675978,Buyers
GRL,Global,123952.02204594748,380774.440640457,151233.9072027728,621949.3856661154,78811844.42110664,744207.8653271516,647.1001193583247,NA,8.007776177318695,0.10569673671155366,3987851.4247650965,74443218.55570109,82418921.40523128,74443218.55570109,Buyers
TKL,Global,237157.20550482668,181669.5992000699,301171.7004003293,133429.02854731923,358.20281333111006,169398.1722519773,0.004981598373763364,NA,8.007776177318695,0.10569673671155366,830632.0243570261,-1011943.4207437648,649320.6279702873,649320.6279702873,Sellers
ISL,Global,140171.09614799675,177051.92615884542,169537.10991341324,270089.37727417983,6615064.678850083,322846.2091210933,127.20021344110353,NA,8.007776177318695,0.10569673671155366,1040356.5166004419,5397656.236090795,7478369.269291679,5397656.236090795,Buyers
ZAF,Global,925302.1900112028,386564.16009783745,1039897.8583565153,590177.9764248373,10551.063148129337,669880.9876917789,0.12231651906497913,NA,8.007776177318695,0.10569673671155366,2683599.69399956,-3059612.7909492683,2307586.597049852,2307586.597049852,Sellers
NIU,Global,249557.81695763918,71313.34354114532,304658.93538860756,138285.7165793067,424.416713783471,168472.424297762,0.005352267544743291,NA,8.007776177318695,0.10569673671155366,891042.0746098254,-961931.0014371872,820153.1477824636,820153.1477824636,Sellers
WLF,Global,138095.57262896915,148263.1067993641,176874.141224092,82717.08059531216,13493.177343636922,105600.0251987926,0.6390626314852119,NA,8.007776177318695,0.10569673671155366,443458.5692429516,-578228.4986986788,308688.6397872244,308688.6397872244,Sellers
NAM,Global,269207.9053266025,111880.26506710052,322468.38023790997,225387.7889212937,3779.2080742271955,267359.86221191584,0.20185350245970604,NA,8.007776177318695,0.10569673671155366,350901.68423776416,-459002.7412306375,242800.62724489084,242800.62724489084,Sellers
GEO,Global,1464.921431150231,2.7752718925476074,2281.3015383986713,7734.375768192088,493007.1186687011,11635.682150065506,95.89913802473033,NA,8.007776177318695,0.10569673671155366,50204.38708495115,442799.9563118574,543208.7304817596,442799.9563118574,Buyers
BMU,Global,314281.04839773296,15339.305366516113,351072.2991051022,176167.8485317924,2977.674038030691,196544.626367218,0.022869490583124236,NA,8.007776177318695,0.10569673671155366,1105979.5916597343,-1118341.2229882197,1093617.9603312488,1093617.9603312488,Sellers
MNP,Global,567752.7202060241,1192465.8084864616,659617.3914235203,323505.99911284924,297653.86087557557,369332.2171492819,2.4621402144173694,NA,8.007776177318695,0.10569673671155366,1955873.0745581293,-2850685.0221690154,1061061.1269472432,1061061.1269472432,Sellers
TWN,Global,70394.06812384367,121151.15369415283,78318.51909449873,163928.67955032803,3262047.6596435416,182253.26112668953,121.60041593784639,NA,8.007776177318695,0.10569673671155366,749004.2331357625,2391892.272813626,3889900.7390851513,2391892.272813626,Buyers
SHN,Global,1264900.902952231,379736.5297451019,1407303.5822424267,718660.9974742866,48952.45159709382,793123.3227036956,0.13396087209560223,NA,8.007776177318695,0.10569673671155366,4374166.902187099,-4704950.980335107,4043382.8240390904,4043382.8240390904,Sellers
CHL,Global,1532838.223713494,5565202.299434662,1828930.0596075116,1033188.5185384091,2392999.3853590065,1256667.2086456255,4.90089374966564,NA,8.007776177318695,0.10569673671155366,4001083.006105353,-7173285.920181008,828880.0920296977,828880.0920296977,Sellers
BHS,Global,251714.53988612196,119732.61922645569,304452.742230668,257297.43493638415,171561.77919682354,310694.5286179117,9.575667901289755,NA,8.007776177318695,0.10569673671155366,44706.57398396001,7122.585986407845,96535.73395432785,7122.585986407845,Buyers
JAM,Global,175011.60447807692,55350.490736961365,197854.76283391562,116556.51364967634,2820.2700233672617,131361.9458532536,0.08614690146370374,NA,8.007776177318695,0.10569673671155366,468095.28377866664,-520625.50449226075,415565.0630650725,415565.0630650725,Sellers
AIA,Global,57896.77814238075,1591.1785192489624,69394.10023539259,41439.44704051273,610.254450415005,49690.12809727022,0.02412502540493085,NA,8.007776177318695,0.10569673671155366,131786.62393978474,-132767.5480086187,130805.69987095078,130805.69987095078,Sellers
CRI,Global,402476.7881249161,257865.777176857,467431.49387269834,260562.84526929067,19701.549681918532,299691.6530225205,0.3289320233879509,NA,8.007776177318695,0.10569673671155366,1136415.0908286436,-1374579.3183235822,898250.8633337052,898250.8633337052,Sellers
TCA,Global,50489.39289371289,11479.63565158844,65161.07056315392,36979.82358143293,559.0090362463335,47586.17646980506,0.024049651594707195,NA,8.007776177318695,0.10569673671155366,108181.60730471114,-119102.23392005324,97260.98068936904,97260.98068936904,Sellers
CYM,Global,88798.30546558768,4661.409663200378,107635.82052165201,49494.747846481485,743.6520452662866,58772.52582719655,0.023904704617941388,NA,8.007776177318695,0.10569673671155366,314734.09238615126,-318651.85000408534,310816.3347682172,310816.3347682172,Sellers
ATG,Global,67926.48769646337,4549.773719787598,78662.45326122027,49728.78866216904,677.5053591883947,57738.23341264263,0.01910230445740195,NA,8.007776177318695,0.10569673671155366,145723.10080883757,-149595.36916943677,141850.83244823836,141850.83244823836,Sellers
DOM,Global,202044.90531174603,275294.86208057404,236235.0758197178,118800.99994890693,100907.66747845724,139032.67265401868,1.2725621800806977,NA,8.007776177318695,0.10569673671155366,666598.5622715149,-840985.7568736317,492211.3676693981,492211.3676693981,Sellers
COG,Global,16418.97435173535,19194.64826965332,18370.866803048903,13971.03375620915,11243.749983434584,15568.84063894818,3.247994784166587,NA,8.007776177318695,0.10569673671155366,19602.560384346034,-27553.45867056477,11651.662098127297,11651.662098127297,Sellers
GAB,Global,107301.05504516757,376298.53884506226,116640.56418819563,95244.59986126442,305091.9982610747,103433.186802622,4.844545164132814,NA,8.007776177318695,0.10569673671155366,96545.39460457012,-167751.93518855766,25338.85402058257,25338.85402058257,Sellers
HTI,Global,67912.49966062252,35106.735485076904,79190.02894880497,44501.912992127254,758.1872934718983,50208.2095708754,0.19376944176892824,NA,8.007776177318695,0.10569673671155366,187466.738221031,-221815.286412636,153118.19002942598,153118.19002942598,Sellers
AUS,Global,2554064.2427427056,1614063.8209228516,2889943.4872939945,2371771.485916978,657772.5919436137,2686623.1441257806,2.329288999318643,NA,8.007776177318695,0.10569673671155366,1459759.5954068098,-2416050.8243860477,503468.366427572,503468.366427572,Sellers
USA,Global,3175966.01178706,9888400.20648861,3623102.5178878256,3145337.1589409206,9654641.591349734,3587973.8488977114,7.334801733227964,NA,8.007776177318695,0.10569673671155366,245268.9981599164,-479027.6132987917,11510.383021041751,11510.383021041751,Sellers
HND,Global,99342.7059110765,65420.14877510071,117386.238792941,88151.24524439487,24677.847266087163,104444.19222064194,1.8579143865060306,NA,8.007776177318695,0.10569673671155366,89618.71211605231,-130361.01362506585,48876.410607038764,48876.410607038764,Sellers
