iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Global,2285368.48888166,5742235.258493239,2684955.590849569,1851479.6621494137,1380192.3067704516,2171145.3429716895,2.4868627135787933,NA,33.44065754074376,0.04597000100933446,14509527.665508159,-18871570.617230944,10147484.71378537,10147484.71378537,Sellers
ATF,Global,856181.0321865435,3712458.9281111807,977535.3118885672,589736.3109099378,1300680.152862455,682936.2369873058,4.815035987929883,NA,33.44065754074376,0.04597000100933446,8910086.67774989,-11321865.452998616,6498307.902501165,6498307.902501165,Sellers
HMD,Global,95639.16755508025,189488.87391490396,113016.73751215907,76943.67539296742,3144.3902272550686,90677.32656791457,1.700215099142876,NA,33.44065754074376,0.04597000100933446,625189.5509488742,-811534.0346365231,438845.0672612253,438845.0672612253,Sellers
CAN,Global,2685859.747103314,6913819.892744917,3337175.7228083755,2526185.012818133,3870117.796644541,3147305.2059803037,10.653556860225086,NA,33.44065754074376,0.04597000100933446,5339628.107139992,-8383330.2032403685,2295926.011039615,2295926.011039615,Sellers
ARG,Global,44652.457207662344,88180.73534937948,52849.2603287743,503674.68408242724,432999760.8716153,599535.0725968668,1336.1061079494896,NA,33.44065754074376,0.04597000100933446,15350005.0925086,417561575.0437573,448261585.2287745,417561575.0437573,Buyers
IRL,Global,90360.77779172553,505759.12859119475,105641.5191526025,193352.7163420663,63983420.06961465,227440.6046244792,1474.4341242847026,NA,33.44065754074376,0.04597000100933446,3444118.1465192707,60033542.79450418,66921779.08754273,60033542.79450418,Buyers
RUS,Global,2946710.646225486,26007158.859279417,3748667.3637996707,3358211.860328841,63884094.050671674,4252734.452640227,197.929212003688,NA,33.44065754074376,0.04597000100933446,13760871.178430572,24116064.012961686,51637806.36982283,24116064.012961686,Buyers
PCN,Global,358831.2294065096,540993.0579762757,470413.24648664094,239768.17358802707,11184.911058052754,313304.55398740596,0.11793070143094794,NA,33.44065754074376,0.04597000100933446,3981546.875380333,-4511355.022298556,3451738.7284621103,3451738.7284621103,Sellers
PYF,Global,3192366.165660959,9664163.138899148,3812906.4127343856,2301509.97072401,3613231.6100497306,2741823.253356071,2.3936924946708578,NA,33.44065754074376,0.04597000100933446,29790816.932936583,-35841748.461786,23739885.404087167,23739885.404087167,Sellers
SJM,Global,149255.65489499047,771401.3254321963,185121.66254777616,276284.13704533497,17910863.20838184,338249.1393720068,259.3257491414736,NA,33.44065754074376,0.04597000100933446,4247915.969510151,12891545.913439492,21387377.852459796,12891545.913439492,Buyers
GRL,Global,300141.7535066271,3895216.11373616,366768.20977899176,790337.5711794767,237069599.0684907,939637.7148059772,1280.3442939238898,NA,33.44065754074376,0.04597000100933446,16392470.466702629,216781912.48805192,249566853.42145717,216781912.48805192,Buyers
TKL,Global,246970.20360530564,337749.6597469449,313341.7107855084,166156.9034740202,537.0773775221795,211122.6661773974,0.006088828068767608,NA,33.44065754074376,0.04597000100933446,2702449.894427659,-3039662.4767970815,2365237.3120582364,2365237.3120582364,Sellers
ISL,Global,201905.1010992207,1247922.143932283,242808.8280230686,336337.7150961485,23124800.01398988,400470.5478266901,426.53668267679234,NA,33.44065754074376,0.04597000100933446,4495515.0069782585,17381362.86307934,26372392.877035856,17381362.86307934,Buyers
ZAF,Global,992602.1227717899,1815775.1952540874,1117594.2836647516,734938.6121516841,32499.682148823416,827025.6209910478,0.18575016777810624,NA,33.44065754074376,0.04597000100933446,8616437.219392749,-10399712.732498012,6833161.706287485,6833161.706287485,Sellers
NIU,Global,258629.5409260985,230195.64822864532,316246.83110948757,172204.85460819327,633.9203955157809,209774.9708094652,0.007003711803743627,NA,33.44065754074376,0.04597000100933446,2890098.3382232715,-3119660.066056401,2660536.610390142,2660536.610390142,Sellers
WLF,Global,149370.36392705407,370026.1028931141,191776.4924923832,103006.17583567172,31174.660626092475,131639.99555353267,1.7269969862351404,NA,33.44065754074376,0.04597000100933446,1550448.9361185473,-1889300.378385569,1211597.4938515257,1211597.4938515257,Sellers
NAM,Global,315060.4530756572,1040325.7553014755,381240.0071463997,280671.58620387514,221579.13485039547,336934.43946786947,14.090560178957858,NA,33.44065754074376,0.04597000100933446,1149986.3202734918,-1968732.9407245717,331239.69982241176,331239.69982241176,Sellers
GEO,Global,1464.921431150231,2.7752718925476074,2281.3015383986713,9631.486805673167,682392.8506266505,14518.840854550534,110.34104876032238,NA,33.44065754074376,0.04597000100933446,273095.31597351725,409294.7593812407,955485.3913282752,409294.7593812407,Buyers
BMU,Global,325884.143139218,205795.3131790161,364426.52432016644,219378.83024713775,4057.5340669830935,245082.4841434524,0.026868593629357077,NA,33.44065754074376,0.04597000100933446,3561607.694693816,-3763345.473805849,3359869.915581783,3359869.915581783,Sellers
MNP,Global,607898.9518794429,1897956.0702052116,706629.6065101578,402856.52719713305,512311.15547466057,463125.337290765,2.9983399489898734,NA,33.44065754074376,0.04597000100933446,6856753.505124869,-8242398.41985542,5471108.590394318,5471108.590394318,Sellers
TWN,Global,127537.7441566702,925875.7982254028,141606.3403207835,204801.72455908556,16440911.019152386,227727.28193354586,512.3707259382148,NA,33.44065754074376,0.04597000100933446,2583758.308871909,12931276.912055075,18098793.52979889,12931276.912055075,Buyers
SHN,Global,1290514.080317269,735189.9535732269,1434716.4332683277,894936.3364774133,74042.08862328444,992574.9887284901,0.15254456972273364,NA,33.44065754074376,0.04597000100933446,13228379.862488676,-13889527.727438617,12567231.997538734,12567231.997538734,Sellers
CHL,Global,1850844.0068468922,9744674.667598724,2202934.5500529166,1370536.6551779474,4361185.00280312,1643508.8785166598,6.883725251035125,NA,33.44065754074376,0.04597000100933446,16061793.661462763,-21445283.32625837,10678303.996667158,10678303.996667158,Sellers
BHS,Global,278190.82226491673,519136.4746952057,335050.25359771965,320408.12652455387,22146645.977386404,383598.8418109958,596.4570881708822,NA,33.44065754074376,0.04597000100933446,1411774.4140399082,20215735.08865129,23039283.916731108,20215735.08865129,Buyers
JAM,Global,185347.88751434226,229122.64503383636,209620.77098169038,145145.8471863894,9132.403263191922,164264.2801722529,0.4226695497369999,NA,33.44065754074376,0.04597000100933446,1344382.6630462413,-1564372.9048168857,1124392.4212755968,1124392.4212755968,Sellers
AIA,Global,67381.40432770913,144171.53398799896,80905.8580361115,51603.839710827175,897.3506232975349,61942.18983865081,0.03543144773612909,NA,33.44065754074376,0.04597000100933446,527612.1351801053,-670886.3185448068,384337.95181540394,384337.95181540394,Sellers
CRI,Global,434694.328585503,952181.386551857,504173.2810508195,325652.3283887768,48843.10487115589,376483.44687130523,0.7650179739133983,NA,33.44065754074376,0.04597000100933446,3646436.1861364334,-4549774.467817134,2743097.904455732,2743097.904455732,Sellers
TCA,Global,59149.81251114757,178911.59854221344,76493.00611129677,46050.34634669007,1487.2995743180604,59308.889557788745,0.35787563794226873,NA,33.44065754074376,0.04597000100933446,438054.76197218325,-615479.0609400787,260630.46300428786,260630.46300428786,Sellers
CYM,Global,93386.3166914745,64419.63817882538,113439.45092669428,61634.96901637317,1068.2319505626303,73405.39325211532,0.03509796902184352,NA,33.44065754074376,0.04597000100933446,1061785.9440601538,-1125137.3502884165,998434.5378318911,998434.5378318911,Sellers
ATG,Global,80114.87263125872,228890.2424697876,93181.59022413642,61926.416069870895,1505.3399753490999,71820.76694950619,0.3442032758462544,NA,33.44065754074376,0.04597000100933446,608233.9470640642,-835618.8495585027,380849.0445696257,380849.0445696257,Sellers
