iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Global,2229147.0339655285,4154738.512399489,2617814.8805998783,1766790.586883644,1196461.2796055523,2073999.3892680996,1.8952913624690317,NA,21.304657359081776,9850345.682841972,-12808622.915635908,6892068.450048035,6892068.450048035,Sellers
ATF,Global,841239.8368072135,3305782.8538924307,960393.9667101636,560039.3889983415,1161404.4113426085,652323.3984951348,4.554032215688772,NA,21.304657359081776,5990879.189788375,-8135257.632338197,3846500.747238553,3846500.747238553,Sellers
HMD,Global,92409.89126465596,98393.29578990396,109177.61347544222,71725.72490524131,570.8438146515466,84894.83085948508,0.07094298040010517,NA,21.304657359081776,440669.0770455751,-538491.5290208275,342846.62507032265,342846.62507032265,Sellers
CAN,Global,2625101.090482107,5262816.446455855,3265334.464743312,2410609.548914475,2919347.164194808,3009901.7548606093,6.334953007417525,NA,21.304657359081776,4569668.799519646,-6913138.081780693,2226199.517258599,2226199.517258599,Sellers
ARG,Global,44652.45720766236,88180.73534937948,52849.26032877431,480705.5006942577,402880660.36798173,573134.233014655,1292.4049572388199,NA,21.304657359081776,9289960.6818667,393502518.95076567,412082440.3144991,393502518.95076567,Buyers
IRL,Global,90360.77779172553,505759.12859119475,105641.51915260252,184563.95650833604,51757403.98565889,217850.04899583352,1303.9922866959214,NA,21.304657359081776,2006966.4446937318,49244678.41237397,53258611.301761426,49244678.41237397,Buyers
RUS,Global,2789848.769195134,21958575.33681848,3538127.007982304,3199643.8823350333,41150778.80891836,4059451.809745239,100.62213574326128,NA,21.304657359081776,8730544.472871708,10461658.99922817,27922747.944971584,10461658.99922817,Buyers
PCN,Global,349966.461842288,256557.80797627568,458975.42365184316,228869.6202431168,9945.875827999189,299455.70571340667,0.11000048858265866,NA,21.304657359081776,2579926.717537342,-2826538.6496856185,2333314.7853890657,2333314.7853890657,Sellers
PYF,Global,3086327.219047413,6688288.8615553975,3688676.8111935793,2196895.881145646,3366039.715458388,2618855.4680010662,2.3353261721412815,NA,21.304657359081776,18949029.89842684,-22271279.044523846,15626780.752329828,15626780.752329828,Sellers
SJM,Global,141165.30067861517,569682.9826587588,175373.5084724337,260709.58747332633,14159609.892176254,320259.0412504627,220.91995522085344,NA,21.304657359081776,2546850.069397126,11043076.84012037,16136776.97891462,11043076.84012037,Buyers
GRL,Global,224075.58498036268,1815543.3705720976,273744.8061022706,751478.7591379319,190455051.6246074,894186.0134776277,1107.4313243374618,NA,21.304657359081776,11236143.915519144,177403364.33851618,199875652.16955447,177403364.33851618,Buyers
TKL,Global,242249.57158164636,231520.1089656949,307258.5621438942,158604.31695247383,492.32708340317737,203820.97186391448,0.005710305566684326,NA,21.304657359081776,1782033.4895876695,-2013061.2714699612,1551005.7077053778,1551005.7077053778,Sellers
UKR,Global,18495.349095586585,58525.28315407038,31040.08988125488,54918.57236624038,5224888.535549899,85645.04865230885,241.41921118992772,NA,21.304657359081776,775984.291694613,4390378.960701215,5942347.544090441,4390378.960701215,Buyers
ISL,Global,182503.89710079168,751873.0814322829,220089.74424018108,321049.63713723264,17463419.83924479,383170.4398632368,333.28321158862667,NA,21.304657359081776,2951669.5200367924,13759877.237775715,19663216.2778493,13759877.237775715,Buyers
ZAF,Global,961002.3637131138,917136.0858790874,1081042.263781726,701532.3115993348,26570.766034662567,792363.5462905403,0.1684704182702599,NA,21.304657359081776,5527920.555227154,-6418485.875071579,4637355.235382729,4637355.235382729,Sellers
NIU,Global,256267.98277972863,157932.32010364532,313377.53167995234,164377.36121691178,579.854484445404,202786.76839900034,0.006857749674303938,NA,21.304657359081776,1957698.2069088644,-2115050.6725280643,1800345.7412896645,1800345.7412896645,Sellers
WLF,Global,142632.64919005707,200498.3919556141,182840.51833233226,98324.07693405027,25050.490580258513,125748.92865680803,0.8834491390515892,NA,21.304657359081776,943978.9499843417,-1119426.8513596973,768531.0486089862,768531.0486089862,Sellers
"NAM",Global,291295.55328246823,401703.3685827255,350068.90921320044,267913.7868309717,102488.4780564326,322468.38023791,7.257285204079874,NA,21.304657359081776,498140.5226992066,-797355.4132254994,198925.6321729137,198925.6321729137,Sellers
GEO,Global,1464.9214311502308,2.7752718925476074,2281.301538398671,9193.69195086984,634086.1072057785,15878.41796199892,110.3410487603224,NA,21.304657359081776,164658.80772959863,469424.5242042873,798742.1396634845,469424.5242042873,Buyers
BMU,Global,323572.1692374091,155095.6295852661,361752.6406059735,209407.06523590416,3794.2427378709604,233871.96899906427,0.02578484132536039,NA,21.304657359081776,2432248.423115998,-2583549.809963393,2280947.036268603,2280947.036268603,Sellers
MNP,Global,595582.0194944177,1557860.0037989616,691824.9612027326,384544.8668699906,458849.12796277046,441723.707076117,2.8397315107701884,NA,21.304657359081776,4496074.226699665,-5595085.102535857,3397063.350863474,3397063.350863474,Sellers
TWN,Global,117205.9849624179,688667.1927566528,130043.91686129787,195369.48340321842,11930413.188428564,219311.00006106863,433.59200379020797,NA,21.304657359081776,1665246.5522683775,9576499.443403535,12906992.547940288,9576499.443403535,Buyers
SHN,Global,1285085.1692806345,571393.4926357269,1428715.6948522204,854257.4120920765,67963.97181967828,947730.3461365881,0.1458368421218034,NA,21.304657359081776,9178637.747683909,-9682067.268499957,8675208.22686786,8675208.22686786,Sellers
CHL,Global,1803400.071708752,8438833.093379974,2141979.8583813864,1292687.085184208,3841770.5402194774,1554923.2150271758,6.433969437290257,NA,21.304657359081776,10880565.186738763,-15477627.739899259,6283502.633578266,6283502.633578266,Sellers
BHS,Global,273147.4003045822,395278.5098514557,329517.61128865636,305844.12077343784,13661826.85620292,368660.9863224432,557.3168069639444,NA,21.304657359081776,696592.426354645,12569955.91999682,13963140.77270611,12569955.91999682,Buyers
JAM,Global,182659.00614498364,149200.27784633636,206673.2477333196,138548.30867791717,6639.807573308237,159438.65822661968,0.3417118937431544,NA,21.304657359081776,939763.2954059674,-1082323.7656789955,797202.8251329393,797202.8251329393,Sellers
AIA,Global,67381.40432770913,144171.53398799896,80905.85803611152,49258.21063306231,821.3669890809122,60693.99102672519,0.029905248449006182,NA,21.304657359081776,386108.4319167218,-529458.5989156398,242758.26491780375,242758.26491780375,Sellers
CRI,Global,415577.1794460155,437058.609208107,482738.17574087944,310631.67843812617,39608.788673217685,360368.3160901153,0.510687704616865,NA,21.304657359081776,2235827.9403502536,-2633277.7608851427,1838378.1198153642,1838378.1198153642,Sellers
TCA,Global,57053.43925472887,109336.33291721344,73643.50267455552,43957.148785476886,744.9927102136529,56573.186078166065,0.02855255617038137,NA,21.304657359081776,279011.9811224219,-387603.3213294217,170420.64091542212,170420.64091542212,Sellers
CYM,Global,93386.3166914745,64419.63817882538,113439.45092669429,58833.37951562893,980.6338073564389,72877.7565562343,0.030575101381937055,NA,21.304657359081776,736138.4872812686,-799577.4916527375,672699.4829097997,672699.4829097997,Sellers
ATG,Global,77460.35121290163,160876.3127822876,90241.87255331279,59111.57897578585,881.724615966139,69867.60799180828,0.023291514704170842,NA,21.304657359081776,390914.3054715841,-550908.8936379056,230919.71730526263,230919.71730526263,Sellers
DOM,Global,218671.1501879217,535059.346455574,256316.42391358642,146246.89604227056,137049.45748203914,172239.4436818304,1.399015014046058,NA,21.304657359081776,1542973.9190601557,-1940983.8080336908,1144964.030086621,1144964.030086621,Sellers
COG,Global,18950.184082594,54013.00764465332,21432.75516271046,17077.82166749836,28257.50162938213,21432.75516271046,13.755620069929451,NA,21.304657359081776,39890.0397056355,-65645.5457209067,14134.533690364311,14134.533690364311,Sellers
GAB,Global,120701.47986661403,529539.0622825623,132018.153485109,113215.27908037094,429625.0457128653,125863.67407161214,10.79910809747475,NA,21.304657359081776,159490.94267219765,-259404.9592418946,59576.9261025007,59576.9261025007,Sellers
HTI,Global,67912.49966062252,35106.735485076904,79190.02894880499,52898.5003491324,2728.387506799848,61662.74800426551,0.29089054383469815,NA,21.304657359081776,319868.1109207866,-352246.4588990637,287489.76294250955,287489.76294250955,Sellers
AUS,Global,2718353.881152697,4184406.0142822266,3072864.6604148187,2902992.3816847503,9256382.733616266,3276809.609235071,34.303927643281334,NA,21.304657359081776,3933659.989130036,1138316.7302040039,9005636.708464075,1138316.7302040039,Buyers
USA,Global,3432630.553537876,13423029.111762047,3913733.3556321105,3738797.0002505286,24274387.0892993,4266180.833205953,58.71392143354502,NA,21.304657359081776,6522771.242060634,4328586.735476618,17374129.219597887,4328586.735476618,Buyers
HND,Global,106941.86860931173,162808.8089313507,126251.33088423961,104783.55566786563,127072.69201805854,126251.33088423961,16.557430679792184,NA,21.304657359081776,45982.11769118109,-81718.23460447325,10246.000777888927,10246.000777888927,Sellers
CUW,Global,24668.494265497728,68619.61200141907,26942.1516349579,19158.846552048773,4759.176862235573,23934.49601324866,2.137200808432986,NA,21.304657359081776,117381.15670427834,-181241.59184346185,53520.72156509485,53520.72156509485,Sellers
CUB,Global,178996.21179011164,209006.58285331726,220263.8697737665,181775.21928123824,461063.7802500648,226011.603953168,336.654445420302,NA,21.304657359081776,59205.802396773666,192851.39499997388,311262.9997935212,192851.39499997388,Buyers
GBR,Global,39822.149434856685,417195.07607650757,47158.82868573817,376782.91910845076,563737426.1458206,444913.1363139094,2979.9640619262286,NA,21.304657359081776,7178833.741348396,556141397.3283957,570499064.8110925,556141397.3283957,Buyers
