iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Subantarctic New Zealand,515435.89685303706,732900.1291991633,633773.3118329976,515435.89685303706,732900.1291991633,633773.3118329976,13.745946466150693,NA,13.745946466150693,0.6175484312371246,0,0,0,0,Doesn't participate
ATF,Subantarctic Islands,277650.3517799628,507780.2024722669,328921.7760178948,293660.2345235089,769066.7893386699,347663.0965537447,18.690585025608822,NA,12.996231123350954,0.10493026319349341,208068.1363928732,53218.45047352975,469354.7232592761,53218.45047352975,Buyers
HMD,Subantarctic Islands,90836.0391659403,70143.23719615396,107289.70524034921,108251.37831932404,954452.6467545386,128280.26981570944,100.94166692390446,NA,12.996231123350954,0.10493026319349341,226333.77272891824,657975.6368294664,1110643.1822873028,657975.6368294664,Buyers
CAN,Arctic,2713783.9197785743,106538770.5374135,3359965.345440508,2303837.8991575763,4525289.948885247,2882824.8637473914,29.160160853759532,NA,1317.238631237477,0.9707439392724079,539996735.0840539,-642010215.6725821,437983254.49552566,437983254.49552566,Sellers
ARG,Magellanic,470851.4121174613,471504294.8683674,562121.1837310715,459567.57575277926,454670206.7812156,548629.6645566914,1478.0547163447702,NA,1514.0784664564464,0.36571211212158106,17084613.658783305,-33918701.74593507,250525.5716315508,250525.5716315508,Sellers
IRL,Northern European Seas,271902.6085025314,250114408.41374743,318535.60516066744,246085.27534444805,175027157.58961812,288844.5024925032,2616.071055540219,NA,3378.265328917788,0.2206111501993404,87217801.49307264,-162305052.31720197,12130550.668943316,12130550.668943316,Sellers
RUS,Arctic,2500861.901969269,248293687.7191961,3184257.8745335625,2347088.1611103136,92820026.03639838,2998183.7675686534,688.9543610988759,NA,1317.238631237477,0.9707439392724079,202556711.9293168,-358030373.61211455,47083050.24651906,47083050.24651906,Sellers
PCN,Southeast Polynesia,325394.3741570836,61407.48864033818,426284.7401857379,305159.4936574891,23429.148639250914,399290.9153668419,0.383728631488814,NA,4.529564444846431,0.4363527796596963,91655.19525667989,-129633.53525776716,53676.855255592614,53676.855255592614,Sellers
PYF,Southeast Polynesia,2400774.8607474696,4407843.154035866,2914490.802420243,2369272.504537895,4282475.024487599,2876302.0214658994,3.6720774544415455,NA,4.529564444846431,0.4363527796596963,142691.9526157769,-268060.0821640444,17323.82306750957,17323.82306750957,Sellers
SJM,Arctic,401398.7276509634,102719302.0285572,488105.39237969497,369731.4344773874,67833962.6917728,450270.5706938875,924.8450266057209,NA,1317.238631237477,0.9707439392724079,41713381.91495716,-76598721.25174156,6828042.578172766,6828042.578172766,Sellers
GRL,Arctic,803333.4022891722,253914028.20709738,954908.598999957,1023490.4434287463,686695061.2727627,1217105.8444981177,2708.2514959087152,NA,1317.238631237477,0.9707439392724079,289999359.5279856,142781673.53767967,722780392.5936508,142781673.53767967,Buyers
TKL,Central Polynesia,234479.71479354549,160396.1519344449,298134.1848089317,211472.42260329842,59284.44643131645,269099.10394771775,3.5689713386982795,NA,6.094419146479012,0.6409225124576547,140216.0820328788,-241327.78753600724,39104.37652975034,39104.37652975034,Sellers
