iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Subantarctic New Zealand,193312.95845986946,12682.718610759037,242490.06030935698,193312.95845986946,12682.718610759037,242490.06030935698,0.20843721951156424,NA,0.20843721951156424,0,0,0,0,Doesn't participate
ATF,Subantarctic Islands,29004.164280664114,24.713986977934837,34730.905874687116,72501.63101431853,2877.1202765077155,84970.94505998468,0.1495115631160654,NA,0.0032100501891063333,139.62905131401376,2712.777238215767,2992.0353408437945,2712.777238215767,Buyers
HMD,Subantarctic Islands,50052.85246241902,43.62653512414545,59386.86733840216,17806.903198738146,1.5196420346266595,21662.50429148781,1.7663707781036665e-4,NA,0.0032100501891063333,103.51111553179202,-145.61800862131082,61.40422244227322,61.40422244227322,Sellers
CAN,Arctic,1566035.8227136454,402066.9539174028,1981411.1545079742,869535.9443525885,7072.350868023867,1114518.741150247,0.050901947867141265,NA,1.4336149205993005,998512.6178140091,-1393507.220863388,603518.0147646301,603518.0147646301,Sellers
ARG,Magellanic,24324.0749929581,3546.1012551411986,28992.43661371839,174053.5738132038,103413243.47642773,208267.77695719808,977.9793322793986,NA,11.030001868146405,1651516.6517039351,101758180.72346865,105061214.02687652,101758180.72346865,Buyers
IRL,Northern European Seas,93746.77155978973,-5180171.175271027,150171.8190140391,93746.77155978973,633102.5968633534,111240.35343923859,46.3728898320619,NA,356.53926859559914,0,5813273.77213438,5813273.77213438,5813273.77213438,Buyers
RUS,Arctic,822288.0011500613,447936.80199895485,1071200.8083153556,822288.0011500613,448663.18484883226,1039208.0476254446,1.366171172302974,NA,1.4336149205993005,0,726.3828498774092,726.3828498774092,726.3828498774092,Buyers
PCN,Southeast Polynesia,312518.2020064871,26490.058952838182,409429.9381054986,116251.23567904346,1854.0150216727266,152364.01039633545,0.03901544454761458,NA,1.3079488679954272,256707.15643287657,-281343.200364042,232071.11250171112,232071.11250171112,Sellers
PYF,Southeast Polynesia,902580.0017287219,657048.5778071533,574239.9569729274,902580.0017287219,818607.0914085216,1115879.6814534434,1.8425806025525848,NA,1.3079488679954272,0,161558.5136013683,161558.5136013683,161558.5136013683,Buyers
SJM,Arctic,65267.1050292126,24586.468254461884,81545.11962641348,99772.57522923619,125974.14286694142,124473.84742019096,4.7542914921731425,NA,1.4336149205993005,49467.556921048345,51920.11769143119,150855.23153352787,51920.11769143119,Buyers
GRL,Arctic,45348.21593978167,19483.056820876896,54742.90181348586,349937.7013753008,5866550.7431170205,428520.38287629554,46.05448768007913,NA,1.4336149205993005,436664.03097802354,5410403.6553181205,6283731.717274167,5410403.6553181205,Buyers
TKL,Central Polynesia,196095.47816453254,9946.542071163654,249465.59882397376,80560.92289649465,133.74137613389772,103439.31774923997,0.0035026809579374023,NA,2.007637294160832,231951.48192039868,-241764.28261542844,222138.68122536893,222138.68122536893,Sellers
UKR,Black Sea,29463.483278501422,504123.5292478204,48663.475285035856,27028.41946719592,329003.1441154587,46418.55486149861,62.77094760836745,NA,109.18270567949534,265866.8554205589,-440987.24055292056,90746.47028819722,90746.47028819722,Sellers
ISL,Northern European Seas,203355.6231040507,9096080.50542587,243658.75852381848,103510.49177156154,63706.81932935072,125582.36345282335,5.296828415156113,NA,356.53926859559914,35598710.098117225,-44631083.784213744,26566336.412020706,26566336.412020706,Sellers
ZAF,Agulhas,197669.55602909805,707.6585057881227,216927.26932731687,197669.55602909805,707.6585057881227,216927.26932731687,0.011612867903490356,NA,0.011612867903490356,0,0,0,0,Doesn't participate
ZAF,Subantarctic Islands,73711.4202159598,75.44223308719238,110382.89707795222,73711.4202159598,91.21125855486058,93803.10432556197,0.0017672708033606144,NA,0.0032100501891063333,0,15.7690254676682,15.7690254676682,15.7690254676682,Buyers
NIU,Tropical Southwestern Pacific,228642.09769918674,1461.6176500320435,278263.2214040312,83493.26284033615,182.8451086036849,104364.91659562042,0.0036015870520735883,NA,0.35209040814300513,51105.51250693435,-52384.285048362704,49826.73996550599,49826.73996550599,Sellers
ZAF,Benguela,59835.596830987684,214.180588722229,66452.21118023022,64003.003293259244,256.85407243407997,71662.03961428229,0.010307571919138128,NA,0.009458496181885058,39.417398111758665,3.256085600092298,82.09088182360964,3.256085600092298,Buyers
