iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Subantarctic New Zealand,608355.9752356816,12319149.032458361,746582.3817006181,608355.9752356816,12319149.032458361,746582.3817006181,709.0226530388317,NA,709.0226530388317,0.2589774791511562,0,0,0,0,Doesn't participate
ATF,Subantarctic Islands,361462.89475353307,6226405.210754725,425935.1990575236,357455.9855357752,5352103.230125594,421312.1976499039,208.20639272805198,NA,229.26633692481772,0.8461777273133934,918649.398745634,-1792951.3793747653,44347.418116502464,44347.418116502464,Sellers
HMD,Subantarctic Islands,127801.7760839709,4025774.674696154,150984.07744443562,134341.1307579546,6826950.791588925,158405.12987442876,574.4229040773483,NA,229.26633692481772,0.8461777273133934,1499253.8919564327,1301922.2249363381,4300430.008849204,1301922.2249363381,Buyers
CAN,Arctic,2745161.577559111,173852258.2249135,3396429.0695185442,2717578.8476590156,111780323.05869722,3364316.7361876373,1415.2640071183155,NA,4672.257997206749,0.6040965972622327,128873630.36051543,-190945565.52673173,66801695.19429915,66801695.19429915,Sellers
ARG,Magellanic,536013.979124526,614468000.4177699,642897.4547014863,541927.3840045797,681276780.3485167,649825.4394052695,12447.960229195962,NA,9871.5353007641,0.010668061415316177,58374385.02116093,8434394.909585863,125183164.95190775,8434394.909585863,Buyers
IRL,Northern European Seas,292958.6611243429,330271368.41374743,342631.2459835195,290029.07451309945,317237386.5255677,339301.2447753449,4062.890871213541,NA,6131.353233826148,0.6441472511980267,17962330.342621196,-30996312.230800916,4928348.454441488,4928348.454441488,Sellers
RUS,Arctic,2772398.107035466,862661231.4691961,3512382.855008724,2786934.3610988474,938355556.6846387,3530222.77908315,6227.972315957428,NA,4672.257997206749,0.6040965972622327,67917129.2970626,7777195.918380052,143611454.5125053,7777195.918380052,Buyers
PCN,Southeast Polynesia,363285.11149701074,703049.3157887757,476151.84534571145,359652.26038204064,569465.9627785328,471471.75754742516,34.679452603893566,NA,89.94859405611824,0.08614043605460497,326769.8502067628,-460353.2032170057,193186.49719651986,193186.49719651986,Sellers
PYF,Southeast Polynesia,2784236.2548251706,17676011.362419493,3387011.618623508,2792356.880348233,18409012.07423992,3396702.771584457,91.40675410775417,NA,89.94859405611824,0.08614043605460497,730438.8486556947,2561.863164732582,1463439.5604761206,2561.863164732582,Buyers
SJM,Arctic,452250.1904282056,209919577.55980718,547847.8439673547,447604.1823374309,194171715.85318264,542395.7173959434,3175.0781325329,NA,4672.257997206749,0.6040965972622327,21707348.457209367,-37455210.1638339,5959486.750584841,5959486.750584841,Sellers
GRL,Arctic,1187207.721569458,1274375293.4559422,1411247.5396162681,1217784.503636471,1437157653.1385822,1447361.8328973674,6389.433158531265,NA,4672.257997206749,0.6040965972622327,142862614.54144928,19919745.141190797,305644974.2240894,19919745.141190797,Buyers
