iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Subantarctic New Zealand,595966.631451329,6230365.00680491,731616.8803862827,595966.631451329,6230365.00680491,731616.8803862827,290.20069732907183,NA,290.20069732907183,0.607735987090819,0,0,0,0,Doesn't participate
ATF,Subantarctic Islands,352985.2536357373,4546055.74048911,416192.3515966554,348949.8854008065,3923926.4345005485,411664.9622543852,136.686004562272,NA,160.3008183460702,0.7880722334687078,646872.830387143,-1269002.1363757048,24743.524398581125,24743.524398581125,Sellers
HMD,Subantarctic Islands,119229.79249586204,2427047.110718305,141106.93855823932,130862.49709947054,4909575.46960892,154465.53813293323,344.6729014161509,NA,160.3008183460702,0.7880722334687078,1864732.0675365399,617796.2913540746,4347260.426427154,617796.2913540746,Buyers
CAN,Arctic,2741652.3098796858,158505311.7249135,3392383.655607747,2662413.3878588234,62114896.87966289,3300224.968386064,577.8566708569892,NA,3339.8410934413196,0.7955682435537763,264645407.96526834,-361035822.810519,168254993.12001774,168254993.12001774,Sellers
ARG,Magellanic,532162.4964578184,577306148.2262552,638421.3297441964,530946.0762376729,574128074.7178334,636751.2176818348,2612.644426481121,NA,3165.305589869412,0.06251231620525954,3850341.7224567,-7028415.230878479,672268.214034915,672268.214034915,Sellers
IRL,Northern European Seas,292958.66112434294,330271368.41374743,342631.24598351953,284169.90129061264,294451145.5342113,332572.1703244919,3792.7418740897924,NA,5245.989002761605,0.8286483116710123,46105737.435662016,-81925960.31519817,10285514.55612588,10285514.55612588,Sellers
RUS,Arctic,2728091.385866595,692393780.2191961,3459417.8752190485,2728288.2011003764,693056787.4768122,3459649.098281026,3368.6785564243264,NA,3339.8410934413196,0.7955682435537763,657331.6055986074,5675.65201755485,1320338.8632147312,5675.65201755485,Buyers
PCN,Southeast Polynesia,363285.1114970108,703049.3157887757,476151.8453457115,352386.5581521004,330479.30243549426,462087.0569054582,32.38317423891763,NA,50.492907799035194,0.7014438392349598,550299.6491874265,-922869.662540708,177729.63583414513,177729.63583414513,Sellers
PYF,Southeast Polynesia,2707096.204878432,12656099.166199185,3292551.932399821,2735945.630240188,14192154.976799807,3327231.2998304092,57.24104129198128,NA,50.492907799035194,0.7014438392349598,1456691.3748462817,79364.43575433991,2992747.185446903,79364.43575433991,Buyers
SJM,Arctic,450461.9764775047,203461518.18480718,545725.8491513015,437221.14928942523,166228535.59484357,530265.8907165709,2312.2847780232287,NA,3339.8410934413196,0.7955682435537763,44222258.75390292,-81455241.34386653,6989276.163939297,6989276.163939297,Sellers
GRL,Arctic,1083847.9135210353,868951255.7923093,1288895.3109640586,1191878.6289421078,1296581803.3452091,1416771.521772053,4830.494724337884,NA,3339.8410934413196,0.7955682435537763,360805422.7171626,66825124.83573723,788435970.2700624,66825124.83573723,Buyers
TKL,Central Polynesia,251752.88405154576,521591.1988094449,319436.2286965879,244200.2975299994,273756.2000996677,309783.4367684503,21.651473478185018,NA,46.71244414472505,0.26580751074167164,352799.7760359374,-600634.7747457146,104964.77732616023,104964.77732616023,Sellers
UKR,Black Sea,88206.81937477735,20674199.41987282,128796.23910501016,85507.77232003112,17811673.603803653,125185.65186399005,866.381396268359,NA,3546.837456764801,0.5576880252863297,9573081.191344652,-12435607.00741382,6710555.375275485,6710555.375275485,Sellers
ISL,Northern European Seas,323470.2867861299,202040618.38042587,390142.56985014776,313766.17818254593,167546460.28634366,377948.7032737561,2896.1788037510023,NA,5245.989002761605,0.8286483116710123,50907647.01600562,-85401805.11008783,16413488.921923429,16413488.921923429,Sellers
ZAF,Agulhas,599185.8417132035,8340128.333281932,661895.7959678606,599185.8417132035,8340128.333281932,661895.7959678606,243.28856864875442,NA,243.28856864875442,0.3226418213145743,0,0,0,0,Doesn't participate
ZAF,Subantarctic Islands,230348.1881748744,195666.24823856354,276534.185808683,223437.7425296282,70098.6555522884,268554.44922813633,11.885878919785695,NA,160.3008183460702,0.7880722334687078,1107750.0920690058,-1233317.684755281,982182.4993827307,982182.4993827307,Sellers
NIU,Tropical Southwestern Pacific,260916.44637605044,322444.6013536453,319135.0553046284,253088.95298476896,111136.90340358712,309223.5788311685,14.086949180286883,NA,99.1036053301845,0.4337019035344667,775732.815774188,-987040.5137242463,564425.1178241298,564425.1178241298,Sellers
ZAF,Benguela,200009.38529143512,9663885.23781681,233485.70562604716,194009.10373269208,5844680.627964368,225171.05349685322,556.7787290192779,NA,920.6521634012212,0.8677685788200615,5524172.198073229,-9343376.807925671,1704967.5882207863,1704967.5882207863,Sellers
WLF,Central Polynesia,130688.29429493213,335219.24006962776,167817.30247110248,131082.84781659822,367530.5434673167,168348.12298687475,81.893334169839,NA,46.71244414472505,0.26580751074167164,18430.559342931967,13880.74405475699,50741.86274062091,13880.74405475699,Buyers
NAM,Benguela,412994.86687489843,13962009.71098664,518482.42540971434,412502.17972387705,13508416.21951882,517790.2203092272,920.6521634012212,NA,920.6521634012212,0.8677685788200615,453593.4914678198,-907186.9829356403,0,0,Doesn't participate
GEO,Black Sea,14593.161826777523,4853392.119021893,22722.14791108366,14155.366971974196,3751265.8926049625,22022.09100637497,2517.4490159598786,NA,3546.837456764801,0.5576880252863297,1552787.1893953488,-2654913.415812279,450660.96297841845,450660.96297841845,Sellers
