iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Subantarctic New Zealand,602161.3033435054,8586547.218195774,739122.8390017571,602161.3033435054,8586547.218195774,739122.8390017571,515.0385135812719,NA,515.0385135812719,0.48858044210536256,0,0,0,0,Doesn't participate
ATF,Subantarctic Islands,356508.09126941493,5154745.58423911,420237.7655074529,353202.9354682908,4582964.368795691,416443.4559853622,169.55309441133377,NA,183.35264221910828,0.847419014622887,606009.0490819198,-1177790.264525339,34227.83363850042,34227.83363850042,Sellers
HMD,Subantarctic Islands,124231.76721513661,3312268.0778194643,146920.3472914366,132601.8139287126,5830357.0716792615,156444.39032420886,558.7590279975623,NA,183.35264221910828,0.847419014622887,1534670.18043152,983418.8134282771,4052759.1742913174,983418.8134282771,Buyers
CAN,Arctic,2741652.3098796853,158505311.7249135,3392383.6556077464,2689996.117758919,80467488.61155528,3332057.353410076,787.5526430219671,NA,3828.245535502929,0.7853258858849607,197752586.86740506,-275790409.9807633,119714763.75404683,119714763.75404683,Sellers
ARG,Magellanic,532162.4964578183,577306148.2262552,638421.3297441964,536436.7301211264,618641201.8041437,643393.8379034902,9871.5353007641,NA,3639.2857497314303,0.10370240544412845,15555157.661899481,25779895.915989008,56890211.239787936,25779895.915989008,Buyers
IRL,Northern European Seas,292958.6611243429,330271368.41374743,342631.2459835195,287099.48790185596,305637748.9038635,335883.3647780418,3901.1740160296695,NA,5624.7807672823565,0.4004128047477141,32956564.85402021,-57590184.36390415,8322945.344136298,8322945.344136298,Sellers
RUS,Arctic,2748670.3989924877,765080550.7191961,3483895.3868451337,2757611.281099612,800026861.3843799,3494681.5715665924,4000.278475276554,NA,3828.245535502929,0.7853258858849607,34227892.010056235,718418.6551275477,69174202.67524004,718418.6551275477,Buyers
PCN,Southeast Polynesia,363285.11149701074,703049.3157887757,476151.84534571145,356019.4092670705,448780.75678043795,466809.0586566815,32.78903629290523,NA,64.07412112780833,0.03188099579875159,465543.48475977645,-719812.0437681142,211274.9257514387,211274.9257514387,Sellers
PYF,Southeast Polynesia,2746806.064628802,14837966.824559828,3340492.8734672815,2764151.2552942107,16020832.877947636,3362590.984224395,77.26091632613857,NA,64.07412112780833,0.03188099579875159,1111377.8476803445,71488.2057074632,2294243.901068153,71488.2057074632,Buyers
SJM,Arctic,452250.1904282056,209919577.55980718,547847.8439673547,442412.665813428,179097789.22587138,536322.7232982882,2681.5625345112344,NA,3828.245535502929,0.7853258858849607,37660459.68692248,-68482248.02085829,6838671.352986693,6838671.352986693,Sellers
GRL,Arctic,1128579.5202272402,1030296578.8450383,1341283.5289099135,1204831.5662892894,1362464520.781274,1432209.3486167125,5359.550298273626,NA,3828.245535502929,0.7853258858849607,291911554.91000366,40256387.02623212,624079496.8462394,40256387.02623212,Buyers
TKL,Central Polynesia,251752.88405154573,521591.1988094449,319436.22869658784,246717.8263705148,331857.833040821,313017.9109212499,23.345317619504026,NA,110.33180801323746,0.9521911885585326,555527.0173990794,-745260.3831677033,365793.6516304555,365793.6516304555,Sellers
ISL,Northern European Seas,323470.2867861299,202040618.38042587,390142.56985014776,317000.88105040725,177453458.36580032,382086.50418318424,3153.1175854719318,NA,5624.7807672823565,0.4004128047477141,36388988.95803879,-60976148.97266434,11801828.943413258,11801828.943413258,Sellers
ZAF,Agulhas,605363.0153391126,9910845.424786247,669169.5187260774,605363.0153391126,9910845.424786247,669169.5187260774,300.26985064229706,NA,300.26985064229706,0.19109025506283117,0,0,0,0,Doesn't participate
ZAF,Subantarctic Islands,230348.18817487438,195666.24823856354,276534.185808683,225741.2244113769,102200.94320537512,271209.2650610277,16.882419993161022,NA,183.35264221910828,0.847419014622887,844698.9786449497,-938164.2836781382,751233.6736117613,751233.6736117613,Sellers
NIU,Tropical Southwestern Pacific,260916.44637605041,322444.6013536453,319135.0553046284,255698.1174485294,149387.7534141767,312631.0987778134,14.994010376956009,NA,270.7036647649741,0.935117132484389,1412620.764629015,-1585677.6125684837,1239563.9166895463,1239563.9166895463,Sellers
ZAF,Benguela,200009.38529143512,9663885.23781681,233485.70562604716,196009.19758560642,6986490.883892014,227901.62446407275,574.3871235558832,NA,1834.1680041240597,0.16611326680853344,7337016.300521413,-10014410.65444621,4659621.946596616,4659621.946596616,Sellers
WLF,Central Polynesia,135136.95651195693,703101.0056946278,173796.3669857942,132434.21738171778,478198.7028506028,170166.21521052686,81.89333416983898,NA,110.33180801323746,0.9521911885585326,298198.09482741007,-523100.397671435,73295.7919833851,73295.7919833851,Sellers
NAM,Benguela,417616.8104301978,20903926.497966256,524943.5915051688,416754.7795148448,19412650.875855066,523680.18858010555,1666.8058311973598,NA,1834.1680041240597,0.16611326680853344,1581109.5235062144,-3072385.1456174045,89833.90139502287,89833.90139502287,Sellers
GEO,Black Sea,14593.161826777525,4853392.119021893,22722.147911083663,14301.298590241973,4118641.301410603,22255.443307944533,2517.4490159598786,NA,3941.3903286884247,0.43501082692774307,1150346.937780925,-1885097.7553922147,415596.1201696354,415596.1201696354,Sellers
BMU,Tropical Northwestern Atlantic,332392.16704111773,1248528.281929016,372227.1909775926,325744.3237002954,202729.18803457412,364264.8179443418,21.929176429752374,NA,1733.167381354484,0.2578754545350349,11521825.234667866,-12567624.328562308,10476026.140773423,10476026.140773423,Sellers
MNP,Tropical Northwestern Pacific,610388.6775714137,1995986.2967677116,709479.1099468991,598180.9040199853,1618447.5530085333,695066.2328861315,23.843956598810486,NA,108.6238201339549,0.7567831828965798,1326054.9984864038,-1703593.7422455822,948516.2547272255,948516.2547272255,Sellers
TWN,South China Sea,201538.711553189,120209664.6732254,224946.2686370929,197453.7857047254,73729507.40220208,220320.70372602824,3326.965208290735,NA,33132.36121838429,0.1127567185042907,135343238.76161122,-181823396.03263456,88863081.4905879,88863081.4905879,Sellers
SHN,St. Helena and Ascension Islands,763109.7357276933,1720886.530653663,832455.156815494,763109.7357276933,1720886.530653663,832455.156815494,58.77751654284719,NA,58.77751654284719,0.3099088537051544,0,0,0,0,Doesn't participate
CHL,Easter Island,375644.0955201411,976983.9576750061,502766.3013257864,375644.0955201411,976983.9576750061,502766.3013257864,37.30237871591266,NA,37.30237871591266,0.02424994246594958,0,0,0,0,Doesn't participate
BHS,Tropical Northwestern Atlantic,483402.4039624092,148746267.6778202,590853.1818103575,475757.52120312536,137616082.06517383,580403.8117624323,1345.9061183381393,NA,1733.167381354484,0.2578754545350349,13249861.43266998,-24380047.045316353,2119675.8200235963,2119675.8200235963,Sellers
JAM,Tropical Northwestern Atlantic,219917.9502824082,13609245.863783836,250669.5575469734,215519.59127676,9827223.05808808,245332.07958639954,832.1528120412256,NA,1733.167381354484,0.2578754545350349,7623092.360076163,-11405115.16577192,3841069.5543804057,3841069.5543804057,Sellers
AIA,Tropical Northwestern Atlantic,78187.63592549572,4716314.815237999,92582.66661404111,76623.8832069858,3422970.1279718373,90924.19605238778,827.0774988634878,NA,1733.167381354484,0.2578754545350349,2710245.2042257884,-4003589.89149195,1416900.5169596267,1416900.5169596267,Sellers
CRI,Tropical East Pacific,463114.34894422744,13206238.468888283,537800.011803929,453810.5596076487,8603619.78153713,526180.822748196,409.3156088601537,NA,2010.9484890432566,0.4329471288678537,18709441.108769793,-23312059.796120945,14106822.42141864,14106822.42141864,Sellers
TCA,Tropical Northwestern Atlantic,69773.25204043949,6767677.223542213,90819.92436842385,68377.7869996307,5507445.479609092,88995.61986954398,903.0908744247081,NA,1733.167381354484,0.2578754545350349,2418574.4905503,-3678806.234483422,1158342.7466171784,1158342.7466171784,Sellers
CYM,Tropical Northwestern Atlantic,93386.3166914745,64419.63817882538,113439.45092669428,91518.59035764501,39143.99333479554,111140.74876567128,13.532841715737874,NA,1733.167381354484,0.2578754545350349,3237082.359090063,-3262358.003934093,3211806.7142460328,3211806.7142460328,Sellers
ISL,Arctic,186132.31184439812,83168419.38069391,218968.80018901319,182409.66560751013,71925983.1061154,214385.15220560392,2641.1925740242864,NA,3828.245535502929,0.7853258858849607,14251203.836623218,-25493640.11120173,3008767.56204471,3008767.56204471,Sellers
ATG,Tropical Northwestern Atlantic,93827.90313616801,7932118.242469788,107871.92720600657,91951.34507344465,6489235.920623841,105835.9922035527,768.8983093611088,NA,1733.167381354484,0.2578754545350349,3252389.223529885,-4695271.545375831,1809506.9016839378,1809506.9016839378,Sellers
DOM,Tropical Northwestern Atlantic,247796.7115877158,24994748.471455574,288392.2551960757,242307.53236904304,17985924.733032286,282521.7571053737,1106.3847400404911,NA,1733.167381354484,0.2578754545350349,9513666.372212535,-16522490.110635823,2504842.633789247,2504842.633789247,Sellers
COG,Gulf of Guinea,28572.93693926844,10797885.976394653,33697.51116833625,27951.579357010596,9293063.798761193,32887.68491814961,2421.8295883110522,NA,6977.544641889079,0.23084686717076797,4335550.26878036,-5840372.446413821,2830728.0911468994,2830728.0911468994,Sellers
GAB,Gulf of Guinea,179706.79219106495,32996412.195095062,199639.9400701492,176112.65634724364,25527610.775815018,195370.12848282125,1240.8820461510143,NA,6977.544641889079,0.23084686717076797,25078243.29927684,-32547044.718556885,17609441.879996795,17609441.879996795,Sellers
HTI,Tropical Northwestern Atlantic,83965.87357005141,5584451.266735077,99576.52097812049,82286.55609865038,4724825.052424202,97313.72717273231,511.8902345449336,NA,1733.167381354484,0.2578754545350349,2910538.2643709457,-3770164.478681821,2050912.0500600706,2050912.0500600706,Sellers
AUS,Tropical Southwestern Pacific,531128.5606366873,2653302.460422516,585027.7552082698,517565.0309496963,1952928.68660218,570567.4301102636,29.866447377963926,NA,270.7036647649741,0.935117132484389,3671697.1934169885,-4372070.967237324,2971323.4195966525,2971323.4195966525,Sellers
USA,Cold Temperate Northeast Pacific,1632496.613949199,1006023361.5645168,1912073.966411915,1632542.7283044807,1006198415.1159532,1912135.8120497456,3796.075004563641,NA,3796.075004563641,0.7627871387082361,175053.5514364054,1.885928213596344e-8,350107.1028728485,1.885928213596344e-8,Buyers
