iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Subantarctic New Zealand,521630.5687452134,821651.655815233,641482.9806006287,521630.5687452134,821651.655815233,641482.9806006287,15.625730483578817,NA,15.625730483578817,0.6944849452326233,0,0,0,0,Doesn't participate
ATF,Subantarctic Islands,284454.443087994,606139.0373641104,337037.0109347793,297913.2845909933,851470.4541219155,352632.85526841367,19.76424415816029,NA,16.882419993161026,0.9135298552615173,227217.81487502085,18113.601882784307,472549.23163282603,18113.601882784307,Buyers
HMD,Subantarctic Islands,90836.0391659403,70143.23719615396,107289.70524034921,109990.69514856611,1154754.4990482095,130324.47970362326,120.60333454230083,NA,16.882419993161026,0.9135298552615173,323376.94712320354,761234.314728852,1407988.2089752592,761234.314728852,Buyers
CAN,Arctic,2718162.6629216457,112606575.7867033,3364990.543835445,2331420.6290576723,5435704.289027637,2915403.1970001715,37.52219362450279,NA,1415.2640071183155,0.6503246904842349,547342080.5674142,-654512952.0650898,440171209.0697385,440171209.0697385,Sellers
ARG,Magellanic,480344.2329713973,485948700.94671464,573410.1302016212,465058.22963623254,462807953.05506897,555169.6820962835,1485.7676077468952,NA,1529.6620013658708,0.6689621543480595,23382418.454553477,-46523166.34619915,241670.56290781498,241670.56290781498,Sellers
IRL,Northern European Seas,271902.6085025314,250114408.41374743,318535.60516066744,249014.86195569148,182760847.37500906,292264.14340663364,2668.2473573494863,NA,3443.0428270890725,0.7226038168112205,78803491.57632996,-146157052.61506832,11449930.537591577,11449930.537591577,Sellers
RUS,Arctic,2527273.5297979335,284416231.3441961,3216341.287444047,2376411.2411095486,115162181.99834466,3033346.682668442,836.6997408797654,NA,1415.2640071183155,0.6503246904842349,213509967.21216378,-382764016.5580152,44255917.866312355,44255917.866312355,Sellers
PCN,Southeast Polynesia,328520.1852991755,76080.68085570095,430435.2361704518,308792.3447724592,24843.80228505787,404312.8477896062,0.4079598273614252,NA,4.703859786605694,0.5208074979493653,92796.99573019097,-144033.87430083405,41560.117159547895,41560.117159547895,Sellers
PYF,Southeast Polynesia,2405004.6716140844,4427312.620832741,2919969.5038455077,2397478.129591917,4393399.55136136,2910469.731668839,4.3361244233292195,NA,4.703859786605694,0.5208074979493653,35403.79835027038,-69316.86782165198,1490.7288788892329,1490.7288788892329,Sellers
SJM,Arctic,403558.29632887885,105639747.6535572,490697.64588005905,374922.9510013903,72788883.34127599,456503.74482153176,977.1376604304186,NA,1415.2640071183155,0.6503246904842349,40526573.57339818,-73377437.8856794,7675709.261116974,7675709.261116974,Sellers
GRL,Arctic,817874.747434088,273636348.68111897,972142.4487092128,1036443.3807759281,722553107.0924773,1232552.5130130153,2835.1034110117976,NA,1415.2640071183155,0.6503246904842349,309332319.8537465,139584438.55761188,758249078.2651048,139584438.55761188,Buyers
TKL,Central Polynesia,234479.71479354549,160396.1519344449,298134.1848089317,213989.95144381392,68456.57149616024,272316.2189612068,3.7173109137650364,NA,6.684779744094656,0.6915547796052475,136969.55500157867,-228909.13543986334,45029.974563294,45029.974563294,Sellers
UKR,Black Sea,88206.81937477735,20674199.41987282,128796.23910501016,74711.58410104614,11372620.80908927,110860.37650816963,428.2949466088799,NA,2370.266869033373,0.38003660311092746,31987309.059135593,-41288887.66991915,22685730.448352043,22685730.448352043,Sellers
ISL,Northern European Seas,320231.7527252213,188234179.88042587,386146.2239676301,274949.74376821035,79734419.11873962,329654.7135646474,1821.782396510398,NA,3443.0428270890725,0.7226038168112205,155907896.1356196,-264407656.89730585,47408135.37393336,47408135.37393336,Sellers
ZAF,Agulhas,525059.7582022916,1078525.753339152,575532.5828401421,525059.7582022916,1078525.753339152,575532.5828401421,32.123639593773824,NA,32.123639593773824,0.7002662441356464,0,0,0,0,Doesn't participate
ZAF,Subantarctic Islands,226516.61530823412,115291.41798499203,272102.59907656204,195795.95994864323,2954.124213453259,236617.9500210381,0.12567154788707643,NA,16.882419993161026,0.9135298552615173,518639.0062457667,-630976.3000173054,406301.71247422794,406301.71247422794,Sellers
NIU,Tropical Southwestern Pacific,251805.7877053423,93061.01932239532,307556.29353527084,221778.97941964286,1280.3282476686559,269934.57732278627,0.02358825207314628,NA,12.544251161356492,0.9876266387774185,376663.82470971416,-468444.5157844408,284883.13363498746,284883.13363498746,Sellers
