iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Subantarctic New Zealand,459683.8498234503,265197.6733037274,566456.8025944575,459683.8498234503,265197.6733037274,566456.8025944575,3.874768927856458,NA,3.874768927856458,0,0,0,0,Doesn't participate
ATF,Subantarctic Islands,255382.783916149,295294.43163727806,270658.21844730986,255382.783916149,317171.4679276132,303535.1692210126,4.7803032176943505,NA,2.7857051858113393,0,21877.03629033512,21877.03629033512,21877.03629033512,Buyers
HMD,Subantarctic Islands,82859.88857314043,16062.727918810211,97745.43915976008,92597.52685614572,103643.10589081793,111107.6778183031,27.978754239705914,NA,2.7857051858113393,27126.189462522863,60454.188509484855,114706.56743453057,60454.188509484855,Buyers
CAN,Arctic,2657625.42467746,59471292.28741349,3294650.2567413915,2055593.3300567134,1647645.9606740272,2585083.8453942244,4.4507021033447485,NA,534.3122311374495,321673111.6931632,-379496758.0199027,263849465.36642376,263849465.36642376,Sellers
ARG,Magellanic,410151.6908016989,383355762.4394702,463222.65058767813,410151.69080169883,383612811.46866596,490140.44763121335,1386.8056987121054,NA,1354.0803261068868,7.881784847162703e-8,257049.0291957067,257049.02919584513,257049.02919584513,Buyers
IRL,Northern European Seas,219718.9958432572,103071754.7219895,298193.03589293984,219718.99584325723,111255838.37226014,259858.54697627405,2208.6461375606655,NA,2718.542945256617,7.912001296809807e-8,8184083.650270562,8184083.650270715,8184083.650270562,Buyers
RUS,Arctic,2313315.555861693,72065186.62544611,2957094.1975055956,2083180.4411171933,14602503.86594652,2679380.255801758,71.64705314200174,NA,534.3122311374495,122964006.62220652,-180426689.38170612,65501323.86270693,65501323.86270693,Sellers
PCN,Southeast Polynesia,321172.5116052537,44896.86315205693,420763.1787450595,272463.8336227581,15900.338851952074,358916.70483918185,0.17707460477492457,NA,3.087154895740696,150371.23369871825,-179367.7579988231,121374.7093986134,121374.7093986134,Sellers
PYF,Southeast Polynesia,2115421.879051692,3482094.9283519587,2773264.5480449866,2115421.879051692,3514704.133620065,2571447.8750140984,2.74064480579498,NA,3.087154895740696,0,32609.205268106423,32609.205268106423,32609.205268106423,Buyers
SJM,Arctic,324524.59010197286,36471458.934807196,395945.4447745409,323007.78576136124,35672296.76829493,394715.9128085351,521.7939099823344,NA,534.3122311374495,810447.1114311623,-1609609.2779434281,11284.944918893278,11284.944918893278,Sellers
GRL,Arctic,586770.3285364542,58108602.30611897,703655.6624364232,906914.0073041114,420381129.4714247,1077922.6611671674,1904.6365186589223,NA,534.3122311374495,171056683.2868978,191215843.87840793,533329210.4522035,191215843.87840793,Buyers
TKL,Central Polynesia,227331.0851780434,123836.0015438199,288998.4095125234,188814.66303865932,2771.9574420623476,240340.76074665465,0.7281755394077833,NA,4.628377100495186,178268.5262229311,-299332.5703246887,57204.48212117355,57204.48212117355,Sellers
UKR,Black Sea,86578.7041810631,18739509.04487282,126607.17658950688,65714.76058522535,8133986.382549404,98664.18572662082,300.17503275176256,NA,878.534340163885,18329690.920185838,-28935213.582509253,7724168.257862422,7724168.257862422,Sellers
