iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Subantarctic New Zealand,131366.23953810649,3796.059871069389,165691.1754727097,131366.23953810649,3796.059871069389,165691.1754727097,0.05560406446894217,NA,0.05560406446894217,0.7338200614315541,0,0,0,0,Doesn't participate
ATF,Subantarctic Islands,22022.76660431383,12.678257331252098,26446.377825459618,29971.130339474214,27.927726417553103,35849.447854649734,0.0033235286909376535,NA,0.0011394233539935752,0.28499401513076306,9.056551265877344,6.192917820423661,24.30602035217835,6.192917820423661,Buyers
HMD,Subantarctic Islands,33081.55428613353,9.984619325958192,39588.47620894513,413.7349063177839,0.004237794271261064,502.4658048024588,1.0242776731064783e-5,NA,0.0011394233539935752,0.28499401513076306,37.22247632540597,-47.2028578570929,27.24209479371904,27.24209479371904,Sellers
CAN,Arctic,1220912.9562198438,76056.90432091437,1554978.5594095814,593708.6453516292,930.4550399200223,762461.8286301938,0.006862817897014379,NA,0.48090950040229097,0.37611442494730263,301628.5117897963,-376754.96107079065,226502.06250880196,226502.06250880196,Sellers
ARG,Magellanic,24324.074992958092,3546.1012551411986,28992.436613718382,119147.03497867005,53504775.89817163,141523.05898100074,808.6719822407557,NA,5.244830474487621,0.6024833808781892,497330.3502141824,53003899.44670231,53998560.147130676,53003899.44670231,Buyers
IRL,Northern European Seas,108173.49816409395,1793913.9449974447,126434.81714713355,64450.905447355435,118902.7719061687,75323.09418597633,9.550917726332843,NA,149.57173528779873,0.06438580868966881,6539664.06392425,-8214675.237015527,4864652.890832975,4864652.890832975,Sellers
RUS,Arctic,358287.2616328664,48138.94357659668,445762.3184122099,529057.2011577049,151235.3124910902,662273.7706667064,0.7333771531246487,NA,0.48090950040229097,0.37611442494730263,82124.88630061953,20971.482613874003,185221.25521511305,20971.482613874003,Buyers
PCN,Southeast Polynesia,200998.3431294256,7174.689323931932,262655.8961440259,79922.72452934236,662.679656543294,104752.56681558401,0.022829530123694233,NA,0.08803166227040583,0.37369302388448367,10658.487965782995,-17170.49763317163,4146.478298394357,4146.478298394357,Sellers
PYF,Southeast Polynesia,376586.76459586405,504.8883257763055,490598.87725791737,620523.7511884962,326079.11380657594,779896.1972287494,1.6493964289264813,NA,0.08803166227040583,0.37369302388448367,21474.178418983112,304100.0470618165,347048.40389978274,304100.0470618165,Buyers
SJM,Arctic,45847.673471290465,6114.749199286103,57088.00675729236,47857.40998920711,7244.322428435259,59539.54785077098,0.6406418225680574,NA,0.48090950040229097,0.37611442494730263,966.5013847715334,163.07184437762248,2096.0746139206894,163.07184437762248,Buyers
GRL,Arctic,25109.75126778022,1968.1962251737714,29944.680569948094,220408.32790348437,1738929.3931166555,269288.2891123817,20.74134849981821,NA,0.48090950040229097,0.37611442494730263,93920.94091915502,1643040.2559723267,1830882.1378106368,1643040.2559723267,Buyers
TKL,Central Polynesia,184280.72940479714,654.2945736050606,234262.01587980325,55385.63449134006,60.90506469338649,70331.13657704536,0.002316818697935924,NA,0.12318322080510494,0.6143701208217464,15877.712937419343,-16471.102446331017,15284.323428507669,15284.323428507669,Sellers
ISL,Northern European Seas,179528.12503479244,3259290.211569923,215379.51547623632,71163.46309294857,774.7699737686713,86583.35800948921,0.03854418307482963,NA,149.57173528779873,0.06438580868966881,16208290.530517269,-19466805.972113423,12949775.088921113,12949775.088921113,Sellers
ZAF,Agulhas,135897.8197700049,337.2172749776384,148843.00872291237,135897.8197700049,337.2172749776384,148843.00872291237,0.0041577642623692014,NA,0.0041577642623692014,0.7668216460897124,0,0,0,0,Doesn't participate
ZAF,Subantarctic Islands,26560.686067570066,26.8317722687546,33095.106812114325,50676.60139847236,56.557773010484205,63452.00471652162,0.0013094245246294775,NA,0.0011394233539935752,0.28499401513076306,27.478237130961773,2.24776361076783,57.20423787269138,2.24776361076783,Buyers
NIU,Tropical Southwestern Pacific,228642.09769918674,1461.6176500320435,278263.2214040312,57401.61820273109,100.56662178123933,70175.23044296665,0.002639722268465666,NA,0.1640490352252438,0.07084855120812072,28091.83545290169,-29452.886481152495,26730.784424650887,26730.784424650887,Sellers
ZAF,Benguela,54380.44840722824,171.27986467477334,60453.22827785682,44002.06476411573,115.66283461724761,49056.639081842586,0.004979754473519671,NA,0.005769668653226708,0.6911655474492113,59.87983477682709,-115.4968648343528,4.262804719301371,4.262804719301371,Sellers
WLF,Central Polynesia,47002.66019917418,2353.5261414051056,59797.89294893903,29730.130432630525,840.7445813942215,37668.21084970074,0.06960764051921098,NA,0.12318322080510494,0.6143701208217464,2127.6858480948945,-3640.4674081057783,614.9042880840104,614.9042880840104,Sellers
NAM,Benguela,96429.10327293092,392.672908782959,112846.6236587164,93557.19540129171,376.2478669786682,109519.54651681062,0.005715107030352051,NA,0.005769668653226708,0.6911655474492113,16.569956821951784,-32.994998626242584,0.1449150176609919,0.1449150176609919,Sellers
GEO,Black Sea,7521.91964562971,472632.75964689255,11333.918782511697,3210.4956018910552,133138.73340607522,5059.519672059665,77.31354625029311,NA,83.92922426418086,0.4477851340871215,361854.4754649231,-701348.5017057403,22360.449224105745,22360.449224105745,Sellers
BMU,Tropical Northwestern Atlantic,277152.6372500513,5801.752342224121,309411.685464838,73126.27674904591,908.6142706585483,81657.37299164207,0.017059854798313893,NA,0.03446440694944466,0.507773200136667,7031.647516720752,-11924.785588286324,2138.509445155179,2138.509445155179,Sellers
MNP,Tropical Northwestern Pacific,397146.04902955476,495307.5589154658,456160.37095732393,134285.50906571103,818.4032622486569,148340.13769274214,0.008648936301906546,NA,2.9352715431663,0.9392683529305117,771567.0627771986,-1266056.2184304157,277077.9071239815,277077.9071239815,Sellers
TWN,South China Sea,111674.2238882014,1130303.8451004028,124821.81040377486,42226.60346310845,1674.8744395491851,47184.19071347996,0.20250518193451644,NA,51.87267411966434,0.41022756962730533,3602433.782696992,-4731062.753357846,2473804.8120361385,2473804.8120361385,Sellers
SHN,St. Helena and Ascension Islands,171310.34883682913,1373.4774819870834,189435.1387174123,171310.34883682913,1373.4774819870834,189435.1387174123,0.010226476249528898,NA,0.010226476249528898,0.13886207260001293,0,0,0,0,Doesn't participate
CHL,Easter Island,367.5536629876565,1.6267777937075765,497.05525946348405,367.5536629876565,1.6267777937075765,497.05525946348405,0.004425959955028957,NA,0.004425959955028957,0.1777584340226065,0,0,0,0,Doesn't participate
BHS,Tropical Northwestern Atlantic,186599.4442579764,3055.5964679718018,226855.53858957067,106802.70884151796,1317.7594200228473,128696.47920318393,0.016453611394461238,NA,0.03446440694944466,0.507773200136667,2750.1471626299867,-4487.984210578941,1012.3101146810322,1012.3101146810322,Sellers
JAM,Tropical Northwestern Atlantic,94569.2565409536,1638.7231435775757,106412.03700798369,48381.9490621298,522.6141613500996,54269.15752799683,0.015657968613049945,NA,0.03446440694944466,0.507773200136667,1591.8181608493123,-2707.9271430767885,475.70917862183626,475.70917862183626,Sellers
AIA,Tropical Northwestern Atlantic,50547.59588508379,859.9263753890991,60693.99102672519,17201.27990360906,165.40486967695227,20894.56370757675,0.015593369294071041,NA,0.03446440694944466,0.507773200136667,1149.2610042503152,-1843.782509962462,454.73949853816833,454.73949853816833,Sellers
