iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,662868.9916169073,440831.1641212953,775704.2994681536,412388.66308075923,127111.40290539725,487729.57141722646,0.8625860084631127,NA,2.497177904044818,0.06449519040415497,625493.9418183556,-939213.7030342537,311774.1806024575,311774.1806024575,Sellers
ATF,SE,608178.0939705512,1390333.1992931385,703387.5706003524,431352.7273814236,668411.4092520851,504934.16246709484,3.1734393008610633,NA,4.898954150607582,0.700384617635607,866259.3635845138,-1588181.153625567,144337.57354346046,144337.57354346046,Sellers
NZL,SE,1316678.303620005,1384314.2662469437,1548190.3522838524,987415.9309845511,580638.2323682095,1163377.256973426,1.3939941490889443,NA,4.898954150607582,0.700384617635607,1613041.2670613574,-2416717.3009400917,809365.2331826232,809365.2331826232,Sellers
HMD,SE,86104.93800098599,26998.39539927896,101626.12575106922,49114.60612509481,40.62377412627412,58286.635009230704,0.00320039725008139,NA,4.898954150607582,0.700384617635607,181213.93987574903,-208171.71150090173,154256.16825059635,154256.16825059635,Sellers
CAN,NW,2376765.5620498625,2719640.250410933,2968222.309338655,1909782.538665288,1040594.4089864371,2399351.492091348,2.4994479015612474,NA,5.492748475489729,0.9631561074489337,2565020.2897752067,-4244066.131199703,885974.4483507108,885974.4483507108,Sellers
ARG,SW,36544.91620464442,10171.74902125448,43307.14732127933,381172.3726788559,279816593.759036,453029.03285584995,1172.0845556435572,NA,2.497177904044818,0.06449519040415497,860596.069434568,278945825.9405802,280667018.0794493,278945825.9405802,Buyers
IRL,NW,55866.0382986622,56492.62175525725,65361.182851757214,146479.33056217144,15197531.772193754,171801.6727745641,555.4008302875171,NA,5.492748475489729,0.9631561074489337,497716.0229394956,14643323.127499001,15638755.173377993,14643323.127499001,Buyers
RUS,NE,2600036.849625833,21599689.38133838,3316439.530200596,2334466.5253813225,16318449.720312186,2963337.2548206244,17.408336839257114,NA,23.904433624078486,0.04944788746783979,6348308.1884279,-11629547.849454094,1067068.5274017043,1067068.5274017043,Sellers
PCN,SW,319078.66616425826,39545.76110127568,417978.23203813477,181642.55574850537,5582.250087046883,237408.74164218456,0.07724598393831271,NA,2.497177904044818,0.06449519040415497,343202.418148082,-377165.9291623108,309238.9071338532,309238.9071338532,Sellers
PYF,SW,2446273.0775476648,3966654.090260235,2915315.9224534216,1743568.1596394011,2364403.1195947775,2083349.3916249152,2.0934823126821183,NA,2.497177904044818,0.06449519040415497,1754779.1940641436,-3357030.1647296012,152528.22339868592,152528.22339868592,Sellers
SJM,NE,82362.63851877254,226004.71002997458,102372.525843775,141878.1069075312,7007342.342010821,175298.69781515907,178.07284360295435,NA,23.904433624078486,0.04944788746783979,1422683.5637050231,5358654.068275823,8204021.19568587,5358654.068275823,Buyers
GRL,NW,92622.73721099796,173882.16390705854,112710.42947986565,583090.5736245704,56151848.52322443,699422.5885876017,529.4435790823678,NA,5.492748475489729,0.9631561074489337,2694016.4607373956,53283949.89857998,58671982.82005476,53283949.89857998,Buyers
TKL,SW,196095.4781645325,9946.542071163654,249465.59882397373,125876.44202577286,321.79565147028427,159841.839247262,0.004753489975437874,NA,2.497177904044818,0.06449519040415497,175349.42548903514,-184974.17190872852,165724.67906934177,165724.67906934177,Sellers
ISL,NW,130407.96039890063,107977.06873697042,157822.42232352588,254801.29931526398,4787274.952109284,304716.50369341,111.98407790682754,NA,5.492748475489729,0.9631561074489337,683261.322693932,3996036.5606783815,5362559.206066245,3996036.5606783815,Buyers
ZAF,SE,903210.5343746035,240689.24603533745,1014781.1891555043,556771.675872488,6866.377734439651,633576.5708747647,0.09424054189555736,NA,4.898954150607582,0.700384617635607,1697188.083790692,-1931010.9520915898,1463365.2154897943,1463365.2154897943,Sellers
NIU,SW,235571.11515510868,8773.146275520325,286997.4355283747,130458.22318802522,383.63090852104415,159102.2521016252,0.005009828595141833,NA,2.497177904044818,0.06449519040415497,262485.5912504508,-270875.1066174501,254096.07588345153,254096.07588345153,Sellers
WLF,SW,110034.72317041866,46122.21470952034,140744.4992530645,76878.20846824133,10285.619563318785,98118.33678110865,0.4601435822954404,NA,2.497177904044818,0.06449519040415497,82797.71588941438,-118634.31103561593,46961.12074321283,46961.12074321283,Sellers
NAM,SE,262348.3132074362,66067.07659053802,313844.1982824301,212629.98954839024,1975.9865594607488,251832.1008411976,0.05405600626324473,NA,4.898954150607582,0.700384617635607,243567.78805073426,-307658.87808181153,179476.698019657,179476.698019657,Sellers
GEO,NE,1464.921431150231,2.7752718925476074,2281.3015383986713,7296.5809133887615,454591.6364264196,10989.385803942909,80.06223804073788,NA,23.904433624078486,0.04944788746783979,139402.51701139886,315186.3441431282,593991.3781659259,315186.3441431282,Buyers
BMU,NW,314281.04839773296,15339.305366516113,351072.2991051022,166196.08352055887,2750.9418396673123,185528.12226324834,0.022406889073241208,NA,5.492748475489729,0.9631561074489337,813393.465072048,-825981.8285988969,800805.1015451992,800805.1015451992,Sellers
MNP,NE,600532.6333812305,1674522.0858302116,697723.1156431552,305194.33878570684,253553.0482721604,348208.6599516836,2.351861086447692,NA,23.904433624078486,0.04944788746783979,7059894.659807233,-8480863.697365284,5638925.622249182,5638925.622249182,Sellers
TWN,NE,124970.50473896184,861108.9701004028,138788.1518132858,154496.43839446089,2325910.232143605,171706.7284306993,74.65319468580675,NA,23.904433624078486,0.04944788746783979,705800.721256822,759000.5407863803,2170601.983300024,759000.5407863803,Buyers
SHN,SW,1224876.120905287,155368.69331932068,1364136.256445568,677982.0730889495,43560.24896097717,747497.2539254421,0.12976711461649645,NA,2.497177904044818,0.06449519040415497,1365691.7320605882,-1477500.1764189317,1253883.2877022447,1253883.2877022447,Sellers
CHL,SW,470538.10159978335,289557.3858604431,606846.5532643908,955338.94854467,2023042.292257542,1166516.6152271281,4.558314015568184,NA,2.497177904044818,0.06449519040415497,1210633.9628529847,522850.94354411424,2944118.8692500833,522850.94354411424,Buyers
BHS,NW,244839.0084035011,73006.18953895569,296284.48664889386,242733.42918526803,62949.948800560196,293963.5354196632,4.775997336654179,NA,5.492748475489729,0.9631561074489337,11565.417040972508,-21621.657779368,1509.1763025770124,1509.1763025770124,Sellers
JAM,NW,172331.55340353496,37086.258315086365,194899.65746802464,109958.9751412041,2358.406766516641,123836.42969273745,0.05236485712918241,NA,5.492748475489729,0.9631561074489337,342596.88416278164,-377324.7357113514,307869.0326142119,307869.0326142119,Sellers
AIA,NW,57896.77814238075,1591.1785192489624,69394.10023539259,39093.81796274786,554.4565380514105,46718.30662791535,0.023707044870172094,NA,5.492748475489729,0.9631561074489337,103279.93086137262,-104316.65284257017,102243.20888017507,102243.20888017507,Sellers
CRI,NW,394809.28311462974,210285.839676857,458250.9322266172,245542.1953186401,15128.583995054349,281613.0556728852,0.2663095365716416,NA,5.492748475489729,0.9631561074489337,819886.5689322137,-1015043.8246140163,624729.3132504111,624729.3132504111,Sellers
