iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,739770.7511175041,796797.7764259828,864290.2715766951,655496.8896000887,423605.1312789062,767200.6405028086,2.0946184604334372,NA,12.100506900934585,0.7709347266446884,1019756.4428598904,-1392949.088006967,646563.7977128138,646563.7977128138,Sellers
ATF,SE,887753.7032340588,5506993.154673681,1013831.532089115,718422.9725268559,2036569.0639486671,824063.4005264109,6.827392241141392,NA,84.51822691105691,0.05547401139225239,14311533.12092645,-17781957.211651463,10841109.030201435,10841109.030201435,Sellers
NZL,SE,1554054.2241259075,6840843.532848506,1831036.464376122,1562968.7653676586,7623320.829353564,1841577.104461524,89.88094205002852,NA,84.51822691105691,0.05547401139225239,753441.2194782905,29036.077026767656,1535918.5159833487,29036.077026767656,Buyers
HMD,SE,105159.6395814529,656878.080946154,124575.67532784124,99554.7941731139,331803.1973021384,117755.16630915961,37.37624276250493,NA,84.51822691105691,0.05547401139225239,473711.59602339065,-798786.4796674063,148636.71237937507,148636.71237937507,Sellers
CAN,NW,3293444.01111239,120784050.79508866,4049745.622829601,3027012.0230673198,41547762.18189254,3735450.69053089,199.55840995800398,NA,469.1001406188095,0.4221675380598606,124983283.05729146,-204219571.67048758,45746994.444095336,45746994.444095336,Sellers
ARG,SW,42670.11557635589,62488.21581812948,50532.27632602242,603207.812097829,572126907.8150781,719397.4617695953,1465.974191216906,NA,12.100506900934585,0.7709347266446884,6782790.264992061,565281629.3342679,578847209.8642521,565281629.3342679,Buyers
IRL,NW,142478.83044477244,13016326.163747445,167034.63865247092,231437.34228823092,138294998.03371596,271829.0391559776,2420.600095805256,NA,469.1001406188095,0.4221675380598606,41730450.41500641,83548221.4549621,167009122.28497493,83548221.4549621,Buyers
RUS,NE,3822086.1356210173,559507860.0746977,4811636.831838433,3757380.4775673384,474615870.94497186,4733363.751459776,1236.8550416866603,NA,1391.1639432446332,0.15939851448409037,90016178.40819483,-174908167.5379207,5124189.2784689665,5124189.2784689665,Sellers
PCN,SW,345863.54259283916,186962.84703877568,453524.9883039322,286995.23808263853,18702.227044520903,375076.4103054451,0.2109319861428429,NA,12.100506900934585,0.7709347266446884,712336.3249720013,-880596.944966256,544075.7049777465,544075.7049777465,Sellers
PYF,SW,3058699.1505899597,6213150.2697585225,3656340.913882343,2754837.692230254,4792886.073968544,3287291.435425977,2.8871071054158075,NA,12.100506900934585,0.7709347266446884,3676877.6738096667,-5097141.869599646,2256613.478019688,2256613.478019688,Sellers
SJM,NE,296913.8300359959,98124778.4854206,361108.3190158045,260062.90160030714,57794912.18480255,316963.83500151214,879.4326888961571,NA,1391.1639432446332,0.15939851448409037,51265682.914818585,-91595549.21543664,10935816.614200532,10935816.614200532,Sellers
GRL,NW,569714.892624886,49477151.86861897,684312.4523044772,958725.756692838,526430827.69303995,1138935.9279949628,2225.021076164577,NA,469.1001406188095,0.4221675380598606,182485051.0365209,294468624.7879001,659438726.8609419,294468624.7879001,Buyers
TKL,SW,242249.57158164636,231520.1089656949,307258.5621438942,198884.77840072117,18003.254291341644,253044.16973793358,3.105992528691583,NA,12.100506900934585,0.7709347266446884,524735.9791433862,-738252.8338177395,311219.124469033,311219.124469033,Sellers
UKR,NE,88206.81937477735,20674199.41987282,128796.23910501016,69313.48999155368,9257524.761705913,103624.37920184918,318.04360897822306,NA,1391.1639432446332,0.15939851448409037,26283718.605785128,-37700393.26395203,14867043.94761822,14867043.94761822,Sellers
ISL,NW,343560.97349037434,26315932.604869783,408997.2782590589,402586.05291811714,68102552.3982141,478011.8296009453,1024.8084156907569,NA,469.1001406188095,0.4221675380598606,27688673.059590552,14097946.733753767,69475292.85293487,14097946.733753767,Buyers
ZAF,SE,1038410.0124482098,4435642.234316587,1172103.8797273738,879699.247878531,151767.30198463635,988434.9640677071,3.021788361863363,NA,84.51822691105691,0.05547401139225239,13413952.413127447,-17697827.345459398,9130077.480795495,9130077.480795495,Sellers
NIU,SW,251805.7877053423,93061.01932239532,307556.29353527084,206123.99263707985,957.4669817840532,251206.23374350742,0.019298559329325456,NA,12.100506900934585,0.7709347266446884,552772.8764705894,-644876.4288112007,460669.32412997814,460669.32412997814,Sellers
WLF,SW,138125.32698087566,162698.01256108284,176861.45381764052,121467.56937982132,82952.52169367282,155437.63439961223,3.5155340105010215,NA,12.100506900934585,0.7709347266446884,201567.3108056536,-281312.8016730636,121821.81993824359,121821.81993824359,Sellers
NAM,SE,361343.74384441704,3520150.3803014755,445278.45094405,335955.3834864566,1943682.2124545684,409619.77284265653,52.75633613601982,NA,84.51822691105691,0.05547401139225239,2145779.2016337835,-3722247.369480691,569311.0337868764,569311.0337868764,Sellers
