iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,131972.4396022559,19052.215757037513,161659.4048097559,211195.64803027982,38162.01820745552,255442.5232652209,0.2602138212251708,NA,0.22224356126191175,0.008987589989332911,17606.847975638735,1502.9544747792715,36716.650426056745,1502.9544747792715,Buyers
ATF,SE,103239.34194987439,10837.8737898916,120228.60469259087,193777.35208865232,117821.95558833904,226324.4400868674,1.690871465880449,NA,0.4156600445419936,0.2693414376289973,37633.0333270279,69351.04847141955,144617.11512547533,69351.04847141955,Buyers
NZL,SE,464660.28372951975,110542.24934020545,557652.779033824,511096.3439088759,130543.2622459027,611841.4890301308,0.4518963984571618,NA,0.4156600445419936,0.2693414376289973,19301.614842505867,699.3980631913837,39302.627748203115,699.3980631913837,Buyers
HMD,SE,73606.35826156131,709.8442518180236,86696.69721717217,7371.002223285943,0.08083034885406094,8988.824690062305,1.1498905335635855e-5,NA,0.4156600445419936,0.2693414376289973,27531.391041124345,-28241.154462593513,26821.627619655177,26821.627619655177,Sellers
CAN,NW,1720205.8089796803,635375.1128376909,2167728.986887151,985178.8274360211,15294.67617476215,1260683.6986820742,0.09536114800225128,NA,1.8022276812350257,0.39656827326732536,1324685.972592609,-1944766.4092555377,704605.5359296803,704605.5359296803,Sellers
ARG,SW,19876.75113383902,56.196836195886135,23874.548875582266,197418.9055734991,87961387.8287807,234186.02463516683,893.4875882338023,NA,0.22224356126191175,0.008987589989332911,39457.60067678239,87921874.03126773,88000789.23262128,87921874.03126773,Buyers
IRL,NW,43959.578595003484,16516.576589241624,51622.366456451906,76169.25189232915,260344.4495445811,89035.89926696623,15.254706091613746,NA,1.8022276812350257,0.39656827326732536,58049.16481997696,185778.7081353625,301877.03777531645,185778.7081353625,Buyers
RUS,NE,1097562.3653684377,1319330.695303224,1396062.3771177211,1156882.5649515165,1685593.832795244,1474200.979987052,6.609582969118487,NA,5.598272226152524,0.9619905934638959,332090.6257757742,34172.51171624573,698353.7632677942,34172.51171624573,Buyers
PCN,SW,289704.1708061576,19280.640129595995,378588.6169110454,94454.12898922281,1069.6257622414807,123631.8489859411,0.0329870083720986,NA,0.22224356126191175,0.008987589989332911,43393.06462993277,-61604.07899728729,25182.050262578257,25182.050262578257,Sellers
PYF,SW,388371.02366273187,2205.8978713154793,506143.90071520186,906655.4430124887,779112.9105820785,1103601.2334943153,1.702817448132985,NA,0.22224356126191175,0.008987589989332911,115185.37510285203,661721.637607911,892092.387813615,661721.637607911,Buyers
