iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,755775.0238987375,1046918.3037697328,882573.1670874079,663879.9318938587,443394.19883891445,776873.8283098788,2.5352978569102733,NA,19.144344546381152,0.46042969797155475,1759271.3034627957,-2362795.408393614,1155747.1985319774,1155747.1985319774,Sellers
ATF,SE,893111.6149147963,5999229.482798681,1019969.8919263917,728321.9464973878,2104787.179994727,834803.1350469192,6.933920900886951,NA,94.72600836393697,0.862368787061786,15609867.508797836,-19504309.811601788,11715425.205993881,11715425.205993881,Sellers
NZL,SE,1573720.8774975436,8605121.017223507,1853768.692742394,1582815.4148291452,9588580.429608028,1864155.6822558048,114.4294969981071,NA,94.72600836393697,0.862368787061786,861489.2193394307,121970.19304509053,1844948.6317239515,121970.19304509053,Buyers
HMD,SE,106760.64493568751,803975.534071154,126463.58356293425,101294.11100235593,399127.16626731836,119876.85601474973,39.90033803508656,NA,94.72600836393697,0.862368787061786,517822.9390905124,-922671.306894348,112974.5712866768,112974.5712866768,Sellers
CAN,NW,3339303.6919341334,144022192.10758868,4103938.0617377525,3065537.1777018723,49564243.195724465,3780348.400424665,220.28815629981995,NA,540.6145049319587,0.8756417888551952,148002148.55862185,-242460097.47048607,53544199.64675764,53544199.64675764,Sellers
ARG,SW,44652.45720766236,88180.73534937948,52849.26032877431,610864.2065605521,583396628.2220178,728827.1379073359,1476.0238132822285,NA,19.144344546381152,0.46042969797155475,10839752.815820927,572468694.6708474,594148200.3024893,572468694.6708474,Buyers
IRL,NW,144029.48032150874,13842236.163747445,168836.50501015803,234366.92889947435,145428305.50389627,275172.7198692939,2445.8071266879265,NA,540.6145049319587,0.8756417888551952,48837735.03979315,82748334.30035567,180423804.37994197,82748334.30035567,Buyers
RUS,NE,3867778.923618303,626082630.8246977,4866765.726517964,3806446.47591858,538005786.6587144,4792512.634932729,1355.820831331818,NA,1514.0302570337594,0.13851774964953323,92859181.55532168,-180936025.721305,4782337.389338374,4782337.389338374,Sellers
PCN,SW,347908.2785163847,217088.96032002568,456237.7589704892,290628.08919760864,19491.17939029055,379810.6785105591,0.2278764690070743,NA,19.144344546381152,0.46042969797155475,1096591.6800005906,-1294189.4609303258,898993.8990708555,898993.8990708555,Sellers
PYF,SW,3078036.6102539897,6517240.1857741475,3679537.940077956,2789709.055423042,4895734.621927964,3329419.465945822,3.001637635032237,NA,19.144344546381152,0.46042969797155475,5519842.05189927,-7141347.615745454,3898336.488053086,3898336.488053086,Sellers
SJM,NE,301416.86462258745,104671097.5166706,366450.0226914386,264138.2393483339,61482814.811317526,321983.456769984,935.0738848609863,NA,1514.0302570337594,0.13851774964953323,56440966.60584329,-99629249.31119636,13252683.900490217,13252683.900490217,Sellers
GRL,NW,590928.0392246612,60340021.785197474,708386.8143061987,971678.6940400198,555931701.0609509,1154539.6273903088,2323.9562532954883,NA,540.6145049319587,0.8756417888551952,205839326.75552416,289752352.5202292,701431006.0312775,289752352.5202292,Buyers
TKL,SW,242249.57158164636,231520.1089656949,307258.5621438942,201402.30724123662,25848.78960261537,256192.23205073012,3.155118056253235,NA,19.144344546381152,0.46042969797155475,781994.1023099127,-987665.4216729922,576322.7829468332,576322.7829468332,Sellers
