iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,734053.6285613945,735832.8789650453,857466.854851714,621964.7204250088,365703.1630100202,728778.6961052199,1.4879960768473912,NA,7.050054247024781,0.061141293620091464,790232.8828512968,-1160362.5988063219,420103.1668962717,420103.1668962717,Sellers
ATF,SE,870174.786748376,4336375.365611181,993853.3883538217,678827.0766447273,1778751.7735287712,780915.488312494,6.2280689838746754,NA,54.31658465989805,0.8939401966402042,10393354.095322464,-12950977.687404873,7835730.5032400545,7835730.5032400545,Sellers
NZL,SE,1531125.3711712076,5313021.907848506,1803751.1956160178,1483582.1675217128,3373946.457421755,1747362.2460692492,27.93905112174246,NA,54.31658465989805,0.8939401966402042,2582384.446030558,-4521459.896457309,643308.9956038068,643308.9956038068,Sellers
HMD,SE,101985.65943528077,426720.18250865396,120715.54664211946,92597.52685614572,103643.10589081793,109401.74902518874,27.978754239705914,NA,54.31658465989805,0.8939401966402042,509931.2980329362,-833008.3746507722,186854.22141510015,186854.22141510015,Sellers
CAN,NW,3057992.718276574,47925617.771803506,3771511.6334703183,2872911.404529108,18533261.083988387,3555118.536738515,97.76153978772341,NA,214.64988032836868,0.9127722508234155,39727681.84691075,-69120038.53472587,10335325.159095634,10335325.159095634,Sellers
ARG,SW,38598.79345733566,23575.82519312948,45726.8819512498,572582.2342469362,527789447.2646512,682390.7948232085,1421.4054411099385,NA,7.050054247024781,0.061141293620091464,3764612.2245796286,524001259.21487844,531530483.6640377,524001259.21487844,Buyers
IRL,NW,112922.16451894617,2623827.6324974447,131987.54635031853,219718.99584325723,111255838.37226014,258124.75600210184,2208.6461375606655,NA,214.64988032836868,0.9127722508234155,22923927.063212346,85708083.67655034,131555937.80297504,85708083.67655034,Buyers
RUS,NE,3622925.2773906677,324920075.88719773,4571384.160253219,3561116.4841623707,268311231.49171084,4496554.4950048905,856.4621942457808,NA,974.0596955401762,0.6880173691673152,60205454.31366071,-116814298.7091476,3596609.91817382,3596609.91817382,Sellers
PCN,SW,341764.1378203844,151371.11559346318,448074.34560160607,272463.8336227581,15900.338851952074,356124.1201336585,0.17707460477492457,NA,7.050054247024781,0.061141293620091464,488570.9039285846,-624041.6806700957,353100.12718707346,353100.12718707346,Sellers
PYF,SW,3012299.0751557355,5782384.96800071,3598971.5161816636,2615352.239459102,4404773.95770559,3119472.5149948024,2.6671486738867043,NA,7.050054247024781,0.061141293620091464,2798496.7248460986,-4176107.7351412186,1420885.7145509785,1420885.7145509785,Sellers
SJM,NE,267558.2269031493,64741111.782819055,326094.15311162017,243761.5506082001,45086468.83592164,297343.12836042256,685.6061570852349,NA,974.0596955401762,0.6880173691673152,23179383.266726315,-42834026.21362373,3524740.3198288977,3524740.3198288977,Sellers
GRL,NW,483801.25495791575,18998273.892056473,585315.1070505546,906914.0073041114,420381129.4714247,1077406.524073729,1904.6365186589223,NA,214.64988032836868,0.9127722508234155,90821101.65651758,310561753.92285067,492203957.2358858,310561753.92285067,Buyers
TKL,SW,234479.71479354549,160396.1519344449,298134.1848089317,188814.66303865932,2771.9574420623476,240108.73891096134,0.7281755394077833,NA,7.050054247024781,0.061141293620091464,321941.09206514165,-479565.28655752423,164316.8975727591,164316.8975727591,Sellers
UKR,NE,86578.7041810631,18739509.04487282,126607.17658950688,65714.76058522535,8133986.382549404,98579.64443256677,300.17503275176256,NA,974.0596955401762,0.6880173691673152,20322726.546729136,-30928249.20905255,9717203.884405721,9717203.884405721,Sellers
ISL,NW,301428.8948306054,11825377.073619783,359951.73355959106,382201.948972896,49357605.54224034,453949.8702071263,779.8875409841457,NA,214.64988032836868,0.9127722508234155,17337926.405399512,20194302.06322104,54870154.87402007,20194302.06322104,Buyers
ZAF,SE,1012066.8981695264,2697548.4140040874,1140962.7167890233,835157.5138087318,68637.1336311623,937862.466220844,0.9685395250562556,NA,54.31658465989805,0.8939401966402042,9609113.552763542,-12238024.833136467,6980202.272390617,6980202.272390617,Sellers
NIU,SW,247218.44071080736,54550.847447395325,301719.21771778393,195687.33478203785,822.8155920205201,238614.75596779474,0.009530590285663196,NA,7.050054247024781,0.061141293620091464,363297.09220700536,-417025.1240623802,309569.06035163056,309569.06035163056,Sellers
WLF,SW,135782.0261780704,141611.29967045784,173878.26526352038,115317.31270236199,61834.70330983559,147511.08808645784,3.26548192656519,NA,7.050054247024781,0.061141293620091464,144277.34015356336,-224053.93651418563,64500.74379294111,64500.74379294111,Sellers
NAM,SE,345342.46514438547,2443228.0599889755,423163.4493643339,318944.98432258534,1180664.551914573,386524.9946879849,39.16269849710844,NA,54.31658465989805,0.8939401966402042,1433821.0018653418,-2696384.509939744,171257.49379093922,171257.49379093922,Sellers
GEO,NE,13155.290999185083,1233625.6190218925,20422.917141486145,10944.871370083141,854783.7842075772,16773.23868403773,160.10488810414748,NA,974.0596955401762,0.6880173691673152,2153080.6709390664,-2531922.5057533816,1774238.8361247513,1774238.8361247513,Sellers
BMU,NW,330201.07565145055,771123.9694290161,369622.1774799913,249294.1252808383,4902.384360121686,278510.17200748465,0.03074858866906744,NA,214.64988032836868,0.9127722508234155,17366667.21478518,-18132888.799854074,16600445.629716286,16600445.629716286,Sellers
MNP,NE,610388.6775714137,1995986.2967677116,709479.1099468991,457791.5081785603,690625.9815788555,528572.1693004678,3.5768382828434664,NA,974.0596955401762,0.6880173691673152,148638752.35909548,-149944112.67428434,147333392.04390663,147333392.04390663,Sellers
TWN,NE,237013.43575739968,42863750.1341629,261890.7265350373,233098.4480266869,39184445.1181499,257816.50870011022,916.6756455764589,NA,974.0596955401762,0.6880173691673152,3813431.7570216116,-7492736.773034615,134126.74100860953,134126.74100860953,Sellers
SHN,SW,1259084.73150884,337560.6586513519,1401177.248644707,1016973.1096334246,93582.95221272654,1131293.637518182,0.1681606480516046,NA,7.050054247024781,0.061141293620091464,1706900.0680568314,-1950877.7744954568,1462922.361618206,1462922.361618206,Sellers
CHL,SW,1404319.1485359503,4596820.399044037,1682023.9648275445,1604085.365159166,6167456.8923817305,1910709.617308083,8.811481730668934,NA,7.050054247024781,0.061141293620091464,1408362.6639165743,162273.8294211193,2978999.157254268,162273.8294211193,Buyers
BHS,NW,280705.9600171875,739369.8028202057,337889.534109354,364100.1437779022,49640036.3279992,437817.4913855935,666.1693112728844,NA,214.64988032836868,0.9127722508234155,17900551.564319387,31000114.960859604,66801218.08949838,31000114.960859604,Buyers
JAM,NW,200881.72662176535,1684727.9262838364,227266.43622680198,164938.46271180618,20898.51893872961,186723.01416016568,0.8655775503330689,NA,214.64988032836868,0.9127722508234155,7715217.29688371,-9379046.704228817,6051387.889538603,6051387.889538603,Sellers
AIA,NW,72653.73760098673,733240.690237999,86735.78980871645,58640.7269441218,8413.736569602044,70208.05328973095,9.170735989340024,NA,214.64988032836868,0.9127722508234155,3007891.060536212,-3732718.0142046087,2283064.106867815,2283064.106867815,Sellers
CRI,NW,466651.9925061989,4770549.870926857,540729.8868804156,370714.2782407288,115919.93181562828,429897.5805414011,2.823772138562948,NA,214.64988032836868,0.9127722508234155,20593018.886060387,-25247648.825171616,15938388.946949158,15938388.946949158,Sellers
