iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,700436.9772714098,558029.6699806703,818982.4924651682,504602.128312229,217380.5006623294,593705.1334563975,1.0894303968359578,NA,3.8416345103747878,0.19544457355602596,752325.9140956231,-1092975.0834139641,411676.7447772821,411676.7447772821,Sellers
ATF,SE,808709.8181219319,2791420.2933455557,923135.6741426465,540241.4410572773,1073101.7939875575,628417.3458535278,4.3682548048652965,NA,11.586735700648886,0.9416396647514498,3110672.1290303,-4828990.628388298,1392353.6296723017,1392353.6296723017,Sellers
NZL,SE,1407024.967840228,2083763.7164422562,1654678.11730659,1205729.0750609022,982947.0058556705,1415805.1228052082,2.6090214796133626,NA,11.586735700648886,0.9416396647514498,2332362.307260205,-3433179.0178467906,1231545.5966736195,1231545.5966736195,Sellers
HMD,SE,90836.0391659403,70143.23719615396,107289.70524034921,68247.0912467572,358.8596208063335,80483.72007288114,0.05183589918299052,NA,11.586735700648886,0.9416396647514498,261732.16929529706,-331516.54687064467,191947.79171994943,191947.79171994943,Sellers
CAN,NW,2591554.954016851,4669953.322432417,3225875.3773564603,2333559.2396453694,2500883.515063496,2915966.125500261,4.793631203508832,NA,15.243527560689135,0.25840105667777247,3932764.7825613595,-6101834.589930281,1763694.9751924379,1763694.9751924379,Sellers
ARG,SW,36544.916204644425,10171.74902125448,43307.147321279335,465392.7117688113,383203256.1151346,554015.9852711571,1277.3568368320057,NA,3.8416345103747878,0.19544457355602596,1647476.4911374552,381545607.8749759,384840560.8572508,381545607.8749759,Buyers
IRL,NW,75049.13158276581,243257.34343494475,87771.50045237374,178704.78328584917,44294964.46829807,209932.0248449966,1245.8473582192278,NA,15.243527560689135,0.25840105667777247,1580077.783557145,42471629.34130598,45631784.90842027,42471629.34130598,Buyers
RUS,NE,2896753.398479568,34402817.289541505,3690606.6320672603,2874192.5072449837,32699119.937591463,3662642.3279480794,72.20230989655454,NA,79.02054385660581,0.48569989106798983,1782773.8952465707,-3486471.247196613,79076.54329652712,79076.54329652712,Sellers
PCN,SW,323349.68724299286,52169.97594502568,423559.4188345748,221603.9180131766,9164.901262791596,289609.8395428532,0.10350742780275438,NA,3.8416345103747878,0.19544457355602596,390870.0583578914,-433875.1330401255,347864.9836756573,347864.9836756573,Sellers
PYF,SW,2924074.103511627,5333658.771223366,3491932.6162464498,2127153.1547600697,3204561.978453753,2534319.276277524,2.2973690042947,NA,3.8416345103747878,0.19544457355602596,3061479.0187645997,-5190575.811534213,932382.2259949865,932382.2259949865,Sellers
SJM,NE,96212.00446160574,1056592.5322955996,119407.94472138249,186706.82213582558,17365967.074736547,228878.40509638726,313.58537368966716,NA,79.02054385660581,0.48569989106798983,7150949.708821236,9158424.83361971,23460324.251262184,9158424.83361971,Buyers
GRL,NW,184728.60501643494,1080278.6825838163,225988.00941609626,725572.8844435685,163098350.07616255,863670.2268554218,1000.9473891384666,NA,15.243527560689135,0.25840105667777247,8244374.679488567,153773696.71409017,170262446.0730673,153773696.71409017,Buyers
TKL,SW,217456.8690955442,81453.8765438199,276791.73206094455,153569.25927144292,464.42001368217404,195065.1101837702,0.005441088213744529,NA,3.8416345103747878,0.19544457355602596,245432.84668562686,-326422.3032157646,164443.39015548912,164443.39015548912,Sellers
UKR,NE,28167.843541667396,400525.8729978204,46418.55486149861,53119.20766307623,4791273.731819845,82034.52438151526,240.6858301119378,NA,79.02054385660581,0.48569989106798983,1971670.3628379276,2419077.495984097,6362418.221659952,2419077.495984097,Buyers
ISL,NW,168183.81020171358,492069.9329947829,202922.04021056634,310857.5851646221,14323276.680848075,370791.2123359129,292.1765154244466,NA,15.243527560689135,0.25840105667777247,2174851.6208346556,11656355.127018636,16006058.368687948,11656355.127018636,Buyers
ZAF,SE,938412.7358092021,516830.10345721245,1054880.5090673056,679261.4445644353,22923.570684478134,766491.319911316,0.15777982215254027,NA,11.586735700648886,0.9416396647514498,3002717.5181349963,-3496624.0509077306,2508810.985362262,2508810.985362262,Sellers
NIU,SW,242562.56836973218,34079.226353645325,295824.17122104234,159159.03228939077,545.8577642108194,193934.32300820205,0.006236045709534131,NA,3.8416345103747878,0.19544457355602596,320405.9024935283,-353939.2710829628,286872.53390409384,286872.53390409384,Sellers
WLF,SW,128780.07698705375,109209.21861577034,164834.4755927822,93791.41433125442,21215.247352187693,119822.55962456705,0.8072060250501547,NA,3.8416345103747878,0.19544457355602596,134413.65393038027,-222407.62519396291,46419.68266679763,46419.68266679763,Sellers
NAM,SE,280060.67197617824,212971.01116085052,336029.5499674881,259408.58724903612,53433.61053210218,310171.1969779116,3.6509005496638935,NA,11.586735700648886,0.9416396647514498,239290.24740080323,-398827.6480295516,79752.84677205488,79752.84677205488,Sellers
