iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,660962.9980491657,436091.2197853578,773477.8282226818,395622.5784932193,113025.3898842382,468704.68291591486,0.8113479500023573,NA,2.340928175308299,0.3810208227325049,621142.8641866401,-944208.6940877598,298077.0342855205,298077.0342855205,Sellers
ATF,SE,540579.8850309671,1074580.2035018057,628779.0868598495,411554.7794403593,606888.5281616965,482222.1263890189,3.059502100734777,NA,4.380841617280823,0.1967310199622383,565238.552245387,-1032930.2275854961,97546.87690527784,97546.87690527784,Sellers
NZL,SE,1296757.589118761,1291554.7808953812,1524222.1446546258,947722.6320615781,527144.5083682089,1117673.5230618045,1.3167630218270743,NA,4.380841617280823,0.1967310199622383,1529066.8657619318,-2293477.138289104,764656.5932347594,764656.5932347594,Sellers
HMD,SE,86104.93800098599,26998.39539927896,101626.12575106922,45635.972466610736,31.16028065843594,54229.820186621255,0.00235272961537101,NA,4.380841617280823,0.1967310199622383,177288.1284212944,-204255.36353991492,150320.89330267385,150320.89330267385,Sellers
CAN,NW,2333340.4697592347,2499834.812910933,2915685.5807668506,1832732.229396182,859911.2978157897,2306202.2776532685,2.1731354541213257,NA,4.78904367523454,0.07216978543057229,2397434.7272809693,-4037358.2423761124,757511.2121858259,757511.2121858259,Sellers
ARG,SW,36544.91620464442,10171.74902125448,43307.14732127933,365859.58375340956,261961688.98653528,434732.5357789552,1157.4662409902685,NA,2.340928175308299,0.3810208227325049,770901.9838071899,261180615.25370684,262722419.22132123,261180615.25370684,Buyers
IRL,NW,52493.460559237734,39121.74773181975,61480.19790839063,140620.15733968458,12161762.04576055,164833.6529348398,450.20795323425295,NA,4.78904367523454,0.07216978543057229,422042.59983571107,11700597.69819302,12544682.89786444,11700597.69819302,Buyers
RUS,NE,2450224.905630717,18437236.099111818,3114689.5854786737,2236334.5286788386,14662790.224253697,2837352.599472545,16.349210810874137,NA,19.287692718659603,0.7244757047573716,4125451.8661261033,-7899897.740984224,351005.99126798287,351005.99126798287,Sellers
PCN,SW,319078.66616425826,39545.76110127568,417978.23203813477,174376.85351856516,5046.734931555383,227947.9084875997,0.07089315504625886,NA,2.340928175308299,0.3810208227325049,338736.5502404857,-373235.576410206,304237.5240707654,304237.5240707654,Sellers
PYF,SW,2215841.7509453725,3410357.7304172763,2640456.5819609696,1673825.433253825,2219639.2588583613,2001056.9823358434,2.056019279755655,NA,2.340928175308299,0.3810208227325049,1268821.2695609976,-2459539.741119913,78102.79800208285,78102.79800208285,Sellers
SJM,NE,79485.86078473563,164736.06598700583,98916.4257205057,133727.4314114777,5630375.823851492,165398.75510209112,163.18828622991637,NA,19.287692718659603,0.7244757047573716,1046194.7468260737,4419445.011038412,6511834.5046905605,4419445.011038412,Buyers
GRL,NW,88966.28539364517,155214.46554280072,108226.96041733683,557184.698930207,43771443.94535902,670090.5372423048,441.3523431993764,NA,4.78904367523454,0.07216978543057229,2242318.4319756217,41373911.047840595,45858547.911791846,41373911.047840595,Buyers
TKL,SW,196095.4781645325,9946.542071163654,249465.59882397373,120841.38434474195,298.6744644988607,153391.64899376294,0.004392692859218965,NA,2.340928175308299,0.3810208227325049,176164.42853004186,-185812.29613670666,166516.56092337705,166516.56092337705,Sellers
ISL,NW,124941.60797584745,79780.34852212667,151274.71876200507,244609.2473426534,3776231.912617655,292698.7019900126,89.4222580966373,NA,4.78904367523454,0.07216978543057229,573093.5514398499,3123358.012655678,4269545.115535378,3123358.012655678,Buyers
ZAF,SE,898578.2704651724,219749.69525408745,1009665.6192406644,534500.8088375884,5137.965481453857,608640.5194323106,0.060374573161749316,NA,4.380841617280823,0.1967310199622383,1594965.6958120817,-1809577.4255847153,1380353.966039448,1380353.966039448,Sellers
NIU,SW,235571.11515510868,8773.146275520325,286997.4355283747,125239.8942605042,357.57443150669104,152714.5903844487,0.004962057059689717,NA,2.340928175308299,0.3810208227325049,258277.46360834333,-266693.03545235697,249861.8917643297,249861.8917643297,Sellers
WLF,SW,110034.72317041866,46122.21470952034,140744.4992530645,73803.08012951167,8939.876507700408,94138.32865249502,0.4047528393573991,NA,2.340928175308299,0.3810208227325049,84815.67403217201,-121998.01223399195,47633.33583035208,47633.33583035208,Sellers
NAM,SE,259994.40221774162,55572.362723350525,310904.4806116065,204124.7899664546,1601.7922159813095,241553.15134858357,0.0351286467486868,NA,4.380841617280823,0.1967310199622383,244755.92249178066,-298726.4929991499,190785.35198441145,190785.35198441145,Sellers
