iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,804943.4222503185,2886006.452207233,940790.682928632,722561.2279502484,662243.7819766578,844146.7824106055,5.596941832818012,NA,77.26091632613857,0.5834148906026324,6364923.820581403,-8588686.490811978,4141161.1503508277,4141161.1503508277,Sellers
ATF,SE,920865.0614388811,10239258.12342368,1050939.9194020166,797614.7642911128,2673187.651651147,910634.5145113198,9.809616672343594,NA,259.15852263058053,0.946306257531661,31941364.92259569,-39507435.394368224,24375294.450823158,24375294.450823158,Sellers
NZL,SE,1645667.279478858,20897094.704723507,1937659.631044388,1721741.9610595503,49622508.81341641,2026654.3586922442,518.4635430545119,NA,259.15852263058053,0.946306257531661,19715402.08804405,9010012.020648848,48440816.19673695,9010012.020648848,Buyers
HMD,SE,129451.53494400479,4423255.049696154,152850.68900476664,113469.32880705019,1586561.4356024489,134416.81713880028,135.4089865327825,NA,259.15852263058053,0.946306257531661,4141924.930830552,-6978618.544924257,1305231.3167368467,1305231.3167368467,Sellers
CAN,NW,3645115.3715637927,403580839.04508865,4470055.613030154,3335213.260143742,141815329.58398116,4099127.2642492335,538.219231704229,NA,1290.3136429204942,0.18191831004559045,399870922.3351585,-661636431.7962661,138105412.87405103,138105412.87405103,Sellers
ARG,SW,52753.7972136095,468907.7587868795,62426.71268951481,664458.9677996145,666066005.975202,792926.8354700134,1646.6427552813348,NA,77.26091632613857,0.5834148906026324,47260902.00091166,618336196.2155033,712858000.2173268,618336196.2155033,Buyers
IRL,NW,183821.95244758882,50789836.413747445,216136.4438293654,254874.03517817834,198645618.73736918,298960.3414846271,2723.809855584628,NA,1290.3136429204942,0.18191831004559045,91679471.70519531,56176310.61842644,239535254.02881706,56176310.61842644,Buyers
RUS,NE,4163459.143252583,1231693824.4707377,5221883.794427377,4149908.4643772733,1192946591.661191,5205456.547206333,2740.782707973084,NA,2953.1518157706673,0.01297537007176719,40017211.9255466,-78764444.73509331,1269979.115999937,1269979.115999937,Sellers
PCN,SW,363285.1114970108,703049.3157887757,476151.8453457115,316058.0470023994,33404.40148517075,414042.83288574364,1.9666161863185307,NA,77.26091632613857,0.5834148906026324,3648806.2782473215,-4318451.1925509265,2979161.3639437165,2979161.3639437165,Sellers
PYF,SW,3413772.8419325897,19813875.273863304,4081606.460400668,3033808.597772558,5945685.569913897,3625680.036892369,9.129342154688798,NA,77.26091632613857,0.5834148906026324,29356385.674972676,-43224575.37892208,15488195.971023269,15488195.971023269,Sellers
