iso3,iso3n,ecoregion,eco_code,province,pro_code,realm,rlm_code
DNK,208,Baltic Sea,20024,Northern European Seas,2,Temperate Northern Atlantic,2
EST,233,Baltic Sea,20024,Northern European Seas,2,Temperate Northern Atlantic,2
FIN,246,Baltic Sea,20024,Northern European Seas,2,Temperate Northern Atlantic,2
LTU,440,Baltic Sea,20024,Northern European Seas,2,Temperate Northern Atlantic,2
LVA,428,Baltic Sea,20024,Northern European Seas,2,Temperate Northern Atlantic,2
POL,616,Baltic Sea,20024,Northern European Seas,2,Temperate Northern Atlantic,2
RUS,643,Baltic Sea,20024,Northern European Seas,2,Temperate Northern Atlantic,2
SWE,752,Baltic Sea,20024,Northern European Seas,2,Temperate Northern Atlantic,2
IDN,360,Banda Sea,20131,Western Coral Triangle,30,Central Indo-Pacific,6
TLS,626,Banda Sea,20131,Western Coral Triangle,30,Central Indo-Pacific,6
AUS,36,Bassian,20205,Southeast Australian Shelf,56,Temperate Australasia,11
CAN,124,Beaufort Sea - continental coast and shelf,20012,Arctic,1,Arctic,1
USA,840,Beaufort Sea - continental coast and shelf,20012,Arctic,1,Arctic,1
CAN,124,Beaufort-Amundsen-Viscount Melville-Queen Maud,20011,Arctic,1,Arctic,1
BMU,60,Bermuda,20062,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
ATF,260,Bight of Sofala/Swamp Coast,20101,Western Indian Ocean,20,Western Indo-Pacific,5
MOZ,508,Bight of Sofala/Swamp Coast,20101,Western Indian Ocean,20,Western Indo-Pacific,5
PNG,598,Bismarck Sea,20134,Eastern Coral Triangle,31,Central Indo-Pacific,6
BGR,100,Black Sea,20044,Black Sea,7,Temperate Northern Atlantic,2
GEO,268,Black Sea,20044,Black Sea,7,Temperate Northern Atlantic,2
ROU,642,Black Sea,20044,Black Sea,7,Temperate Northern Atlantic,2
RUS,643,Black Sea,20044,Black Sea,7,Temperate Northern Atlantic,2
TUR,792,Black Sea,20044,Black Sea,7,Temperate Northern Atlantic,2
AUS,36,Bonaparte Coast,20141,Sahul Shelf,32,Central Indo-Pacific,6
IDN,360,Bonaparte Coast,20141,Sahul Shelf,32,Central Indo-Pacific,6
TLS,626,Bonaparte Coast,20141,Sahul Shelf,32,Central Indo-Pacific,6
NZL,554,Bounty and Antipodes Islands,25230,Subantarctic New Zealand,62,Southern Ocean,12
NZL,554,Campbell Island,20231,Subantarctic New Zealand,62,Southern Ocean,12
AUS,36,Cape Howe,20204,Southeast Australian Shelf,56,Temperate Australasia,11
CPV,132,Cape Verde,20079,West African Transition,16,Tropical Atlantic,4
MUS,480,Cargados Carajos/Tromelin Island,20097,Western Indian Ocean,20,Western Indo-Pacific,5
SYC,690,Cargados Carajos/Tromelin Island,20097,Western Indian Ocean,20,Western Indo-Pacific,5
USA,840,Carolinian,25042,Warm Temperate Northwest Atlantic,6,Temperate Northern Atlantic,2
FRA,250,Celtic Seas,20026,Northern European Seas,2,Temperate Northern Atlantic,2
FRO,234,Celtic Seas,20026,Northern European Seas,2,Temperate Northern Atlantic,2
GBR,826,Celtic Seas,20026,Northern European Seas,2,Temperate Northern Atlantic,2
GGY,831,Celtic Seas,20026,Northern European Seas,2,Temperate Northern Atlantic,2
IRL,372,Celtic Seas,20026,Northern European Seas,2,Temperate Northern Atlantic,2
JEY,832,Celtic Seas,20026,Northern European Seas,2,Temperate Northern Atlantic,2
CHL,152,Central Chile,20177,Warm Temperate Southeastern Pacific,45,Temperate South America,9
JPN,392,Central Kuroshio Current,20051,Warm Temperate Northwest Pacific,9,Temperate Northern Pacific,3
NZL,554,Central New Zealand,25199,Southern New Zealand,54,Temperate Australasia,11
PER,604,Central Peru,20175,Warm Temperate Southeastern Pacific,45,Temperate South America,9
