"iso3","country","region","gdp_impute","per_capita_gdp","population"
"BLZ","Belize","Latin America & Caribbean",FALSE,4.27079964683667,322.464
"CAN","Canada","North America",FALSE,47.4503184700703,34004.889
"COD","Congo, Dem. Rep.","Sub-Saharan Africa",FALSE,0.334021572573152,64563.854
"CAF","Central African Republic","Sub-Saharan Africa",FALSE,0.487945383289614,4386.768
"COG","Congo, Rep.","Sub-Saharan Africa",FALSE,2.80969495708158,4273.731
"CHE","Switzerland","Europe & Central Asia",FALSE,74.6057745091454,7824.909
"CIV","Cote d'Ivoire","Sub-Saharan Africa",FALSE,1.21193033804477,20532.95
"CHL","Chile","Latin America & Caribbean",FALSE,12.808034586422,17062.536
"CMR","Cameroon","Sub-Saharan Africa",FALSE,1.28526172565588,20341.241
"CHN","China","East Asia & Pacific",FALSE,4.55045359583857,1337705
"COL","Colombia","Latin America & Caribbean",FALSE,6.32654946861963,45222.7
"CRI","Costa Rica","Latin America & Caribbean",FALSE,8.14191312675461,4577.378
"CUB","Cuba","Latin America & Caribbean",FALSE,5.73035477459488,11225.832
"CPV","Cabo Verde","Sub-Saharan Africa",FALSE,3.37825485950035,492.654
"CUW","Curacao","Latin America & Caribbean",TRUE,8.0597507128924,148.703
"CYP","Cyprus","Europe & Central Asia",FALSE,31.0236383309791,1112.612
"CZE","Czech Republic","Europe & Central Asia",FALSE,19.8080710912518,10474.41
"DEU","Germany","Europe & Central Asia",FALSE,41.5319341978689,81776.93
"DJI","Djibouti","Middle East & North Africa",FALSE,1.34326872994437,840.198
"DNK","Denmark","Europe & Central Asia",FALSE,58.0413984363385,5547.683
"DMA","Dominica","Latin America & Caribbean",FALSE,6.96724522993605,70.878
"DOM","Dominican Republic","Latin America & Caribbean",FALSE,5.55539094900238,9695.121
"DZA","Algeria","Middle East & North Africa",FALSE,4.48072453900113,35977.455
"ECU","Ecuador","Latin America & Caribbean",FALSE,4.63359035839904,15011.117
"EST","Estonia","Europe & Central Asia",FALSE,14.7843810806949,1331.475
"EGY","Egypt, Arab Rep.","Middle East & North Africa",FALSE,2.64481703909751,82761.235
"ERI","Eritrea","Sub-Saharan Africa",FALSE,0.667744177753249,3170.435
"ESP","Spain","Europe & Central Asia",FALSE,30.5027197080776,46576.897
"ETH","Ethiopia","Sub-Saharan Africa",FALSE,0.341554114905179,87639.964
"FIN","Finland","Europe & Central Asia",FALSE,46.4599732548543,5363.352
"FJI","Fiji","East Asia & Pacific",FALSE,3.65252743714193,859.818
"FSM","Micronesia, Fed. Sts.","East Asia & Pacific",FALSE,2.88544589035841,102.911
"FRO","Faroe Islands","Europe & Central Asia",FALSE,48.5302338492813,47.814
"FRA","France","Europe & Central Asia",FALSE,40.63833400426,65027.507
"GAB","Gabon","Sub-Saharan Africa",FALSE,8.84073066379785,1624.14
"GBR","United Kingdom","Europe & Central Asia",FALSE,39.4358399018505,62766.365
"GRD","Grenada","Latin America & Caribbean",FALSE,7.25775662232319,106.233
"GEO","Georgia","Europe & Central Asia",FALSE,3.23329594347421,3786.695
"GHA","Ghana","Sub-Saharan Africa",FALSE,1.29843695159215,24779.619
"GIB","Gibraltar","Europe & Central Asia",TRUE,21.1533809749538,33.585
"GRL","Greenland","Europe & Central Asia",FALSE,43.9883324931946,56.905
"GMB","Gambia, The","Sub-Saharan Africa",FALSE,0.860637873688125,1793.196
"GIN","Guinea","Sub-Saharan Africa",FALSE,0.672424402562443,10192.176
"GNQ","Equatorial Guinea","Sub-Saharan Africa",FALSE,17.2720097706819,943.639
"GRC","Greece","Europe & Central Asia",FALSE,26.9177589787254,11121.341
"GTM","Guatemala","Latin America & Caribbean",FALSE,2.82548396349692,14630.417
"GUM","Guam","East Asia & Pacific",FALSE,30.7004340081784,159.444
"GNB","Guinea-Bissau","Sub-Saharan Africa",FALSE,0.557632132626126,1522.599
"GUY","Guyana","Latin America & Caribbean",FALSE,3.03324772490536,749.436
"HKG","Hong Kong SAR, China","East Asia & Pacific",FALSE,32.549998231121,7024.2
"HND","Honduras","Latin America & Caribbean",FALSE,1.90434646496881,8317.47
"HRV","Croatia","Europe & Central Asia",FALSE,13.9236370524478,4295.427
"HTI","Haiti","Latin America & Caribbean",FALSE,0.665627419493396,9949.322
"HUN","Hungary","Europe & Central Asia",FALSE,13.1135259617277,10000.023
"IDN","Indonesia","East Asia & Pacific",FALSE,3.12236281521649,241834.215
"IRL","Ireland","Europe & Central Asia",FALSE,48.7151768553933,4560.155
"ISR","Israel","Middle East & North Africa",FALSE,30.6935930786871,7623.6
"IMN","Isle of Man","Europe & Central Asia",FALSE,69.7665211886388,84.857
"IND","India","South Asia",FALSE,1.35756371913262,1234281.17
"IRQ","Iraq","Middle East & North Africa",FALSE,4.65728042580536,29741.976
"IRN","Iran, Islamic Rep.","Middle East & North Africa",FALSE,6.60321226914401,73762.519
"ISL","Iceland","Europe & Central Asia",FALSE,43.0249238377351,318.041
"ITA","Italy","Europe & Central Asia",FALSE,36.0005201179254,59277.417
"JAM","Jamaica","Latin America & Caribbean",FALSE,4.70405445468166,2810.46
"JOR","Jordan","Middle East & North Africa",FALSE,3.69011326778672,7261.539
"JPN","Japan","East Asia & Pacific",FALSE,44.5076763859172,128070
"KEN","Kenya","Sub-Saharan Africa",FALSE,0.951687961116879,42030.676
"KGZ","Kyrgyz Republic","Europe & Central Asia",FALSE,0.880037775119109,5447.9
"KHM","Cambodia","East Asia & Pacific",FALSE,0.785502282874113,14312.212
"KIR","Kiribati","East Asia & Pacific",FALSE,1.51681186907787,102.927
"COM","Comoros","Sub-Saharan Africa",FALSE,1.31521480648394,689.692
"KNA","St. Kitts and Nevis","Latin America & Caribbean",FALSE,15.508616989766,49.016
"PRK","Korea, Dem. People’s Rep.","East Asia & Pacific",TRUE,3.65473980000684,24548.836
"KOR","Korea, Rep.","East Asia & Pacific",FALSE,22.0869529193201,49554.112
"KWT","Kuwait","Middle East & North Africa",FALSE,38.5773816572031,2991.884
"CYM","Cayman Islands","Latin America & Caribbean",FALSE,73.3507848219067,56.672
"KAZ","Kazakhstan","Europe & Central Asia",FALSE,9.07048825285747,16321.872
"LAO","Lao PDR","East Asia & Pacific",FALSE,1.14059920478703,6249.165
"LBN","Lebanon","Middle East & North Africa",FALSE,7.75674406876812,4953.061
"LCA","St. Lucia","Latin America & Caribbean",FALSE,8.03747296712228,174.085
"LIE","Liechtenstein","Europe & Central Asia",FALSE,141.200380010278,35.994
"LKA","Sri Lanka","South Asia",FALSE,2.79964887619972,20261.737
"LBR","Liberia","Sub-Saharan Africa",FALSE,0.513445698620224,3891.356
"LSO","Lesotho","Sub-Saharan Africa",FALSE,1.19995176611775,1995.581
"LTU","Lithuania","Europe & Central Asia",FALSE,11.9539384416891,3097.282
"LUX","Luxembourg","Europe & Central Asia",FALSE,104.965306078267,506.953
"LVA","Latvia","Europe & Central Asia",FALSE,11.3446933695837,2097.555
"LBY","Libya","Middle East & North Africa",FALSE,12.0647806924218,6197.663
"MAR","Morocco","Middle East & North Africa",FALSE,2.83992516805933,32343.389
"MCO","Monaco","Europe & Central Asia",FALSE,150.585448911112,35.612
"MDA","Moldova","Europe & Central Asia",FALSE,1.95813371987623,2861.487
"MNE","Montenegro","Europe & Central Asia",FALSE,6.68228115774575,619.428
"MAF","St. Martin (French part)","Latin America & Caribbean",TRUE,8.0597507128924,37.582
"MDG","Madagascar","Sub-Saharan Africa",FALSE,0.471959211584451,21151.64
"MHL","Marshall Islands","East Asia & Pacific",FALSE,2.876994996984,56.366
"MKD","North Macedonia",NA,FALSE,4.54289971678317,2070.741
"MLI","Mali","Sub-Saharan Africa",FALSE,0.709581964584771,15049.353
"MMR","Myanmar","East Asia & Pacific",FALSE,0.979051630004942,50600.818
"MNG","Mongolia","East Asia & Pacific",FALSE,2.64329291416763,2719.896
"MAC","Macao SAR, China","East Asia & Pacific",FALSE,52.2531553117325,538.219
"MNP","Northern Mariana Islands","East Asia & Pacific",FALSE,14.8042467250931,53.971
"MRT","Mauritania","Sub-Saharan Africa",FALSE,1.24142875621618,3494.195
"MLT","Malta","Middle East & North Africa",FALSE,21.1073644349639,414.508
"MUS","Mauritius","Sub-Saharan Africa",FALSE,8.00037643182154,1250.4
"MDV","Maldives","South Asia",FALSE,7.07666242320238,365.734
"MWI","Malawi","Sub-Saharan Africa",FALSE,0.478668589704525,14539.612
"MEX","Mexico","Latin America & Caribbean",FALSE,9.27139823324639,114092.963
"MYS","Malaysia","East Asia & Pacific",FALSE,9.04056625117172,28208.035
"MOZ","Mozambique","Sub-Saharan Africa",FALSE,0.471181692645893,23531.574
