"iso3","realm","province","ecoregion","chi_eco","chi_pro","chi_rea"
"AUS","Central Indo-Pacific","Sahul Shelf","Arnhem Coast to Gulf of Carpenteria",0.550101916708813,0.636399388647822,0.955895277764987
"IDN","Central Indo-Pacific","Sahul Shelf","Arnhem Coast to Gulf of Carpenteria",0.624474257914996,0.637164839816024,1.16371746005976
"PNG","Central Indo-Pacific","Sahul Shelf","Arnhem Coast to Gulf of Carpenteria",0.329424655685822,0.600296758511705,0.91437623994107
"AUS","Central Indo-Pacific","Sahul Shelf","Arafura Sea",0.583891139143989,0.636399388647822,0.955895277764987
"IDN","Central Indo-Pacific","Sahul Shelf","Arafura Sea",0.622552175014655,0.637164839816024,1.16371746005976
"PNG","Central Indo-Pacific","Sahul Shelf","Arafura Sea",0.645640499100896,0.600296758511705,0.91437623994107
"NZL","Southern Ocean","Subantarctic New Zealand","Auckland Island",1.14506359986151,1.07415503979188,1.07415503979188
"ESH","Temperate Northern Atlantic","Lusitanian","Azores Canaries Madeira",1.74376156926155,1.99248863630915,1.99248863630915
"ESP","Temperate Northern Atlantic","Lusitanian","Azores Canaries Madeira",1.6719924387975,1.62980372212167,1.65608263898197
"MAR","Temperate Northern Atlantic","Lusitanian","Azores Canaries Madeira",1.47421534359455,1.83723564706054,1.83431762445483
"PRT","Temperate Northern Atlantic","Lusitanian","Azores Canaries Madeira",1.23505878378587,1.28751409274859,1.28751409274859
"CAN","Arctic","Arctic","Baffin Bay - Davis Strait",1.60760441720233,1.37536559492745,1.37536559492745
"GRL","Arctic","Arctic","Baffin Bay - Davis Strait",1.92779369764431,1.66375980363252,1.66375980363252
"BHS","Tropical Atlantic","Tropical Northwestern Atlantic","Bahamian",0.969918791771701,0.970505143663188,0.970505143663188
"CUB","Tropical Atlantic","Tropical Northwestern Atlantic","Bahamian",1.2593922047388,1.20506642104926,1.20506642104926
"DOM","Tropical Atlantic","Tropical Northwestern Atlantic","Bahamian",1.26669024947488,1.54627396118435,1.54627396118435
