iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Southern Ocean,257875.6836269073,29589.849725538865,319293.7363009515,311011.7244112191,48993.99965305291,383423.7082925441,0.4474720875298594,NA,0.3136158008458623,0.9261725485856757,16664.301984350357,2739.847943163688,36068.4519118644,2739.847943163688,Buyers
ATF,Southern Ocean,96021.2057797895,8209.45435629785,111962.17647463927,153309.58229652263,59265.16028255716,179161.05269745816,1.5485420634956915,NA,0.3136158008458623,0.9261725485856757,17966.540080454553,33089.16584580476,69022.24600671386,33089.16584580476,Buyers
HMD,Southern Ocean,73606.35826156131,709.8442518180236,86696.69721717217,50853.922954336864,46.21029149508623,60307.20244251179,0.003225379535270357,NA,0.3136158008458623,0.9261725485856757,7135.523220068869,-7799.157180391806,6471.889259745932,6471.889259745932,Sellers
CAN,Arctic,2205519.3875161055,2776454.936068055,2765759.5039687664,1393607.8124544113,198917.80610223068,1770837.0861746694,0.9399093083356094,NA,11.290697565467816,0.4109218495171686,9167048.043924212,-11744585.173890037,6589510.913958387,6589510.913958387,Sellers
ARG,Temperate South America,36544.91620464442,10171.74902125448,43307.14732127933,388828.7671415792,288805543.366108,462145.24494863924,1178.845149370789,NA,6.246652913496892,0.9201025292213804,2200594.943833108,286594776.67325366,290995966.5609199,286594776.67325366,Buyers
IRL,Temperate Northern Atlantic,112922.16451894616,2623827.6324974447,131987.54635031853,149408.91717341487,16864953.75851702,175252.96335241434,598.0682559175953,NA,200.74608463438926,0.9283685839698894,7324572.736408004,6916553.389611571,21565698.862427577,6916553.389611571,Buyers
RUS,Arctic,1581339.7032674165,4644861.2035711035,2018716.2964575456,1379426.521135538,2706486.714988742,1757118.565168705,8.03466500196861,NA,11.290697565467816,0.4109218495171686,2279740.6739322613,-4218115.162514623,341366.1853498998,341366.1853498998,Sellers
PCN,Eastern Indo-Pacific,321172.5116052536,44896.86315205693,420763.1787450594,185275.4068634755,5864.163520566367,242170.50792486,0.07803530340076671,NA,3.24250764953083,0.25119239036208907,440647.40167430794,-479680.1013057985,401614.7020428174,401614.7020428174,Sellers
PYF,Eastern Indo-Pacific,2865584.360252034,5131262.675520241,3420220.278641451,1778439.5228321892,2437673.100397036,2124279.858527057,2.1103388981792586,NA,3.24250764953083,0.25119239036208907,3525075.451481797,-6218665.026605003,831485.8763585915,831485.8763585915,Sellers
SJM,Arctic,125577.22399534615,326117.6364673525,156216.0787278063,198411.38918529137,4127538.3692661924,244545.64331339597,101.66736198772254,NA,11.290697565467816,0.4109218495171686,822348.5315929952,2979072.201205845,4623769.264391835,2979072.201205845,Buyers
GRL,Arctic,155013.10611147614,680559.3193025663,189242.73215428976,596043.5109717521,63139584.708975956,714248.8654102478,551.3894414946411,NA,11.290697565467816,0.4109218495171686,4979540.9184532035,57479484.47122019,67438566.3081266,57479484.47122019,Buyers
