iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
CRI,Tropical Atlantic,27320.99061474407,1509529.9762573242,33253.99491119452,25810.547020539823,1205691.3405926966,31562.07883829121,201.1585449668513,NA,615.2606878511589,0.36492947873267156,929316.564730482,-1233155.2003951096,625477.9290658543,625477.9290658543,Sellers
GUF,Tropical Atlantic,96643.25893842053,5051557.299743652,116108.7912366669,90042.42230591674,3265921.45937108,107458.83640252292,238.0120746121874,NA,615.2606878511589,0.36492947873267156,4061235.286907411,-5846871.127279984,2275599.446534839,2275599.446534839,Sellers
PAK,Western Indo-Pacific,122578.51784036934,10422098.804504395,147158.65671264997,155803.13076854055,147486591.9312886,188581.09012400347,7005.29131998282,NA,1059.9580671751141,0.4795437453614275,35216696.50198566,101847796.62479854,172281189.62876987,101847796.62479854,Buyers
NIC,Tropical Eastern Pacific,30730.644803697294,77939.83947753906,36261.878718432854,45697.31558628419,4225458.811804762,54686.791728599,466.47380030143586,NA,41.05854476203522,0.16727014387696626,614509.7222654887,3533009.2500617346,4762028.6945927115,3533009.2500617346,Buyers
PRK,Temperate Northern Pacific,91909.29174755997,111147939.39752197,111281.04201759178,89970.53099228402,101722874.79473107,108876.85004833252,4861.386108184059,NA,4889.062332053298,0.960929527395453,9478722.179482818,-18903786.782273725,53657.576691910625,53657.576691910625,Sellers
WLF,Central Indo-Pacific,2413.5643748231882,664.2955322265625,2976.5055765848274,2099.8010060961738,577.9371130371094,2589.5598516287996,0.2752342299861909,NA,1520.206397574364,0.7454221795017648,476985.08046329155,-477071.438882481,476898.7220441021,476898.7220441021,Sellers
BRA,Tropical Atlantic,1931863.6228587662,81153174.82781982,2316235.403465423,1971735.283005713,108754308.8434466,2368483.7759033986,764.02664058889,NA,615.2606878511589,0.36492947873267156,24531465.04777812,3069668.967848655,52132599.06340489,3069668.967848655,Buyers
LBY,Temperate Northern Atlantic,278645.22681468446,25542531.988098145,358482.278269273,244309.26442085038,10067740.731097221,316268.25212173705,325.36085818595353,NA,2436.8556319810427,0.9930393036123429,83671783.33890386,-99146574.59590478,68196992.08190294,68196992.08190294,Sellers
PER,Tropical Eastern Pacific,79909.24073590121,49306.80041503906,91996.1469622585,77460.47956375658,46531.506506912425,88785.50514460709,1.0993646863685016,NA,41.05854476203522,0.16727014387696626,100542.57019803413,-103317.86410616076,97767.27628990749,97767.27628990749,Sellers
PER,Temperate South America,535189.0297759714,21731587.60888672,609967.011068745,536338.7943245976,36036624.60477702,611519.1832684738,12441.709924856932,NA,1399.5946354973612,0.1153704954057867,1609204.2943421993,12695832.701548105,15914241.290232502,12695832.701548105,Buyers
COL,Tropical Eastern Pacific,238884.09727989242,440548.06384277344,276317.80110225,239565.97640809338,476055.18905537744,277165.13974598027,52.07246232376251,NA,41.05854476203522,0.16727014387696626,27996.96470753677,7510.160505067237,63504.089920140745,7510.160505067237,Buyers
