iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Southern Ocean,198670.20955815798,13822.548862895812,247527.48143935908,280038.3649503377,36946.82397483776,346030.0021540837,0.34915995853051857,NA,0.21963010190551965,0.6993422733524989,17870.896260648587,5253.378851293361,40995.171372590536,5253.378851293361,Buyers
ATF,Southern Ocean,87052.80935208366,5707.32480917871,101703.06210291151,132044.3319591005,29669.53897414823,153609.2065076021,1.061978588604634,NA,0.21963010190551965,0.6993422733524989,9881.4926950636,14080.721469905919,33843.70686003312,14080.721469905919,Buyers
HMD,Southern Ocean,73606.35826156133,709.8442518180236,86696.69721717217,42157.33880812665,23.866895304900584,50170.85439117765,0.0018441462992618343,NA,0.21963010190551965,0.6993422733524989,6907.151347386527,-7593.12870389965,6221.173990873404,6221.173990873404,Sellers
CAN,Arctic,2123833.218690698,2015095.6238392778,2667235.0338403704,1255694.1629539311,94310.5085909793,1599654.0178000657,0.5708203550950972,NA,7.016013266166548,0.0746770450695895,6090875.131926457,-8011660.247174756,4170090.016678159,4170090.016678159,Sellers
ARG,Temperate South America,36544.916204644425,10171.74902125448,43307.147321279335,350546.7948279631,244409891.64923868,416437.4600548493,1132.3964501573107,NA,4.951020533166251,0.6035750883666072,1554629.7485168278,242845090.1517006,245954349.64873424,242845090.1517006,Buyers
IRL,Temperate Northern Atlantic,105123.18864465531,1437032.5074974447,122918.93942117711,134760.98411719775,9668046.196590869,157803.57873243003,403.13745517781564,NA,107.94957133358568,0.830759239286982,3199387.316533442,5031626.372559981,11430401.005626867,5031626.372559981,Buyers
RUS,Arctic,1291655.2738619393,2046262.802569907,1644766.0217505763,1232811.12113936,1655366.6785460366,1568184.6037433099,6.272300190529402,NA,7.016013266166548,0.0746770450695895,412851.3561379477,-803747.480161818,21955.232114077313,21955.232114077313,Sellers
PCN,Eastern Indo-Pacific,321172.5116052537,44896.86315205693,420763.1787450595,167111.15128862497,4543.058372979782,218426.77237900792,0.06813238118115947,NA,2.895018775925687,0.6398588372721664,446010.53076129267,-486364.33554036985,405656.72598221555,405656.72598221555,Sellers
PYF,Eastern Indo-Pacific,2755187.615888142,4793896.341047585,3287680.0039841323,1604082.7068682492,2077561.0917263979,1919686.5198636332,2.021789581665051,NA,2.895018775925687,0.6398588372721664,3332470.3246728196,-6048805.573994007,616135.0753516324,616135.0753516324,Sellers
SJM,Arctic,108762.65916073961,175631.33910407126,135360.29299281686,172453.80656527693,1907639.1627417977,213043.0100453562,65.56909692881302,NA,7.016013266166548,0.0746770450695895,446857.93512760295,1285149.8885101236,2178865.7587653296,1285149.8885101236,Buyers
GRL,Arctic,113902.64293920275,305383.0465974882,138845.83387068295,531278.8242358438,33212328.55957196,640319.264563952,371.57369281637614,NA,7.016013266166548,0.0746770450695895,2928316.8249591687,29978628.6880153,35835262.33793364,29978628.6880153,Buyers
TKL,Eastern Indo-Pacific,198443.96444374957,16634.089434444904,252494.0772512935,115806.32666371105,276.6399486970388,147073.36854091866,0.0043637063948503176,NA,2.895018775925687,0.6398588372721664,239237.51297135744,-255594.9624571053,222880.06348560957,222880.06348560957,Sellers
UKR,Temperate Northern Atlantic,29463.483278501422,504123.5292478204,48663.475285035856,39623.97238934503,1923402.492865613,63781.50070399633,186.3533883535885,NA,107.94957133358568,0.830759239286982,1096820.4440551323,322458.51956266025,2516099.407672925,322458.51956266025,Buyers
ISL,Temperate Northern Atlantic,170421.41314716276,2109704.4194883704,204617.99941665158,148796.33192161974,770269.3616094716,179258.97035950123,31.86097786302359,NA,107.94957133358568,0.830759239286982,2334418.2483513406,-3673853.3062302396,994983.1904724418,994983.1904724418,Sellers
ZAF,Temperate Southern Africa,514171.4646745447,26460.70282358416,563396.1836554515,376154.30402588856,5569.358949614448,413642.4177647049,0.1113639867274644,NA,0.19603088820864284,0.48167052930011045,27055.62658999101,-47946.97046396072,6164.282716021297,6164.282716021297,Sellers
ZAF,Southern Ocean,202489.05102062123,4054.1246423721313,244369.03134625076,105960.16656044222,188.59715787401404,131501.43155431296,0.0038896839312627446,NA,0.21963010190551965,0.6993422733524989,21200.64873081525,-25066.176215313368,17335.121246317132,17335.121246317132,Sellers
NIU,Central Indo-Pacific,249557.81695763918,71313.34354114532,304658.9353886076,120021.56533298321,332.17889878435216,146480.27633592061,0.004804169069677649,NA,9.219054882177966,0.2004578377902383,1194201.812959318,-1265182.977601679,1123220.648316957,1123220.648316957,Sellers
WLF,Eastern Indo-Pacific,112286.4386896844,58774.71654057503,143787.48539296022,70681.94354577678,7989.189114866447,90243.69758236577,0.4047528393573991,NA,2.895018775925687,0.6398588372721664,120445.79460452161,-171231.3220302302,69660.26717881302,69660.26717881302,Sellers
NAM,Temperate Southern Africa,221115.58218097358,2924.933524131775,262293.8853013511,195619.59038451902,1358.390034553667,231315.81047382674,0.025607599865611737,NA,0.19603088820864284,0.48167052930011045,4998.001917619259,-6564.545407197367,3431.458428041151,3431.458428041151,Sellers
GEO,Temperate Northern Atlantic,9115.321122143447,625438.5877718925,13597.11642360025,6712.85444031766,407857.18858872086,10096.893783434,80.0622380407379,NA,107.94957133358568,0.830759239286982,259345.24844631564,-476926.6476294873,41763.84926314396,41763.84926314396,Sellers
BMU,Tropical Atlantic,314281.04839773296,15339.305366516113,351072.2991051022,152900.39683891417,2455.8871158132342,170691.21892424102,0.021907915038160867,NA,3.415710634241266,0.32696172289094927,551229.6076902417,-564113.0259409446,538346.1894395387,538346.1894395387,Sellers
MNP,Central Indo-Pacific,570198.6499587402,1212983.8651270866,662593.8970001051,280778.7916828503,197419.13992533475,319181.329636223,2.226248123693222,NA,9.219054882177966,0.2004578377902383,2668177.5574375982,-3683742.2826393503,1652612.8322358464,1652612.8322358464,Sellers
TWN,Central Indo-Pacific,88619.17462069028,281889.58338165283,98412.31550850775,119111.40577468749,730363.1830783619,132188.3810640543,21.882825071089705,NA,9.219054882177966,0.2004578377902383,281109.5524887571,167364.04720795195,729583.1521854661,167364.04720795195,Buyers
SHN,Tropical Atlantic,679403.2577075476,64883.26585960388,743046.323299037,358194.36574973364,6789.112463165706,395410.9816005398,0.09985040672455807,NA,3.415710634241266,0.32696172289094927,1097156.6280731591,-1155250.7814695972,1039062.4746767209,1039062.4746767209,Sellers
CHL,Eastern Indo-Pacific,338876.14840283146,26078.24758720398,453268.42455342837,118875.9353020887,1918.8097429366646,159308.5920220545,0.023882475016996637,NA,2.895018775925687,0.6398588372721664,636904.7476343026,-661064.1854785699,612745.3097900352,612745.3097900352,Sellers
BHS,Tropical Atlantic,232612.07195019323,21846.59285926819,282708.08263150277,223314.75485044662,8043.259630242424,271833.91428800154,0.39333578552968634,NA,3.415710634241266,0.32696172289094927,31756.944887517653,-45560.27811654341,17953.61165849189,17953.61165849189,Sellers
