iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Southern Ocean,583577.2876669763,3606722.6914532906,716709.5316587107,583577.2876669763,3612225.3216605894,718597.4398938037,164.15973214482383,NA,117.24243971200109,0,5502.630207298789,5502.630207298789,5502.630207298789,Buyers
ATF,Southern Ocean,345794.7488761851,3506163.5061141104,408063.058912345,340443.7852658376,2953246.6684684223,403998.80282148486,94.04627736815172,NA,117.24243971200109,627360.0284872757,-1180276.866132964,74443.19084158773,74443.19084158773,Sellers
HMD,Southern Ocean,109917.51856509478,1145929.159071154,130239.25481712123,127383.86344098645,3939444.4852216644,150984.07744443565,206.57472542103153,NA,117.24243971200109,2047796.8861007474,745718.4400497631,4841312.212251258,745718.4400497631,Buyers
CAN,Arctic,2736404.805257923,142500563.2249135,3386267.570604365,2607247.9280586313,39612680.136187635,3237497.6298989267,295.84641502007264,NA,2696.510250965679,348272843.3506055,-451160726.43933135,245384960.26187962,245384960.26187962,Sellers
ARG,Temperate South America,725710.1235014001,771397370.999905,892260.4701588409,725710.1235014001,779668271.26384306,872954.2423754294,2163.963512306828,NA,2821.9813239153705,0,8270900.263938069,8270900.263938069,8270900.263938069,Buyers
IRL,Temperate Northern Atlantic,284864.02534833486,297083778.91374743,333368.9849765328,278310.7280681257,272793595.7113228,326187.03477316897,3597.9261968568385,NA,3793.546077920898,24860235.194787066,-49150418.397211716,570051.9923624396,570051.9923624396,Sellers
RUS,Arctic,2704123.3322871206,619508008.8441961,3430576.9371067355,2669642.041101905,535671519.2617372,3389786.0798933106,2215.1503132956836,NA,2696.510250965679,92979155.14746632,-176815644.72992516,9142665.565007448,9142665.565007448,Sellers
PCN,Eastern Indo-Pacific,363285.1114970108,703049.3157887757,476151.8453457115,345120.8559221602,179784.13154839352,453524.9883039322,9.665873609687166,NA,40.631756594401025,738045.6112358214,-1261310.7954762036,214780.42699543922,214780.42699543922,Sellers
PYF,Eastern Indo-Pacific,3272851.5251435824,12612060.732649148,3910014.531355499,3312779.5033148625,14319583.190247009,3959913.3383618565,44.603604798937326,NA,40.631756594401025,1622343.8903620113,85178.5672358498,3329866.3479598723,85178.5672358498,Buyers
SJM,Arctic,443021.44826318487,180730277.43480718,537028.2068884742,426838.1162414194,143949802.30922136,518271.8856844454,1882.3968723437458,NA,2696.510250965679,43638520.69147172,-80418995.81705755,6858045.565885901,6858045.565885901,Sellers
GRL,Arctic,1165972.7542477443,1070893557.0160892,1216351.3436650597,1165972.7542477443,1180085794.79995,1386138.9331614224,4245.814075214085,NA,2696.510250965679,0,109192237.78386068,109192237.78386068,109192237.78386068,Buyers
TKL,Eastern Indo-Pacific,251752.88405154576,521591.1988094449,319436.2286965879,239165.23984896843,200493.24771675898,304221.04655249655,9.374166618019045,NA,40.631756594401025,511458.0953360452,-832556.0464287312,190360.14424335927,190360.14424335927,Sellers
UKR,Temperate Northern Atlantic,88206.81937477735,20674199.41987282,128796.23910501016,83708.40761686694,16273143.511080734,124475.48209200408,850.2418079585419,NA,3793.546077920898,17064932.28109427,-21465988.189886358,12663876.372302186,12663876.372302186,Sellers
