iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Southern Ocean,471927.5236181038,316209.7657245826,580208.620028684,478267.86549997923,347350.3812868029,588032.9144326391,5.596941832818015,NA,4.6115208005530395,0.06307365146062316,29238.618470886075,1901.997091334204,60379.23403310636,1901.997091334204,Buyers
ATF,Southern Ocean,254474.37550038067,312829.00025473535,301542.98754427553,268141.93411860225,404463.9335871279,317782.7364907363,8.514506960647296,NA,4.6115208005530395,0.06307365146062316,63028.23086070676,28606.702471685778,154663.1641930993,28606.702471685778,Buyers
HMD,Southern Ocean,86104.93800098599,26998.39539927896,101626.12575106922,97815.47734387185,266801.8051600928,115647.44312968402,37.36828796441898,NA,4.6115208005530395,0.06307365146062316,54003.3957654129,185800.01399540092,293806.8055262267,185800.01399540092,Buyers
CAN,Arctic,2680528.65685169,73334195.9436635,3321129.546304566,2138341.5197570007,2122060.010690698,2684907.211942606,7.9334545885914,NA,733.5087297307558,0.5945704038212561,397698998.20668054,-468911134.1396533,326486862.27370775,326486862.27370775,Sellers
ARG,Temperate South America,243116.66481269262,131035797.66146551,288403.23362499627,595551.4176351057,560954612.0418577,710223.4891454829,1457.76263815894,NA,975.6075789141589,0.6353796176153674,343838015.92628443,86080798.45410776,773756830.3066766,86080798.45410776,Buyers
IRL,Temperate Northern Atlantic,198063.2372598081,71422246.41374744,233033.0145592035,228507.75567698744,131303854.75715946,268432.55426390335,2349.918356775197,NA,1621.5484185345238,0.9216757592264285,49367260.692422315,10514347.650989696,109248869.03583433,10514347.650989696,Buyers
RUS,Arctic,2356092.3525651153,99210431.37544611,3008865.1482279124,2171149.6811148995,24876142.135086272,2785531.1685827337,177.6742507261246,NA,733.5087297307558,0.5945704038212561,135657064.00846034,-209991353.2488202,61322774.7681005,61322774.7681005,Sellers
PCN,Eastern Indo-Pacific,333580.168122384,101089.84801533818,437160.71686676284,283362.38696766837,17957.791857234606,370367.81994851853,0.20003494690122012,NA,5.044086671142254,0.2360754086792729,253302.84057683978,-336434.8967349434,170170.7844187362,170170.7844187362,Sellers
PYF,Eastern Indo-Pacific,2972468.2650608774,5552016.8439772725,3549953.617775525,2719966.3290374656,4692990.38276615,3245751.4764624303,2.8428993002489187,NA,5.044086671142254,0.2360754086792729,1273641.6499333056,-2132668.111144428,414615.188722183,414615.188722183,Sellers
SJM,Arctic,354686.2747652329,55215913.903557196,432157.1717409929,338582.33533336996,44431604.189831324,412781.58582816453,611.5354081990455,NA,733.5087297307558,0.5945704038212561,11812380.156326832,-22596689.870052703,1028070.442600958,1028070.442600958,Sellers
GRL,Arctic,648140.313098069,96666188.14986897,774368.0168601123,945772.8193456564,498222042.1274856,1123459.7708873437,2130.0735522506234,NA,733.5087297307558,0.5945704038212561,218316041.58424908,183239812.39336753,619871895.5618657,183239812.39336753,Buyers
TKL,Eastern Indo-Pacific,232085.26804842075,146819.9341610074,295078.105038682,196367.2495602057,10720.43804689632,249816.06023234662,2.8475990779519726,NA,5.044086671142254,0.2360754086792729,180164.78097601814,-316264.2770901292,44065.28486190706,44065.28486190706,Sellers
ISL,Temperate Northern Atlantic,266234.72808360314,64612394.13042587,319104.8575009364,252306.8236931813,44667111.52862027,302174.07636161585,1212.1580680363188,NA,1621.5484185345238,0.9216757592264285,22584771.337788586,-42530053.93959418,2639488.7359829843,2639488.7359829843,Sellers
ZAF,Temperate Southern Africa,636683.9668050996,227788.85930800438,701031.6564944802,637826.8633482457,236489.5856583721,702267.520695756,7.612873100846598,NA,7.257285204079874,0.5370828392081526,8294.326172368308,406.4001779994014,16995.05252273602,406.4001779994014,Buyers
ZAF,Southern Ocean,217321.84983668104,20089.873238563538,261574.40506061548,179671.58677640202,1660.8265530804151,218075.0583285871,0.05451068001126432,NA,4.6115208005530395,0.06307365146062316,173624.97124877042,-192054.01793425356,155195.9245632873,155195.9245632873,Sellers
NIU,Central Indo-Pacific,260916.44637605041,322444.6013536453,319135.0553046284,203514.82817331934,913.0829333728601,248063.3281830018,0.013097252212148434,NA,235.39330863786066,0.03208835769952256,13511956.829908116,-13833488.348328387,13190425.311487844,13190425.311487844,Sellers
WLF,Eastern Indo-Pacific,133333.59009568932,134856.45872807503,170889.98002579794,119851.99122979541,83612.02977053022,153487.73113550985,3.5155340105010215,NA,5.044086671142254,0.2360754086792729,68002.35314514195,-119246.78210268676,16757.92418759715,16757.92418759715,Sellers
NAM,Temperate Southern Africa,268130.585811703,104061.85009155377,321131.37169376505,331702.78369548876,1730997.251405239,404296.1474245499,48.39002854999872,NA,7.257285204079874,0.5370828392081526,461361.5710928363,1165573.830220849,2088296.9724065217,1165573.830220849,Buyers
GEO,Temperate Northern Atlantic,13155.290999185087,1233625.6190218925,20422.91714148615,11382.66622488647,924876.8804484354,17482.89943553286,160.10488810414745,NA,1621.5484185345238,0.9216757592264285,2874396.899419038,-3183145.637992495,2565648.160845581,2565648.160845581,Sellers
BMU,Tropical Atlantic,328044.3286330744,382789.4694290161,367017.1639823899,259265.89029207185,5212.416577434001,289572.43362672103,0.03175067091025285,NA,145.82498856923073,0.29200108014254267,10029614.984886238,-10407192.03773782,9652037.932034656,9652037.932034656,Sellers
MNP,Central Indo-Pacific,610388.6775714137,1995986.2967677116,709479.1099468991,476103.1685057027,756949.8272123472,550300.2259522727,3.675886722807056,NA,235.39330863786066,0.03208835769952256,31609910.281097144,-32848946.750652507,30370873.81154178,30370873.81154178,Sellers
TWN,Central Indo-Pacific,173841.04697984847,5029045.806037903,193623.85787791188,203855.04865794227,18832963.841946393,226409.19145160212,802.6202975482475,NA,235.39330863786066,0.03208835769952256,7065095.160468802,6738822.875439689,20869013.196377292,6738822.875439689,Buyers
SHN,Tropical Atlantic,770446.817739245,2348171.213125229,840528.7603651116,607373.0549669396,38125.03634843984,664147.1211235764,0.21254295096861506,NA,145.82498856923073,0.29200108014254267,23780229.59221288,-26090275.768989667,21470183.41543609,21470183.41543609,Sellers
CHL,Eastern Indo-Pacific,340921.7690169899,33036.28274345398,456006.08923478227,276887.11082089023,7656.380106140869,370511.35111371946,0.06473990256578216,NA,5.044086671142254,0.2360754086792729,322996.3658980965,-348376.26853540965,297616.4632607834,297616.4632607834,Sellers
BHS,Tropical Atlantic,280705.9600171875,739369.8028202057,337889.53410935396,378664.1495290182,59452794.093347296,456384.1828747794,677.8138979281492,NA,145.82498856923073,0.29200108014254267,14284751.865825247,44428672.42470184,72998176.15635234,44428672.42470184,Buyers
JAM,Tropical Atlantic,198338.03325291205,1160803.9575338364,224326.7185559783,171536.00122027838,34149.59107594155,193998.69481730278,3.6913571490981854,NA,145.82498856923073,0.29200108014254267,3908406.01479096,-5035060.381248855,2781751.648333065,2781751.648333065,Sellers
AIA,Tropical Atlantic,72653.73760098673,733240.690237999,86735.78980871645,60986.35602188666,32473.89068647071,72849.03603252959,15.275114967856764,NA,145.82498856923073,0.29200108014254267,1701395.7854051203,-2402162.5849566488,1000628.985853592,1000628.985853592,Sellers
CRI,Tropical Eastern Pacific,410082.7155637536,776100.0743570328,473864.2217500749,362876.5259633947,144908.84904157062,419082.5352673334,4.12081679062895,NA,30.229106933288154,0.8930465207418057,1427000.9533423241,-2058192.1786577862,795809.728026862,795809.728026862,Sellers
TCA,Tropical Atlantic,59149.81251114757,178911.59854221344,76493.00611129677,54423.1365915428,65379.270745699025,70189.5181867295,14.533710237954553,NA,145.82498856923073,0.29200108014254267,689267.4619468228,-802799.7897433372,575735.1341503084,575735.1341503084,Sellers
CYM,Tropical Atlantic,93386.3166914745,64419.63817882538,113439.45092669428,72841.32701935011,1715.0893445793215,87435.70876440124,0.12040571164822332,NA,145.82498856923073,0.29200108014254267,2995972.884092502,-3058677.432926748,2933268.3352582557,2933268.3352582557,Sellers
ISL,Arctic,148961.2800213821,24297587.703809235,174846.18743702644,145183.20323863055,21630718.923361953,170537.42254357057,690.0226178285069,NA,733.5087297307558,0.5945704038212561,2771252.301741341,-5438121.082188623,104383.5212940611,104383.5212940611,Sellers
ATG,Tropical Atlantic,80114.87263125872,228890.2424697876,93181.59022413642,73185.76444621106,83116.73979407031,84974.51440650952,17.51923529827156,NA,145.82498856923073,0.29200108014254267,1010437.1218795384,-1156210.6245552558,864663.619203821,864663.619203821,Sellers
DOM,Tropical Atlantic,218671.15018792168,535059.346455574,256316.4239135864,187415.7401823159,210310.58345739552,219084.91107036642,2.820352163754179,NA,145.82498856923073,0.29200108014254267,4557819.806794083,-4882568.569792261,4233071.043795904,4233071.043795904,Sellers
