iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Southern Ocean,143015.0901983301,4615.89570027031,179492.31314935096,236675.6617051036,23324.43588592258,294734.3930750718,0.28880386553743953,NA,0.08302207107134578,7775.894624218213,10932.645561434056,26484.434809870483,10932.645561434056,Buyers
ATF,Southern Ocean,53889.15677380921,599.6318312734365,63558.38001869339,102272.98148670956,10455.458761957896,120228.60469259089,0.39572710444019393,NA,0.08302207107134578,4016.9253340179484,5838.901596666511,13872.752264702409,5838.901596666511,Buyers
HMD,Southern Ocean,73606.35826156133,709.8442518180236,86696.69721717217,29982.121003432403,7.221662075595514,35984.882215176025,6.951107279192357e-4,NA,0.08302207107134578,3621.77452607763,-4324.397115820058,2919.1519363352018,2919.1519363352018,Sellers
CAN,Arctic,1873864.8763720295,1025030.0816029496,2358824.6185380416,1062615.05365326,25541.313517464176,1357962.2293592517,0.18178011009108025,NA,2.752592940386477,2233040.5349054663,-3232529.3029909516,1233551.7668199807,1233551.7668199807,Sellers
ARG,Temperate South America,36544.916204644425,10171.74902125448,43307.147321279335,296952.0335889008,185523744.46474874,352906.5431338012,1051.7997402061274,NA,3.884548902493967,1011564.1820366307,184502008.53369084,186525136.89776412,184502008.53369084,Buyers
IRL,Temperate Northern Atlantic,91912.46353764417,558637.4801536947,107443.3855102896,114253.87783849376,2918602.2460417994,133723.41908047872,221.34990257850382,NA,36.50683575995374,815614.3425261975,1544350.4233619072,3175579.108414302,1544350.4233619072,Buyers
RUS,Arctic,1027549.5611447104,785387.6504462417,1368138.6061347767,1027549.5611447104,799821.6252178551,1303889.0076601407,2.230774729614545,NA,2.752592940386477,0,14433.974771613372,14433.974771613372,14433.974771613372,Buyers
PCN,Eastern Indo-Pacific,319078.6661642583,39545.76110127568,417978.2320381348,141681.1934838342,2963.3561708897428,186259.80877224696,0.05365441723607708,NA,2.410637010994512,427640.9133003182,-464223.3182307041,391058.50836993224,391058.50836993224,Sellers
PYF,Eastern Indo-Pacific,1359983.1645187328,1343311.41965066,2782149.6079864157,1359983.1645187328,1599821.361175789,1632887.078560553,1.906712372526504,NA,2.410637010994512,0,256509.94152512914,256509.94152512914,256509.94152512914,Buyers
SJM,Arctic,82634.20816224537,59709.61705817282,103149.97622202616,136113.19089725657,473600.94924226013,169807.58470569598,17.551336705407945,NA,2.752592940386477,147205.87033544213,266685.4618486452,561097.2025195295,266685.4618486452,Buyers
