iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Southern Ocean,387923.7514006922,101740.27979310795,477184.197157807,385347.7871173348,98925.2740608104,473979.09694324574,1.0577648717328656,NA,1.1054657253229434,0.19408290668945283,2847.6402249077205,-5662.645957205268,32.634492610173766,32.634492610173766,Sellers
ATF,Southern Ocean,134020.57622750575,31787.827159032226,155911.70807419906,204346.1831063358,159688.77377692633,241243.5180163903,2.2877778897561862,NA,1.1054657253229434,0.19408290668945283,77742.54801708205,50158.398600812056,205643.49463497614,50158.398600812056,Buyers
HMD,Southern Ocean,76728.87392734834,2779.181532091461,90408.48005287972,71725.72490524131,570.8438146515466,84510.28821955656,0.07094298040010517,NA,1.1054657253229434,0.19408290668945283,5530.80976262232,-7739.1474800622345,3322.472045182405,3322.472045182405,Sellers
CAN,Arctic,2418896.5822409093,10014890.060850997,3017321.3202470015,1724600.5712555621,674168.2438626696,2175594.6251748633,1.9927017566678666,NA,71.64705314200174,0.4572008267508524,49744263.195346996,-59084985.01233532,40403541.37835867,40403541.37835867,Sellers
ARG,Temperate South America,44652.45720766236,88180.73534937948,52849.26032877431,480705.5006942577,402880660.36798173,572042.5115753853,1292.4049572388199,NA,13.730393276445403,0.022720773407738593,5987179.776461903,396805299.8561705,408779659.4090943,396805299.8561705,Buyers
IRL,Temperate Northern Atlantic,148749.70087014415,16470697.413747445,174477.62616896757,184563.95650833604,51757403.98565889,217001.90879606904,1303.9922866959214,NA,580.0812041441869,0.22427357690602046,20775176.536130086,14511530.035781361,56061883.10804153,14511530.035781361,Buyers
RUS,Arctic,2083119.3783718639,14598128.900186904,2679082.062601161,1731303.4811263655,6533893.853907901,2209301.3477273462,14.017146989310103,NA,71.64705314200174,0.4572008267508524,25206572.286149245,-33270807.332428247,17142337.239870243,17142337.239870243,Sellers
PCN,Eastern Indo-Pacific,323349.68724299286,52169.97594502568,423559.4188345748,228869.6202431168,9945.875827999189,299037.1696117943,0.11000048858265866,NA,3.8913886095663206,0.5643230522953603,367658.6565543805,-409882.75667140697,325434.556437354,325434.556437354,Sellers
PYF,Eastern Indo-Pacific,2929252.835817649,5353696.080793679,3497870.910166461,2196895.881145646,3366039.715458388,2618196.1385820974,2.3353261721412815,NA,3.8913886095663206,0.5643230522953603,2849885.511547311,-4837541.8768826015,862229.1462120204,862229.1462120204,Sellers
SJM,Arctic,175424.50124034187,2113541.3430103213,216723.02159189188,260709.58747332633,14159609.892176254,319774.53827479866,220.91995522085344,NA,71.64705314200174,0.4572008267508524,6110425.105554839,5935643.443611094,18156493.654720772,5935643.443611094,Buyers
GRL,Arctic,398148.4855485082,8518119.447720535,485404.14226056315,751478.7591379319,190455051.6246074,893584.5573489886,1107.4313243374618,NA,71.64705314200174,0.4572008267508524,25315072.888539452,156621859.28834742,207252005.06542632,156621859.28834742,Buyers
TKL,Eastern Indo-Pacific,217456.8690955442,81453.8765438199,276791.73206094455,158604.31695247383,492.32708340317737,201475.5744140603,0.005710305566684326,NA,3.8913886095663206,0.5643230522953603,229018.15105345202,-309979.70051386877,148056.6015930353,148056.6015930353,Sellers
UKR,Temperate Northern Atlantic,81692.82066357772,14947712.29487282,120192.8049914888,54918.57236624038,5224888.535549899,84202.0089389165,241.41921118992772,NA,580.0812041441869,0.22427357690602046,15531238.192374887,-25254061.95169781,5808414.433051965,5808414.433051965,Sellers
ISL,Temperate Northern Atlantic,225006.24020380067,19228821.69292587,269365.0563318147,203786.28067526183,9250132.261044385,244153.0995868604,357.71286961303275,NA,580.0812041441869,0.22427357690602046,12309299.67520572,-22287989.107087206,2330610.243324235,2330610.243324235,Sellers
ZAF,Temperate Southern Africa,605346.6376382146,92664.34465956688,664985.6454816124,515167.85116589087,26656.025352481847,564462.9867661995,0.19603088820864284,NA,2.451110068970898,0.6193888115415757,221038.13152988936,-287046.4508369744,155029.81222280432,155029.81222280432,Sellers
ZAF,Southern Ocean,211853.11453564648,7747.730904579163,255179.4850839207,145119.35855017087,414.17716365128126,177743.45939140147,0.008177500226801408,NA,1.1054657253229434,0.19408290668945283,73771.87996400811,-81105.43370493599,66438.32622308024,66438.32622308024,Sellers
NIU,Central Indo-Pacific,260916.44637605044,322444.6013536453,319135.0553046284,164377.36121691178,579.854484445404,200134.7852436942,0.006857749674303938,NA,48.45579376204471,0.717739588913672,4677878.000447694,-4999742.747316894,4356013.253578494,4356013.253578494,Sellers
WLF,Eastern Indo-Pacific,128680.05906312932,115196.73021245003,164853.84597676896,96803.53137791167,25201.05067636631,123812.82802585379,0.915377107373217,NA,3.8913886095663206,0.5643230522953603,124043.95674678142,-214039.63628286513,34048.277210697706,34048.277210697706,Sellers
NAM,Temperate Southern Africa,251009.60420621152,26936.875906944275,299520.6066497568,267913.7868309717,102488.4780564326,320862.3130852549,7.257285204079874,NA,2.451110068970898,0.6193888115415757,41434.012239272626,34117.589910215705,116985.61438876097,34117.589910215705,Buyers
GEO,Temperate Northern Atlantic,13155.290999185083,1233625.6190218925,20422.917141486145,9193.69195086984,634086.1072057785,13737.064331444415,110.3410487603224,NA,580.0812041441869,0.22427357690602046,2298049.1462831716,-2897588.658099286,1698509.6344670574,1698509.6344670574,Sellers
BMU,Tropical Atlantic,314281.04839773296,15339.305366516113,351072.2991051022,209407.06523590416,3794.2427378709604,233828.40046007908,0.02578484132536039,NA,10.483757409830314,0.42758310070692107,1099473.3980712423,-1111018.4606998875,1087928.335442597,1087928.335442597,Sellers
