iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Southern Ocean,4363.897958284587,0.43649464286863804,5621.131355755002,63224.848724167176,1188.945663780905,82439.85794688379,0.029328722891391646,NA,8.266962580264157e-4,48.66012774203222,1139.8490413960042,1237.1692968800687,1139.8490413960042,Buyers
ATF,Southern Ocean,-16812.420402854532,-20.543566471800812,18503.634041729336,0,0,NA,NA,0.14953026683459347,8.266962580264157e-4,13.898765035406806,6.6448014363940064,34.44233150720762,6.6448014363940064,Doesn't participate
HMD,Southern Ocean,31514.82444262096,8.345397657714784,37764.88721097228,0,0,NA,NA,0.21762127923238644,8.266962580264157e-4,26.05318743907417,-34.39858509678895,17.707789781359384,17.707789781359384,Doesn't participate
CAN,Arctic,290298.616450574,-1443.3260280907853,778483.943739004,290298.6164505741,81.34352312219836,379552.855018452,8.63575989114817e-4,NA,0.007806674056487947,4.544082363420135e-13,1524.6695512129832,1524.669551212984,1524.6695512129832,Buyers
ARG,Temperate South America,19876.751133839025,56.196836195886135,23874.548875582273,82572.98863265108,8130470.559177507,97509.39435354006,389.7923876809674,NA,0.14197973149984794,8901.594966132032,8121512.767375179,8139315.957307443,8121512.767375179,Buyers
IRL,Temperate Northern Atlantic,49056.613450748875,26590.86980213225,57495.83455491647,32225.452723677725,1720.5477688613894,38651.98123138525,0.39841605621591214,NA,2.903741251883794,48873.33572028293,-73743.6577535538,24003.01368701207,24003.01368701207,Sellers
RUS,Arctic,86842.590561021,240.80407025665045,105982.04334822956,206503.3211661132,4333.916970234499,255357.8550953396,0.08826935111246845,NA,0.007806674056487947,934.1523211951665,3158.960578782682,5027.265221173015,3158.960578782682,Buyers
PCN,Eastern Indo-Pacific,168526.7687226413,4639.507759600878,220274.03777992105,39961.36226467119,144.42684000503147,53546.16488190946,0.0077630798387159075,NA,0.06846485719143208,8802.212192903344,-13297.29311249919,4307.131273307497,4307.131273307497,Sellers
PYF,Eastern Indo-Pacific,375801.74784254306,435.78199607133865,489562.4614684134,383584.9951206683,1386.0111732093992,500609.154250484,0.1492201827390818,NA,0.06846485719143208,532.8789133824482,417.35026375561233,1483.1080905205088,417.35026375561233,Buyers
SJM,Arctic,5695.095394772285,17.92507590353489,6901.29179572078,0,0,NA,NA,0.1278161270065519,0.007806674056487947,44.459753467592776,-62.384829371127665,26.534677564057887,26.534677564057887,Doesn't participate
GRL,Arctic,8088.0299588973785,27.439527042210102,9416.520525883892,77926.01708448627,106047.89342607022,95230.32423092308,4.04179808254128,NA,0.007806674056487947,545.2024022506741,105475.25149677733,106565.6563012787,105475.25149677733,Buyers
TKL,Eastern Indo-Pacific,184280.72940479717,654.2945736050606,234262.01587980328,27692.817245670034,19.976762262767526,36523.27237013862,9.00387114814925e-4,NA,0.06846485719143208,10720.76904387915,-11355.086855221443,10086.451232536858,10086.451232536858,Sellers
UKR,Temperate Northern Atlantic,14471.764045998832,406.02729469537735,24416.704639884418,8135.090083972248,13.704676498926627,15548.059188150033,0.005372713922331576,NA,2.903741251883794,18400.061583274513,-18792.384201470963,18007.738965078064,18007.738965078064,Sellers
ISL,Temperate Northern Atlantic,93990.2655253521,20493.195611417294,114066.69650428066,35581.731546474286,98.19393924074447,43362.68393962414,0.007426513616234385,NA,2.903741251883794,169603.26957652377,-189998.27124870033,149208.26790434722,149208.26790434722,Sellers
ZAF,Temperate Southern Africa,89949.94226706034,121.81699435399713,165062.84047218028,89949.94226706031,148.5286622668171,99826.58187678002,0.0023579164134655164,NA,0.0035303308796759765,1.0274615137826117e-13,26.71166791281986,26.71166791282006,26.71166791282006,Buyers
ZAF,Southern Ocean,1636.7365849991363,0.9900872707366943,2032.8305169306311,25338.300699236184,25.45200639228715,32521.53258991072,0.0011224018790038793,NA,8.266962580264157e-4,19.593994362612946,4.867924758937509,44.0559134841634,4.867924758937509,Buyers
NIU,Central Indo-Pacific,228642.09769918674,1461.6176500320435,278263.2214040312,28700.80910136555,37.38992371768788,37739.61469034833,0.0017630132510310995,NA,0.14010252750763907,28012.279885689048,-29436.507612003403,26588.052159374693,26588.052159374693,Sellers
WLF,Eastern Indo-Pacific,28274.352347355052,739.4113037586212,35853.65690270838,16902.203891381407,157.04678360806233,23883.974240257976,0.02422327650598258,NA,0.06846485719143208,778.5925199980005,-1360.9570401485594,196.22799984744162,196.22799984744162,Sellers
"NAM",Temperate Southern Africa,31644.493157545177,76.9143762588501,37193.84854071223,46778.59770064586,138.77921898789873,56695.25569569505,0.004576989291284995,NA,0.0035303308796759765,53.42839660475284,8.436446124295792,115.29323933380147,8.436446124295792,Buyers
GEO,Temperate Northern Atlantic,1464.9214311502308,2.7752718925476074,2281.301538398671,1605.2478009455272,10664.74109536795,4562.603076797342,75.97977371629246,NA,2.903741251883794,407.4714687017021,10254.4943547737,11069.437292177105,10254.4943547737,Buyers
BMU,Tropical Atlantic,36563.13837452295,-529.3475714506335,220793.9832791909,36563.138374522954,348.12145038216556,41433.366150109934,0.0138175918234534,NA,0.024972877305709712,1.8170159678054706e-13,877.4690218327988,877.4690218327993,877.4690218327988,Buyers
MNP,Central Indo-Pacific,162854.45846134587,1241.9857325553894,180588.35836455357,67142.7545328555,333.4230264305072,74366.41946658267,0.006022491267841114,NA,0.14010252750763907,13409.451632444328,-14318.01433856921,12500.888926319447,12500.888926319447,Sellers
TWN,Central Indo-Pacific,36502.62823473268,618.5790786743164,40782.11611062521,26423.046371127624,181.68675125324722,32063.51981928047,0.011974059411135671,NA,0.14010252750763907,1412.174895311227,-1849.0672227322962,975.2825678901577,975.2825678901577,Sellers
SHN,Tropical Atlantic,318038.5439646828,3233.4259243011475,351891.0012686014,85655.17441841456,591.862773094287,97332.580659682,0.008127656337454998,NA,0.024972877305709712,5803.281375566355,-8444.844526773215,3161.7182243594943,3161.7182243594943,Sellers
CHL,Eastern Indo-Pacific,279504.18942239514,7832.911924362183,373994.097204101,0,0,NA,NA,0.21925564016741303,0.06846485719143208,19136.214413211266,-26969.12633757345,11303.302488849084,11303.302488849084,Doesn't participate
BHS,Tropical Atlantic,166429.0571632019,2508.6391468048096,201854.0717334414,53401.35442075898,529.126523872449,66085.10680062693,0.013392346384862149,NA,0.024972877305709712,2822.626952733256,-4802.139575665617,843.1143298008955,843.1143298008955,Sellers
JAM,Tropical Atlantic,73470.17106201121,1018.2859792709351,82767.1980708478,24190.974531064905,219.5390291227829,29584.936086877777,0.011155533130899748,NA,0.024972877305709712,1230.643328691278,-2029.39027883943,431.89637854312576,431.89637854312576,Sellers
AIA,Tropical Atlantic,43338.660359351954,656.0730199813843,52020.623509219426,8600.63995180453,60.97250523108259,11533.752835325286,0.008572810877191481,NA,0.024972877305709712,867.508321480922,-1462.6088362312237,272.4078067306203,272.4078067306203,Sellers
CRI,Tropical Eastern Pacific,49392.42163233012,-4756.403527512672,176865.18314797475,49392.42163233015,348.6343192052691,57979.274585236475,0.009048986264418342,NA,0.06624251827079612,1.927911020780335e-12,5105.037846717939,5105.037846717943,5105.037846717939,Buyers
TCA,Tropical Atlantic,37376.96397714022,568.5601243972778,48097.74265898611,7675.057724448345,61.837582032936496,11304.499476275052,0.012846129761690757,NA,0.024972877305709712,741.7420605941664,-1248.4646029585078,235.0195182298251,235.0195182298251,Sellers
